,ameren_male,ameren_female,tuple,corp_male,corp_female,average_male,average_female,male-female
53,-1.9127909,-2.0309813,"('uncreative', 'creative')",0.26781702,0.081183694,-0.8224869,-0.9748988,0.1524119
1,-1.9061252,-2.200444,"('unfriendly', 'friendly')",1.0166222,0.59949994,-0.4447515,-0.800472,0.3557205
86,-1.6277215,-1.6363835,"('uninfluential', 'influential')",-0.3657417,-0.46264175,-0.9967316,-1.0495126,0.052781
9,-1.6196365,-1.5767434,"('unaffectionate', 'caring')",1.1068548,0.6173873,-0.2563909,-0.479678,0.2232871
10,-1.5221735,-1.1484587,"('unsympathetic', 'sympathetic')",-0.24828045,-0.13558853,-0.885227,-0.6420236,-0.2432034
8,-1.4507046,-1.5987628,"('unaffectionate', 'affectionate')",0.54843915,0.17537826,-0.4511327,-0.7116922,0.2605595
6,-1.3995022,-1.4388052,"('distant', 'open')",-0.74775904,-1.3246484,-1.0736306,-1.3817267,0.3080961
5,-1.3220059,-1.3546901,"('distant', 'outgoing')",-0.6756695,-1.1216987,-0.9988377,-1.2381945,0.2393568
45,-1.319026,-1.1732416,"('incompetent', 'competent')",-0.08134839,0.0021469332,-0.7001872,-0.5855473,-0.1146399
57,-1.3144984,-1.2165045,"('unimaginative', 'imaginative')",-3.145925,-2.8559375,-2.2302117,-2.036221,-0.1939907
19,-1.3016311,-1.2272415,"('inhospitable', 'hospitable')",-0.38888,-0.66094893,-0.8452556,-0.9440953,0.0988397
66,-1.2774436,-0.8779631,"('inactive', 'active')",-0.072876304,-0.39572123,-0.67516,-0.6368422,-0.0383178
46,-1.2601546,-1.0902916,"('uncompetitive', 'competitive')",-0.50326204,-0.23583773,-0.8817083,-0.6630647,-0.2186436
24,-1.2411342,-1.0054455,"('dishonest', 'honest')",0.6152904,0.7054763,-0.3129219,-0.1499846,-0.1629373
43,-1.1971426,-0.87361723,"('irresponsible', 'responsible')",0.17479977,0.42036688,-0.5111714,-0.2266252,-0.2845462
54,-1.1537257,-1.2701242,"('incapable', 'capable')",0.8286529,0.5659288,-0.1625364,-0.3520977,0.1895613
79,-1.1171077,-1.1099236,"('wavering', 'unwavering')",-0.3863457,-0.7466206,-0.7517267,-0.9282721,0.1765454
0,-1.0985551,-0.93527114,"('unsociable', 'sociable')",-0.46760565,-0.30902553,-0.7830803,-0.6221483,-0.160932
77,-1.0910345,-1.067624,"('unmotivated', 'motivated')",-0.9854908,-1.018903,-1.0382626,-1.0432634,0.0050008
73,1.0364469,1.0423753,"('helpless', 'self-reliant')",-3.1066792,-2.9614377,-1.0351162,-0.9595312,-0.075585
70,-1.0077554,-0.8252199,"('lethargic', 'energetic')",0.2334606,0.33147866,-0.3871474,-0.2468706,-0.1402768
