,nyse_male,nyse_female,tuple,euronext_male,euronext_female,average_male,average_female,male-female
36,2.697593,2.8026114,"('hostile', 'amicable')",1.6170093,1.7728453,2.1573012,2.2877283,-0.1304271
69,2.6002612,2.515015,"('lazy', 'industrious')",1.6871499,1.7388655,2.1437056,2.1269403,0.0167653
45,-2.5027928,-2.3922927,"('incompetent', 'competent')",-2.0314088,-1.9660466,-2.2671008,-2.1791697,-0.0879311
10,-2.4736695,-2.3746347,"('unsympathetic', 'sympathetic')",-2.4100916,-2.4433317,-2.4418807,-2.4089832,-0.0328975
28,-2.247692,-2.3329139,"('disloyal', 'loyal')",-1.2387873,-1.3453294,-1.7432396,-1.8391216,0.095882
55,-2.239092,-2.090809,"('incompetent', 'clever')",-1.6394054,-1.722304,-1.9392488,-1.9065566,-0.0326922
30,-2.1955209,-2.0830634,"('intolerant', 'tolerant')",-1.5799327,-1.5691268,-1.8877268,-1.8260951,-0.0616317
48,-2.1106985,-2.0959451,"('unintelligent', 'intelligent')",-1.5335133,-1.6732086,-1.8221059,-1.8845768,0.0624709
66,2.0387373,2.048296,"('inactive', 'active')",1.5134057,1.6039493,1.7760715,1.8261226,-0.0500511
24,-1.9258231,-2.0371804,"('dishonest', 'honest')",-0.8323892,-0.94701815,-1.3791062,-1.4920993,0.1129931
86,-1.9189229,-1.7167246,"('uninfluential', 'influential')",-2.141193,-2.1300335,-2.0300579,-1.9233791,-0.1066788
6,1.8068523,1.7061949,"('distant', 'open')",1.3323678,1.3726269,1.5696101,1.5394108,0.0301993
23,-1.8041787,-1.699259,"('insincere', 'sincere')",0.40030393,0.21223366,-0.7019374,-0.7435127,0.0415753
11,-1.7626473,-1.7095932,"('unhelpful', 'helpful')",-0.6096815,-0.6525758,-1.1861644,-1.1810845,-0.0050799
70,-1.6795299,-1.434569,"('lethargic', 'energetic')",-0.7592307,-0.6922513,-1.2193803,-1.0634102,-0.1559701
37,-1.6715622,-1.7363962,"('fake', 'genuine')",-0.8652122,-0.89918196,-1.2683872,-1.3177891,0.0494019
81,-1.6286268,-1.443391,"('submissive', 'aggressive')",-1.3519852,-1.3455441,-1.490306,-1.3944676,-0.0958384
62,-1.5962883,-1.5286007,"('incompetent', 'brilliant')",-0.80362594,-0.8115027,-1.1999571,-1.1700517,-0.0299054
5,1.5773396,1.54551,"('distant', 'outgoing')",0.905726,0.99967206,1.2415328,1.2725911,-0.0310583
13,-1.5637697,-1.3782879,"('impolite', 'polite')",-1.2399354,-1.0829896,-1.4018526,-1.2306387,-0.1712139
88,-1.438889,-1.4046785,"('low', 'eminent')",-0.9739354,-0.9899403,-1.2064122,-1.1973094,-0.0091028
60,-1.4074214,-1.3983907,"('inefficient', 'efficient')",-1.4998902,-1.5687478,-1.4536557,-1.4835691,0.0299134
2,1.4013581,1.4733893,"('unlikable', 'likable')",0.82354414,0.91753757,1.1124511,1.1954634,-0.0830123
38,-1.3980696,-1.4038041,"('untruthful', 'truthful')",-0.5926259,-0.6051329,-0.9953477,-1.0044684,0.0091207
43,-1.3812866,-1.3642143,"('irresponsible', 'responsible')",-1.2531385,-1.2544076,-1.3172126,-1.3093109,-0.0079017
40,1.350533,1.3587466,"('stingy', 'generous')",0.36343816,0.39878476,0.8569856,0.8787657,-0.0217801
35,1.3147291,1.2170074,"('corrupt', 'incorrupt')",1.2321268,1.1704056,1.273428,1.1937065,0.0797215
51,-1.2733428,-1.0818259,"('uneducated', 'educated')",-1.4840025,-1.4257349,-1.3786726,-1.2537804,-0.1248922
56,-1.1998976,-1.077733,"('impractical', 'practical')",-0.75500864,-0.67828375,-0.9774531,-0.8780084,-0.0994447
71,1.1920075,1.2694303,"('diffident', 'self-confident')",1.2160897,1.324469,1.2040486,1.2969496,-0.092901
21,-1.1675256,-0.926178,"('immoral', 'moral')",-1.529145,-1.4745674,-1.3483353,-1.2003727,-0.1479626
46,-1.0668985,-0.9027466,"('uncompetitive', 'competitive')",-1.6482024,-1.6741889,-1.3575504,-1.2884678,-0.0690826
7,-1.0247667,-0.9167026,"('insensitive', 'sensitive')",-0.85639703,-0.7913412,-0.9405819,-0.8540219,-0.08656
15,1.0163599,1.1814599,"('boring', 'funny')",1.0270289,1.1587678,1.0216944,1.1701138,-0.1484194
31,1.0118407,1.0981487,"('evil', 'good')",0.85323197,1.0514166,0.9325364,1.0747826,-0.1422462
52,1.0040134,0.97811717,"('irrational', 'rational')",0.7920491,0.7962472,0.8980312,0.8871822,0.010849
68,-0.94784385,-0.91113484,"('dependent', 'independent')",-0.65039223,-0.73842585,-0.799118,-0.8247803,0.0256623
53,0.9291501,0.87570375,"('uncreative', 'creative')",0.15664457,0.14868762,0.5428973,0.5121957,0.0307016
26,0.89102775,0.9960046,"('hardhearted', 'benevolent')",0.3489412,0.52607745,0.6199845,0.761041,-0.1410565
12,-0.86115366,-0.65986603,"('unsupportive', 'supportive')",-1.2736882,-1.1274539,-1.067421,-0.8936599,-0.1737611
74,-0.84452087,-0.78072375,"('undedicated', 'dedicated')",-0.5672577,-0.5062969,-0.7058893,-0.6435103,-0.062379
0,-0.84265465,-0.758975,"('unsociable', 'sociable')",-1.7006394,-1.6958927,-1.271647,-1.2274339,-0.0442131
22,-0.82817715,-0.6756644,"('untrustworthy', 'trustworthy')",-1.3606569,-1.3163033,-1.094417,-0.9959838,-0.0984332
44,0.7960571,0.5512944,"('prejudiced', 'unprejudiced')",0.7502463,0.69438916,0.7731517,0.6228418,0.1503099
75,0.7769252,0.8889845,"('meek', 'impulsive')",1.0156131,1.1842899,0.8962691,1.0366372,-0.1403681
8,-0.77264017,-0.9001878,"('unaffectionate', 'affectionate')",-0.322355,-0.38725045,-0.5474976,-0.6437191,0.0962215
39,0.7677175,0.656961,"('exploitative', 'cooperative')",0.5468292,0.5361507,0.6572734,0.5965558,0.0607176
63,-0.754569,-0.48989666,"('unperceptive', 'insightful')",-0.5239048,-0.4106754,-0.6392369,-0.450286,-0.1889509
85,0.754492,0.7057907,"('insignificant', 'prestigious')",1.8060635,1.8383379,1.2802777,1.2720643,0.0082134
3,-0.75175226,-0.6559078,"('repellent', 'pleasant')",-0.497782,-0.5019026,-0.6247671,-0.5789052,-0.0458619
32,-0.7450134,-0.6838765,"('unkind', 'kind')",-0.78883994,-0.77278465,-0.7669266,-0.7283306,-0.038596
76,-0.7300078,-0.640159,"('anxious', 'daring')",-0.4720471,-0.52911365,-0.6010275,-0.5846363,-0.0163912
33,0.7292749,0.7696205,"('wrong', 'right')",0.812426,0.75292605,0.7708504,0.7612733,0.0095771
72,-0.71169823,-0.86848384,"('unambitious', 'ambitious')",-0.30391604,-0.41592038,-0.5078071,-0.6422021,0.134395
49,-0.70886254,-0.7403044,"('unable', 'able')",-0.41319335,-0.50682247,-0.5610279,-0.6235634,0.0625355
25,0.7069962,0.52478874,"('egoistic', 'altruistic')",0.80106926,0.5796558,0.7540327,0.5522223,0.2018104
64,-0.7058672,-0.6869663,"('shy', 'confident')",-2.2248251,-2.0202315,-1.4653461,-1.3535988,-0.1117473
57,-0.67971087,-0.48546237,"('unimaginative', 'imaginative')",-1.9007374,-1.6946126,-1.2902241,-1.0900375,-0.2001866
82,-0.67478406,-0.6041632,"('poor', 'rich')",0.6980051,0.48535904,0.0116105,-0.0594021,0.0710126
83,0.67195815,0.7987295,"('powerless', 'powerful')",0.36597595,0.4308357,0.518967,0.6147826,-0.0958156
41,-0.65896744,-0.48308638,"('unforgiving', 'forgiving')",-0.632446,-0.49590102,-0.6457067,-0.4894937,-0.156213
9,-0.6422945,-0.7333266,"('unaffectionate', 'caring')",-0.27073702,-0.375508,-0.4565158,-0.5544173,0.0979015
65,-0.6303479,-0.53622675,"('insecure', 'secure')",-0.90677804,-1.0037838,-0.768563,-0.7700053,0.0014423
50,-0.604841,-0.4891844,"('clumsy', 'skillful')",-0.2566862,-0.23699078,-0.4307636,-0.3630876,-0.067676
18,0.52678967,0.6642474,"('disagreeable', 'welcoming')",-0.24071383,-0.12768626,0.1430379,0.2682806,-0.1252427
34,0.522075,0.553521,"('mean', 'honorable')",1.929711,1.8129904,1.225893,1.1832557,0.0426373
73,0.5142666,0.47882006,"('helpless', 'self-reliant')",-0.7592586,-0.656475,-0.122496,-0.0888275,-0.0336685
42,0.5074404,0.6517412,"('unreliable', 'reliable')",-0.7057308,-0.48991567,-0.0991452,0.0809128,-0.180058
61,-0.48437676,-0.45133156,"('illogical', 'logical')",-0.40695044,-0.50328594,-0.4456636,-0.4773088,0.0316452
77,-0.46495467,-0.36512166,"('unmotivated', 'motivated')",-0.67690146,-0.69903696,-0.5709281,-0.5320793,-0.0388488
67,-0.3957046,-0.32521024,"('doubtful', 'determined')",-0.019686384,0.106195904,-0.2076955,-0.1095072,-0.0981883
19,-0.38830692,-0.28084153,"('inhospitable', 'hospitable')",-0.2977137,-0.1890753,-0.3430103,-0.2349584,-0.1080519
14,-0.28717986,-0.061422408,"('antisocial', 'social')",-0.97004324,-0.84157836,-0.6286116,-0.4515004,-0.1771112
17,-0.27803144,-0.25014254,"('nasty', 'nice')",-0.44195262,-0.3867448,-0.359992,-0.3184437,-0.0415483
1,0.2410119,0.20127234,"('unfriendly', 'friendly')",0.43101364,0.43894795,0.3360128,0.3201101,0.0159027
79,-0.22511694,-0.12767115,"('wavering', 'unwavering')",0.45565575,0.5039967,0.1152694,0.1881628,-0.0728934
59,-0.21699986,-0.22223996,"('foolish', 'wise')",0.35261416,0.3259863,0.0678072,0.0518732,0.015934
80,-0.20796481,-0.22443767,"('dominated', 'dominating')",-0.25726596,-0.28195503,-0.2326154,-0.2531964,0.020581
29,-0.18486232,-0.111144006,"('unfair', 'fair')",0.023365192,0.025211386,-0.0807486,-0.0429663,-0.0377823
58,0.18240912,0.28671855,"('undiscriminating', 'discriminating')",-0.61484015,-0.49958515,-0.2162155,-0.1064333,-0.1097822
4,-0.17223656,-0.16034475,"('disliked', 'liked')",-1.823537,-1.505119,-0.9978868,-0.8327318,-0.165155
16,0.17108203,0.2952115,"('unpopular', 'popular')",-0.0007857233,-0.012251794,0.0851482,0.1414798,-0.0563316
87,0.13317859,0.21173361,"('unsuccessful', 'successful')",-0.12437438,-0.092495054,0.0044021,0.0596193,-0.0552172
78,-0.11479375,-0.027677923,"('nonresilient', 'resilient')",-0.32196227,-0.3325538,-0.218378,-0.1801159,-0.0382621
27,-0.10776642,-0.19076607,"('hardhearted', 'softhearted')",0.24846545,0.14586706,0.0703495,-0.0224495,0.092799
54,0.09637432,0.09695423,"('incapable', 'capable')",0.6874028,0.6365688,0.3918886,0.3667615,0.0251271
20,0.06442716,0.12966108,"('rough', 'thoughtful')",0.20401023,0.20260404,0.1342187,0.1661326,-0.0319139
84,-0.035263788,-0.15469845,"('inferior', 'superior')",0.3474741,0.25707006,0.1561052,0.0511858,0.1049194
47,-0.01724984,0.066854075,"('stupid', 'smart')",1.3302784,1.2115628,0.6565143,0.6392084,0.0173059
