,raytheon_male,raytheon_female,tuple,co_male,co_female,average_male,average_female,male-female
10,-3.1028023,-3.0679786,"('unsympathetic', 'sympathetic')",-0.10134878,-0.06226495,-1.6020756,-1.5651218,-0.0369538
69,2.7571669,2.7461765,"('lazy', 'industrious')",-1.2457199,-1.1265839,0.7557235,0.8097963,-0.0540728
45,-2.5229645,-2.5158253,"('incompetent', 'competent')",-0.5244485,-0.5270349,-1.5237064,-1.52143,-0.0022764
85,2.4325788,2.4137719,"('insignificant', 'prestigious')",-0.5941832,-0.44678473,0.9191978,0.9834936,-0.0642958
43,-2.2652464,-2.2229834,"('irresponsible', 'responsible')",0.5528854,0.49767405,-0.8561805,-0.8626547,0.0064742
70,-2.1784167,-2.1049528,"('lethargic', 'energetic')",0.271917,0.3611603,-0.9532499,-0.8718963,-0.0813536
35,1.853921,1.8127615,"('corrupt', 'incorrupt')",-0.84568924,-0.74896926,0.5041159,0.5318961,-0.0277802
13,-1.8340583,-1.7817322,"('impolite', 'polite')",0.024763756,-0.20739818,-0.9046473,-0.9945652,0.0899179
55,-1.7677543,-1.7811211,"('incompetent', 'clever')",0.5533669,0.4761983,-0.6071937,-0.6524614,0.0452677
24,-1.7130718,-1.5800629,"('dishonest', 'honest')",0.8061277,0.8908164,-0.453472,-0.3446232,-0.1088488
25,1.5865043,1.4782735,"('egoistic', 'altruistic')",1.0768381,1.1525913,1.3316712,1.3154324,0.0162388
23,-1.5457482,-1.5571685,"('insincere', 'sincere')",5.82336,5.7041116,2.1388059,2.0734715,0.0653344
36,1.5338207,1.4381301,"('hostile', 'amicable')",-0.28882,-0.2165437,0.6225004,0.6107932,0.0117072
86,-1.4920576,-1.5157328,"('uninfluential', 'influential')",-0.725287,-0.7028612,-1.1086723,-1.109297,0.0006247
22,-1.4643934,-1.4289995,"('untrustworthy', 'trustworthy')",-0.74530286,-0.61884934,-1.1048481,-1.0239245,-0.0809236
0,-1.4423006,-1.4681363,"('unsociable', 'sociable')",-0.2566029,-0.34389117,-0.8494517,-0.9060137,0.056562
30,-1.4370842,-1.3860555,"('intolerant', 'tolerant')",0.6232535,0.6569779,-0.4069153,-0.3645388,-0.0423765
31,1.4008663,1.3747461,"('evil', 'good')",-1.5240494,-1.3105254,-0.0615916,0.0321103,-0.0937019
63,-1.3977215,-1.3792125,"('unperceptive', 'insightful')",0.13566741,0.07969275,-0.631027,-0.6497599,0.0187329
