,total_male,total_female,tuple,system_male,system_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
16,-2.6188533,-2.7667298,"('unpopular', 'popular')",-0.7945935,-1.0626562,-0.43745098,-0.5195018,0.51235366,0.22712712,-0.834636,-1.0304402,0.1958042
56,2.594211,2.910379,"('impractical', 'practical')",0.5050379,1.0585206,0.21808171,0.900199,-0.8440567,-0.44647107,0.6183184,1.1056569,-0.4873385
39,1.8749542,1.7932421,"('exploitative', 'cooperative')",1.5528686,1.7923907,1.5021999,1.5000324,0.40965062,0.31368935,1.3349184,1.3498386,-0.0149202
84,1.8465534,1.871772,"('inferior', 'superior')",0.98648506,0.95811063,0.55467165,0.49392533,0.6484357,0.66704893,1.0090364,0.9977142,0.0113222
31,-1.6426425,-2.035654,"('evil', 'good')",-0.26711982,-0.5521761,-1.3699877,-1.7534355,-0.32518497,-0.98836404,-0.9012338,-1.3324075,0.4311737
61,1.6390634,1.3235369,"('illogical', 'logical')",1.2201563,1.0404146,1.1940815,0.950169,0.32384074,0.11199448,1.0942854,0.8565288,0.2377566
24,1.5561993,1.6450586,"('dishonest', 'honest')",-0.2979538,0.0347232,0.46859926,0.6843878,0.9880486,1.1825743,0.6787233,0.886686,-0.2079627
12,1.5387306,1.3691872,"('unsupportive', 'supportive')",0.46693367,0.35186344,1.3219391,1.5562662,-1.5322509,-1.4077141,0.4488381,0.4674007,-0.0185626
65,1.5085949,1.5490148,"('insecure', 'secure')",0.1279949,0.35892493,0.71805865,0.6386409,-0.27291524,-0.10253365,0.5204333,0.6110117,-0.0905784
6,-1.4923538,-1.3967477,"('distant', 'open')",0.034377232,0.018648282,-1.3465112,-1.0632223,0.38975328,0.38794363,-0.6036836,-0.5133445,-0.0903391
23,1.4766073,1.6562461,"('insincere', 'sincere')",0.23904105,0.38360634,1.2752838,1.48151,5.43681,5.854885,2.1069355,2.3440619,-0.2371264
36,-1.4539351,-1.9940201,"('hostile', 'amicable')",-0.57310206,-1.0702877,-1.4789073,-2.0023913,0.56339854,-0.123322755,-0.7356365,-1.2975055,0.561869
8,-1.4130312,-1.6696019,"('unaffectionate', 'affectionate')",-0.441395,-0.7127825,-0.56088257,-0.7815334,0.9518624,0.79418486,-0.3658617,-0.5924332,0.2265715
5,-1.3888572,-1.3698474,"('distant', 'outgoing')",-0.0077637434,0.023004517,-0.91111875,-0.6136061,-0.17773376,-0.1206079,-0.6213683,-0.5202642,-0.1011041
21,1.3008267,1.2019744,"('immoral', 'moral')",0.7248414,0.7125453,1.2635221,1.2881838,-0.55217874,-0.61259586,0.6842529,0.6475269,0.036726
26,1.2886432,0.754955,"('hardhearted', 'benevolent')",0.86192614,0.5618082,1.4067614,1.1762329,1.7908795,1.4359612,1.3370526,0.9822394,0.3548132
72,1.2548612,1.3003104,"('unambitious', 'ambitious')",-0.29011694,0.003990408,-0.80858785,-0.71730685,-0.890872,-0.6815054,-0.1836789,-0.0236279,-0.160051
4,-1.2384384,-1.5223789,"('disliked', 'liked')",-0.5686588,-0.6611076,-0.32063633,-0.29667968,-5.7546387,-6.0041347,-1.970593,-2.1210752,0.1504822
75,-1.2083857,-1.2276781,"('meek', 'impulsive')",-0.28292382,-0.3750419,-1.239596,-1.2832103,-0.34021956,-0.5755126,-0.7677813,-0.8653607,0.0975794
73,1.203851,1.089396,"('helpless', 'self-reliant')",1.435461,1.3693341,-0.36790752,-0.40097916,-2.8446844,-2.812571,-0.14332,-0.188705,0.045385
22,1.1745715,1.0683275,"('untrustworthy', 'trustworthy')",0.6520976,0.82966924,0.90619403,0.9657231,-0.43822867,-0.5501815,0.5736586,0.5783846,-0.004726
42,1.1558454,1.1429468,"('unreliable', 'reliable')",0.17893264,0.15161389,0.3033942,0.67923427,-3.047121,-2.8070116,-0.3522372,-0.2083042,-0.143933
27,-1.1523988,-1.0524025,"('hardhearted', 'softhearted')",-0.40482527,-0.24364349,0.6244375,0.7507416,2.0303934,1.8538196,0.2744017,0.3271288,-0.0527271
14,1.12408,0.9754547,"('antisocial', 'social')",0.5390323,0.8133156,1.2976835,1.5906233,-0.6429334,-0.6720777,0.5794656,0.676829,-0.0973634
