,simon_male,simon_female,tuple,property_male,property_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.4534168,-2.2566404,"('hostile', 'amicable')",0.10222204,0.03983468,-0.78035617,-0.7754858,0.6689694,0.4635405,-0.6156454,-0.6321877,0.0165423
12,2.2334335,2.1444876,"('unsupportive', 'supportive')",1.0078212,1.0860461,1.012057,1.3342915,-1.9629002,-1.4527711,0.5726029,0.7780135,-0.2054106
69,-2.0649366,-1.7550801,"('lazy', 'industrious')",0.9949905,1.1028624,0.4018469,0.4969475,-0.4118279,-0.11318497,-0.2699818,-0.0671138,-0.202868
56,2.0299575,1.8664132,"('impractical', 'practical')",0.22618265,0.29151532,0.3507903,0.39839676,-0.3435854,-0.31222305,0.5658363,0.5610256,0.0048107
60,1.9494078,1.4848491,"('inefficient', 'efficient')",-0.5435617,-0.47422042,0.46462598,0.91609734,-0.5117473,-0.20215009,0.3396812,0.431144,-0.0914628
31,-1.8859977,-1.5045998,"('evil', 'good')",-1.2705843,-0.94466025,-1.500276,-1.2347436,-0.85786915,-0.6156496,-1.3786818,-1.0749133,-0.3037685
21,1.8615437,0.9282434,"('immoral', 'moral')",0.51237994,-0.027785746,0.47852734,0.33142468,-0.8458505,-1.1482881,0.5016501,0.0208986,0.4807515
43,1.8313509,1.68243,"('irresponsible', 'responsible')",0.36579698,0.5452695,0.48858005,0.87437624,0.51067084,0.82574064,0.7990997,0.9819541,-0.1828544
35,-1.7908064,-1.4269208,"('corrupt', 'incorrupt')",-0.5101495,-0.30914786,-0.9160102,-0.9803216,0.15492241,0.23066768,-0.7655109,-0.6214306,-0.1440803
76,1.769661,1.4987055,"('anxious', 'daring')",0.92714596,0.5938147,1.42639,1.1410512,0.39281827,0.2539661,1.1290039,0.8718844,0.2571195
30,1.7492319,1.8216755,"('intolerant', 'tolerant')",0.72550774,0.6840204,0.36826038,0.44737908,1.1329784,1.182502,0.9939946,1.0338943,-0.0398997
39,1.7491587,1.4756182,"('exploitative', 'cooperative')",-0.027202085,-0.22559448,1.1125216,1.1997843,-0.02033866,0.0084730685,0.7035349,0.6145703,0.0889646
