,pulte_male,pulte_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.4571893,-1.924836,"('unsympathetic', 'sympathetic')",0.099875845,0.09836525,-0.39097014,-0.3387539,-0.9160945,-0.7217416,-0.1943529
86,-2.377922,-2.2426648,"('uninfluential', 'influential')",-0.13998461,-0.22774747,-0.23477864,-0.3651091,-0.9175618,-0.9451737,0.0276119
45,-2.1246893,-1.670272,"('incompetent', 'competent')",0.041923173,0.20352848,-0.75075793,-0.5999302,-0.944508,-0.6888913,-0.2556167
57,-1.9976654,-1.9226568,"('unimaginative', 'imaginative')",-0.4517354,-0.5179192,-2.2782876,-2.3092437,-1.5758963,-1.5832733,0.007377
69,1.9852633,1.3586491,"('lazy', 'industrious')",-0.34817094,-0.28361297,-0.8154725,-0.7235024,0.2738733,0.1171779,0.1566954
9,-1.9393142,-2.0068893,"('unaffectionate', 'caring')",-0.14846466,-0.2647786,0.95523596,1.0096971,-0.3775143,-0.420657,0.0431427
0,-1.8508334,-1.5363319,"('unsociable', 'sociable')",0.40494382,0.51050735,-0.53806365,-0.48216546,-0.6613177,-0.5026633,-0.1586544
35,1.7611957,1.2229551,"('corrupt', 'incorrupt')",-1.6752427,-1.7798672,-0.38094229,-0.32274583,-0.0983298,-0.2932193,0.1948895
1,-1.6180269,-1.6806108,"('unfriendly', 'friendly')",-0.49200854,-0.4599881,1.5970259,1.726595,-0.1710032,-0.1380012,-0.033002
23,-1.6103251,-1.2054117,"('insincere', 'sincere')",0.46153426,0.5218234,5.499742,5.6218953,1.4503171,1.6461023,-0.1957852
53,-1.5870894,-1.5115644,"('uncreative', 'creative')",-0.18394855,-0.19288841,0.8269341,0.96166545,-0.3147013,-0.2475958,-0.0671055
55,-1.5480318,-0.9599131,"('incompetent', 'clever')",1.2066123,1.2798284,0.09596863,0.08279869,-0.0818169,0.134238,-0.2160549
48,-1.5360833,-1.2817104,"('unintelligent', 'intelligent')",0.106781565,0.13305375,0.47254616,0.63672936,-0.3189185,-0.1706424,-0.1482761
11,-1.5086213,-1.1408788,"('unhelpful', 'helpful')",-0.24031073,-0.069422476,1.6799154,1.9403424,-0.0230056,0.243347,-0.2663526
12,-1.4878755,-1.3980756,"('unsupportive', 'supportive')",0.5466558,0.5489862,-1.474098,-1.469344,-0.8051058,-0.7728111,-0.0322947
3,-1.4335748,-1.2032168,"('repellent', 'pleasant')",0.7186238,0.7419194,0.1644454,0.14509189,-0.1835019,-0.1054018,-0.0781001
28,-1.3948432,-1.3548019,"('disloyal', 'loyal')",0.1762118,0.1299633,0.8576285,0.88002765,-0.1203343,-0.114937,-0.0053973
46,-1.3507187,-0.9858506,"('uncompetitive', 'competitive')",1.5629483,1.5881721,-0.4476934,-0.49896324,-0.0784879,0.0344528,-0.1129407
43,-1.3325948,-0.84151685,"('irresponsible', 'responsible')",0.9120639,1.1142732,0.5379411,0.63700074,0.0391367,0.3032524,-0.2641157
62,-1.3246385,-0.6873376,"('incompetent', 'brilliant')",0.67221195,0.89483297,-0.022617245,0.20571461,-0.2250146,0.1377367,-0.3627513
73,1.2198592,1.2212386,"('helpless', 'self-reliant')",0.1841523,0.23652117,-2.9933534,-2.86387,-0.5297806,-0.4687034,-0.0610772
24,-1.1756487,-0.7357337,"('dishonest', 'honest')",-0.13152122,-0.02016808,0.33394343,0.4444458,-0.3244088,-0.1038187,-0.2205901
