,leggett_male,leggett_female,tuple,&_male,&_female,platt_male,platt_female,inc_male,inc_female,average_male,average_female,male-female
23,-3.0296795,-3.1244152,"('insincere', 'sincere')",-1.2010516,-1.2551552,-0.37203485,-0.29343104,4.7106524,4.5415015,0.0269716,-0.0328749,0.0598465
86,-2.602787,-2.7471924,"('uninfluential', 'influential')",0.11062662,0.08480706,-0.8834717,-0.90590656,-0.024889171,-0.08369818,-0.8501303,-0.9129975,0.0628672
10,-2.5099962,-2.7985158,"('unsympathetic', 'sympathetic')",0.13980322,0.05200437,-0.91075,-0.9946653,0.27879083,0.16073279,-0.750538,-0.895111,0.144573
35,2.4020004,2.6172066,"('corrupt', 'incorrupt')",-0.5454153,-0.45624352,0.5437587,0.6188397,-0.2666139,-0.268531,0.5334325,0.6278179,-0.0943854
43,-2.3461297,-2.5014424,"('irresponsible', 'responsible')",-0.32628256,-0.33162713,-0.18414494,-0.23571345,0.689072,0.7139177,-0.5418713,-0.5887163,0.046845
48,-2.263765,-2.407473,"('unintelligent', 'intelligent')",-0.57069623,-0.6041564,-1.0034231,-1.0357397,0.40256777,0.27976468,-0.8588291,-0.9419011,0.083072
60,-2.190179,-2.3289986,"('inefficient', 'efficient')",0.33227968,0.28448117,-0.56104624,-0.5942333,-0.03890513,0.038280558,-0.6144627,-0.6501176,0.0356549
46,-2.1010895,-2.2539854,"('uncompetitive', 'competitive')",1.7380769,1.6453948,-1.5286382,-1.459621,0.1636642,0.074436896,-0.4319966,-0.4984437,0.0664471
1,-2.0960922,-2.0679266,"('unfriendly', 'friendly')",-1.2544795,-1.2749083,-1.0346788,-1.0286044,1.5575794,1.4391105,-0.7069178,-0.7330822,0.0261644
73,2.0479558,2.1299524,"('helpless', 'self-reliant')",0.49435335,0.51210845,0.80356085,0.8375051,-2.781493,-2.7494092,0.1410943,0.1825392,-0.0414449
63,-2.0369542,-2.015013,"('unperceptive', 'insightful')",0.65474325,0.7288469,-1.3095988,-1.180787,1.6594585,1.6369613,-0.2580878,-0.2074979,-0.0505899
28,-1.9438518,-2.0312428,"('disloyal', 'loyal')",-0.22680444,-0.3963813,-0.64117986,-0.5908802,0.7342225,0.6292336,-0.5194034,-0.5973177,0.0779143
11,-1.9220047,-2.020064,"('unhelpful', 'helpful')",-1.1229594,-1.1131837,-0.9689496,-1.0389993,1.9239124,1.9681906,-0.5225003,-0.5510141,0.0285138
62,-1.8884584,-1.9337472,"('incompetent', 'brilliant')",-0.38870963,-0.35437024,0.33368823,0.38290602,0.15233701,0.17596109,-0.4477857,-0.4323126,-0.0154731
72,-1.8623474,-1.8472831,"('unambitious', 'ambitious')",-0.7611059,-0.69761086,1.3644724,1.5076314,-1.1823978,-1.158265,-0.6103446,-0.5488819,-0.0614627
69,1.82684,1.9883153,"('lazy', 'industrious')",0.67970204,0.79998076,0.90446633,0.9918443,-0.24200934,-0.21425779,0.7922498,0.8914707,-0.0992209
32,-1.8182873,-1.9262007,"('unkind', 'kind')",-0.34746236,-0.36238563,-2.403841,-2.3945122,0.8122887,0.84539914,-0.9393255,-0.9594249,0.0200994
65,-1.7331156,-1.882102,"('insecure', 'secure')",0.7034696,0.6460392,-1.3897341,-1.3360382,-0.53961396,-0.5053078,-0.7397485,-0.7693522,0.0296037
0,-1.6638606,-1.8616533,"('unsociable', 'sociable')",0.17053197,0.1657496,-0.2644926,-0.32593355,-0.517151,-0.47812784,-0.5687431,-0.6249913,0.0562482
3,-1.6417222,-1.7685496,"('repellent', 'pleasant')",0.09995438,0.048024666,-1.0350896,-1.0344789,-0.25152388,-0.27608895,-0.7070954,-0.7577732,0.0506778
9,-1.6368132,-1.7111155,"('unaffectionate', 'caring')",-0.9400369,-1.026986,0.52561384,0.52655226,0.92929155,0.8987775,-0.2804862,-0.3281929,0.0477067
53,-1.6365364,-1.5275544,"('uncreative', 'creative')",0.17437285,0.26955962,0.138867,0.252362,1.0478829,1.0716133,-0.0688534,0.0164951,-0.0853485
7,-1.6166477,-1.6105065,"('insensitive', 'sensitive')",-0.42760757,-0.45519328,-0.53278255,-0.4853313,0.5371107,0.45799637,-0.5099818,-0.5232587,0.0132769
57,-1.6160356,-1.7854134,"('unimaginative', 'imaginative')",-0.1450465,-0.14764929,-0.5132906,-0.6029493,-1.7839295,-1.8549949,-1.0145755,-1.0977517,0.0831762
41,-1.6042184,-1.6306701,"('unforgiving', 'forgiving')",-0.9195012,-0.9478098,0.071287796,0.21739194,-0.18856996,-0.104754105,-0.6602504,-0.6164605,-0.0437899
45,-1.5766848,-1.6443942,"('incompetent', 'competent')",0.47716442,0.46917832,0.12518056,0.17678955,-0.34490162,-0.2632237,-0.3298104,-0.3154125,-0.0143979
