,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.454054,-2.3599584,"('uninfluential', 'influential')",-1.0049299,-0.94848037,-1.7294919,-1.6542194,-0.0752725
10,-2.1718683,-1.9473803,"('unsympathetic', 'sympathetic')",-0.43205923,-0.6853242,-1.3019638,-1.3163522,0.0143884
8,-1.8041661,-1.8607087,"('unaffectionate', 'affectionate')",0.60151476,0.7990724,-0.6013256,-0.5308182,-0.0705074
0,-1.7958949,-1.6651721,"('unsociable', 'sociable')",-0.14016807,-0.26364723,-0.9680315,-0.9644096,-0.0036219
1,-1.7758029,-1.853125,"('unfriendly', 'friendly')",1.4829183,1.7102169,-0.1464423,-0.071454,-0.0749883
9,-1.7704257,-1.825397,"('unaffectionate', 'caring')",1.1584221,1.2450235,-0.3060018,-0.2901868,-0.015815
69,1.7269552,1.5801522,"('lazy', 'industrious')",-0.39717522,-0.091917515,0.66489,0.7441173,-0.0792273
28,-1.6277733,-1.5153749,"('disloyal', 'loyal')",0.96648586,1.0584242,-0.3306437,-0.2284753,-0.1021684
12,-1.5775964,-1.5434449,"('unsupportive', 'supportive')",-2.2355697,-2.2849808,-1.9065831,-1.9142128,0.0076297
46,-1.4834129,-1.2922155,"('uncompetitive', 'competitive')",-1.1325945,-1.2404689,-1.3080037,-1.2663422,-0.0416615
44,1.3818371,1.3172309,"('prejudiced', 'unprejudiced')",-0.9766549,-1.1131732,0.2025911,0.1020288,0.1005623
24,-1.3015584,-1.1772897,"('dishonest', 'honest')",0.41623315,0.36557698,-0.4426626,-0.4058564,-0.0368062
53,-1.2943095,-1.320947,"('uncreative', 'creative')",0.56443244,0.6920459,-0.3649385,-0.3144506,-0.0504879
45,-1.260566,-1.0565643,"('incompetent', 'competent')",-0.37732503,-0.60970145,-0.8189455,-0.8331329,0.0141874
35,1.2513635,1.0214113,"('corrupt', 'incorrupt')",-0.503515,-0.43703112,0.3739243,0.2921901,0.0817342
