,nabors_male,nabors_female,tuple,industries_male,industries_female,ltd_male,ltd_female,average_male,average_female,male-female
28,-1.9072872,-1.4526141,"('disloyal', 'loyal')",-0.10604763,0.09350909,0.60117877,0.9650024,-0.4707187,-0.1313675,-0.3393512
10,-1.6416676,-1.0323286,"('unsympathetic', 'sympathetic')",-1.1678799,-0.9263152,-0.4906413,0.13744695,-1.1000629,-0.6070656,-0.4929973
86,-1.5085877,-1.1959238,"('uninfluential', 'influential')",-0.61162776,-0.21431461,-0.34732455,0.25534642,-0.8225133,-0.384964,-0.4375493
72,-1.4343551,-0.98128605,"('unambitious', 'ambitious')",-0.6648571,-0.3166137,-0.44523633,-0.14563201,-0.8481495,-0.4811773,-0.3669722
83,-1.3879434,-1.1675283,"('powerless', 'powerful')",-0.6632698,-0.54917854,-1.7693446,-1.5711371,-1.2735193,-1.0959479,-0.1775714
1,-1.3832898,-1.2607988,"('unfriendly', 'friendly')",0.011837997,0.40743536,1.2473799,1.7429045,-0.0413573,0.2965137,-0.337871
78,-1.3012573,-0.7543547,"('nonresilient', 'resilient')",-0.2900763,-0.05518452,-0.2391806,0.078976244,-0.6101714,-0.243521,-0.3666504
9,-1.2761014,-1.1801374,"('unaffectionate', 'caring')",0.03621813,0.3709846,0.44546545,0.93580586,-0.2648059,0.0422177,-0.3070236
48,-1.2451363,-0.9116162,"('unintelligent', 'intelligent')",-0.6741994,-0.49236977,-0.40421632,0.102668315,-0.7745173,-0.4337726,-0.3407447
2,1.1440192,0.484717,"('unlikable', 'likable')",0.16833426,-0.09905372,0.27505922,-0.05228113,0.5291376,0.1111274,0.4180102
15,1.1129719,0.7670938,"('boring', 'funny')",0.80864775,0.6174095,0.9047392,0.4447279,0.9421196,0.6097438,0.3323758
77,-1.1015811,-0.9681074,"('unmotivated', 'motivated')",-0.6457512,-0.71993554,-1.4217832,-1.0219338,-1.0563718,-0.9033256,-0.1530462
20,-0.9692117,-0.89908165,"('rough', 'thoughtful')",-0.39574653,-0.36499467,0.034533896,0.6925083,-0.4434748,-0.1905227,-0.2529521
21,-0.96512085,-0.79715884,"('immoral', 'moral')",-0.812922,-1.0330724,-1.6180233,-1.254256,-1.1320221,-1.0281624,-0.1038597
49,-0.9231049,-0.7675128,"('unable', 'able')",-0.18477634,-0.10903347,-0.5112909,-0.3650347,-0.539724,-0.4138603,-0.1258637
68,-0.8850065,-0.49324632,"('dependent', 'independent')",-1.8289759,-1.8708991,-1.1442608,-0.9322722,-1.286081,-1.0988058,-0.1872752
53,-0.85940117,-0.76058763,"('uncreative', 'creative')",-0.09131393,0.055074792,0.32971466,0.623705,-0.2070001,-0.0272693,-0.1797308
32,-0.8411232,-0.51549596,"('unkind', 'kind')",-0.29585412,-0.13877606,0.64046276,0.82348245,-0.1655049,0.0564035,-0.2219084
3,-0.8234683,-0.34980926,"('repellent', 'pleasant')",-0.052610178,-0.13587935,-0.16673185,0.54975766,-0.3476034,0.0213563,-0.3689597
8,-0.8025541,-0.8581928,"('unaffectionate', 'affectionate')",0.5076469,0.679423,0.48094195,0.8233382,0.0620116,0.2148561,-0.1528445
57,-0.79531145,0.09357932,"('unimaginative', 'imaginative')",0.22125892,0.7041553,-0.8586943,-0.71596396,-0.4775823,0.0272569,-0.5048392
36,-0.79293615,-0.9371015,"('hostile', 'amicable')",-0.06327746,-0.12238495,0.45654073,0.14125751,-0.1332243,-0.3060763,0.172852
4,0.75918734,0.6504268,"('disliked', 'liked')",0.6342167,0.6730757,-4.0500937,-4.965705,-0.8855632,-1.2140675,0.3285043
30,0.74522305,0.65569794,"('intolerant', 'tolerant')",1.3105383,1.239727,0.86725044,0.59057945,0.9743373,0.8286681,0.1456692
73,0.7365509,0.63605225,"('helpless', 'self-reliant')",0.6671911,0.75944936,-2.7450528,-3.1233952,-0.4471036,-0.5759645,0.1288609
