,lincoln_male,lincoln_female,tuple,national_male,national_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.0715895,-2.2414231,"('hostile', 'amicable')",-0.8036228,-1.2796627,-0.7704211,-0.8132991,-1.2152111,-1.444795,0.2295839
31,-1.6053975,-1.5147973,"('evil', 'good')",0.21839863,0.096439525,-1.213377,-1.0341733,-0.866792,-0.8175104,-0.0492816
16,-1.546698,-1.6830636,"('unpopular', 'popular')",-0.13772564,-0.29301152,0.012714647,-0.03140614,-0.5572363,-0.6691604,0.1119241
50,-1.4025189,-1.7059193,"('clumsy', 'skillful')",-0.9447428,-1.1279504,-0.1552302,-0.18562303,-0.834164,-1.0064975,0.1723335
12,1.380476,1.4575839,"('unsupportive', 'supportive')",0.6657621,0.8584677,-2.119198,-2.0824966,-0.02432,0.0778516,-0.1021716
35,-1.3057823,-1.270508,"('corrupt', 'incorrupt')",-0.66139716,-0.85231,-0.99293697,-0.8007748,-0.9867055,-0.9745309,-0.0121746
78,-1.2794577,-1.302484,"('nonresilient', 'resilient')",-1.0227331,-0.9148809,0.12727389,0.1696111,-0.7249723,-0.6825846,-0.0423877
60,1.1674833,0.8386535,"('inefficient', 'efficient')",0.19470292,0.2467967,0.4153223,0.24779478,0.5925028,0.444415,0.1480878
82,-1.1599622,-1.2579502,"('poor', 'rich')",-1.0866145,-1.1278774,6.2419434,6.171434,1.3317889,1.2618688,0.0699201
54,-1.1550277,-1.2763835,"('incapable', 'capable')",-0.12797886,-0.15619601,0.5305662,0.6591296,-0.2508135,-0.2578166,0.0070031
44,-1.1480896,-1.1229798,"('prejudiced', 'unprejudiced')",0.33673364,0.3273332,-1.3710476,-1.4480197,-0.7274679,-0.7478887,0.0204208
15,-1.1039069,-0.82067513,"('boring', 'funny')",-0.020073954,0.10635324,-0.08864621,0.2684944,-0.404209,-0.1486092,-0.2555998
6,-1.059515,-1.0859768,"('distant', 'open')",-0.31140196,-0.30161452,-0.71898615,-0.3631521,-0.6966344,-0.5835811,-0.1130533
62,1.026137,1.2274503,"('incompetent', 'brilliant')",0.23335508,0.7319564,0.8542317,0.96103925,0.7045746,0.973482,-0.2689074
39,1.0195423,0.6129611,"('exploitative', 'cooperative')",1.4283156,1.1725417,0.22663324,0.055627592,0.8914971,0.6137102,0.2777869
79,-0.9944395,-1.0034269,"('wavering', 'unwavering')",-0.38000908,-0.38396555,-1.081214,-0.6702447,-0.8185542,-0.6858791,-0.1326751
40,0.98980933,1.0886205,"('stingy', 'generous')",0.4758015,0.5697595,-2.075925,-2.2979503,-0.2034381,-0.2131901,0.009752
48,0.9103003,0.78528374,"('unintelligent', 'intelligent')",0.102827996,0.20126112,1.0553951,1.1320264,0.6895078,0.7061904,-0.0166826
56,0.87710303,0.9089046,"('impractical', 'practical')",0.5848141,0.69448435,-0.053124066,-0.041141924,0.4695977,0.5207491,-0.0511514
5,-0.86948526,-0.9488323,"('distant', 'outgoing')",-0.09762724,-0.06910251,-0.6502608,-0.36328524,-0.5391244,-0.4604067,-0.0787177
19,-0.8638406,-0.9784837,"('inhospitable', 'hospitable')",-0.55782735,-0.70858526,-1.180308,-0.98123586,-0.8673253,-0.889435,0.0221097
33,0.85651827,0.9060245,"('wrong', 'right')",1.3509467,1.2725558,-0.4840429,-0.39878845,0.574474,0.5932639,-0.0187899
4,-0.8277632,-0.6845733,"('disliked', 'liked')",-0.17885718,-0.07155377,-7.2506,-7.341445,-2.7524068,-2.6991908,-0.053216
87,-0.819471,-0.7326888,"('unsuccessful', 'successful')",0.49163938,0.7369975,0.57676136,0.56110823,0.0829766,0.1884723,-0.1054957
