,manitowoc_male,manitowoc_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
55,-2.2871623,-1.9641925,"('incompetent', 'clever')",1.0919241,0.94144696,-0.21715277,-0.25386885,-0.470797,-0.4255381,-0.0452589
86,-2.138263,-2.0813782,"('uninfluential', 'influential')",-0.20274279,-0.5066702,0.21797052,0.13173547,-0.7076784,-0.818771,0.1110926
28,-2.0147052,-2.0783308,"('disloyal', 'loyal')",-0.59526765,-0.7795911,1.2944844,1.2450796,-0.4384962,-0.5376141,0.0991179
10,-1.8298957,-1.5927662,"('unsympathetic', 'sympathetic')",-0.18608522,-0.46811193,-0.29167125,-0.33673888,-0.7692174,-0.7992056,0.0299882
77,-1.7700093,-1.8584914,"('unmotivated', 'motivated')",0.2384347,0.0568284,-0.68403375,-0.7874722,-0.7385361,-0.8630451,0.124509
69,1.7547518,1.4145842,"('lazy', 'industrious')",1.1469109,1.1961561,-0.40506124,-0.46796867,0.8322005,0.7142572,0.1179433
46,-1.7433507,-1.6371925,"('uncompetitive', 'competitive')",0.19430152,-0.077908225,-1.110788,-1.1158978,-0.8866124,-0.9436661,0.0570537
58,-1.7342277,-1.4112308,"('undiscriminating', 'discriminating')",0.8965174,0.9120938,-0.028824186,0.0501533,-0.2888448,-0.1496612,-0.1391836
0,-1.5930578,-1.5164068,"('unsociable', 'sociable')",0.31106368,0.13106504,-0.66481286,-0.80383235,-0.6489356,-0.7297247,0.0807891
44,1.5875362,1.4323691,"('prejudiced', 'unprejudiced')",-0.6263419,-0.46107185,-1.4126825,-1.4281623,-0.1504961,-0.1522884,0.0017923
23,-1.5778266,-1.5336548,"('insincere', 'sincere')",-0.17253755,-0.50030273,5.9073033,5.850038,1.3856463,1.2720269,0.1136194
81,-1.5319703,-1.4184507,"('submissive', 'aggressive')",0.3709397,0.20896928,-1.1676892,-1.2372127,-0.7762399,-0.8155647,0.0393248
52,1.5240002,1.1970181,"('irrational', 'rational')",-0.5279566,-0.71173984,0.7262305,0.6066036,0.5740914,0.3639607,0.2101307
62,-1.5219057,-1.2194892,"('incompetent', 'brilliant')",0.41582876,0.37136447,0.05719188,0.17230818,-0.3496284,-0.2252722,-0.1243562
59,1.5067037,1.3207616,"('foolish', 'wise')",-0.09595202,-0.1670857,0.8981213,0.9268102,0.7696243,0.6934954,0.0761289
20,-1.4803247,-1.176457,"('rough', 'thoughtful')",0.6104546,0.7241417,0.7627318,0.92768115,-0.0357128,0.1584553,-0.1941681
14,-1.4443564,-1.3958952,"('antisocial', 'social')",1.123103,1.1116499,-0.9376915,-1.0570196,-0.4196483,-0.4470883,0.02744
65,-1.4214987,-1.2850608,"('insecure', 'secure')",0.77393705,0.618854,-0.6795057,-0.64665884,-0.4423558,-0.4376219,-0.0047339
60,-1.36234,-1.0885717,"('inefficient', 'efficient')",0.99169266,0.86333156,-0.057900444,-0.018505797,-0.1428492,-0.0812486,-0.0616006
35,1.3494418,1.1040089,"('corrupt', 'incorrupt')",-1.0521874,-0.886083,0.28390676,0.25183088,0.1937204,0.1565856,0.0371348
7,-1.298581,-1.1101274,"('insensitive', 'sensitive')",0.19073224,0.015166666,0.9005105,0.9646915,-0.0691128,-0.0434231,-0.0256897
45,-1.2931776,-0.91782343,"('incompetent', 'competent')",0.09245934,-0.094279155,-0.39537668,-0.37534443,-0.5320317,-0.4624823,-0.0695494
70,-1.1570033,-0.9344213,"('lethargic', 'energetic')",0.076975144,-0.057707798,0.9357475,0.9152334,-0.0480936,-0.0256319,-0.0224617
13,-1.0813271,-0.88265824,"('impolite', 'polite')",0.09184982,0.004337145,-0.55330867,-0.5094664,-0.514262,-0.4625959,-0.0516661
51,-1.0725287,-0.9007946,"('uneducated', 'educated')",0.30936396,0.19105001,0.20466918,0.27032775,-0.1861652,-0.1464723,-0.0396929
41,-1.054493,-0.9768083,"('unforgiving', 'forgiving')",-0.06683962,-0.28548688,0.0018785819,-0.16672236,-0.3731513,-0.4763392,0.1031879
57,-1.0467318,-0.8517319,"('unimaginative', 'imaginative')",-0.11715627,-0.23213536,-3.0300014,-2.8174613,-1.3979632,-1.3004429,-0.0975203
