,brown_male,brown_female,tuple,forman_male,forman_female,corp_male,corp_female,average_male,average_female,male-female
31,-2.9416385,-2.8401136,"('evil', 'good')",-0.16468069,-0.20055337,-0.74965614,-1.0256242,-1.2853251,-1.3554304,0.0701053
60,2.5000644,2.3804648,"('inefficient', 'efficient')",0.12779379,0.1803218,0.023974702,0.43435195,0.8839443,0.9983795,-0.1144352
16,-2.3637192,-2.2221997,"('unpopular', 'popular')",-1.2752709,-1.222096,0.49523628,0.4110493,-1.047918,-1.0110821,-0.0368359
56,2.0748594,2.2938645,"('impractical', 'practical')",0.41508776,0.66628915,-0.8963394,-0.42280418,0.5312026,0.8457832,-0.3145806
75,-1.9753124,-1.7921336,"('meek', 'impulsive')",-0.245974,-0.16015247,-0.81538993,-0.911462,-1.0122254,-0.9545827,-0.0576427
55,1.9407296,1.8960532,"('incompetent', 'clever')",-0.37413052,-0.4884446,-0.02163507,0.059271723,0.514988,0.4889601,0.0260279
14,1.9403751,2.096256,"('antisocial', 'social')",0.6335603,0.7085299,-0.64962,-0.21742311,0.6414385,0.8624543,-0.2210158
21,1.9236456,1.9048918,"('immoral', 'moral')",-0.004618734,-0.08499261,-0.708122,-0.6261839,0.4036349,0.3979051,0.0057298
13,1.8834304,2.008297,"('impolite', 'polite')",0.11342222,0.33008093,-0.8223158,-0.50614035,0.3915123,0.6107459,-0.2192336
85,-1.7755747,-1.8891673,"('insignificant', 'prestigious')",-0.608992,-0.833477,-0.049618363,-0.6325753,-0.811395,-1.1184065,0.3070115
66,-1.7152237,-1.8367224,"('inactive', 'active')",-0.35564864,-0.5591531,0.2571932,-0.12220864,-0.6045597,-0.8393613,0.2348016
36,-1.6935791,-1.8078716,"('hostile', 'amicable')",-0.6591696,-0.8330773,0.006782444,-0.48054975,-0.7819887,-1.0404995,0.2585108
39,1.6584269,1.6440101,"('exploitative', 'cooperative')",0.6698884,0.7134923,0.1166193,0.21802424,0.8149782,0.8585089,-0.0435307
0,1.5372001,1.4555645,"('unsociable', 'sociable')",-0.5640198,-0.72553694,-0.39403176,-0.24490124,0.1930495,0.1617088,0.0313407
30,1.4979159,1.6069928,"('intolerant', 'tolerant')",-0.24800615,-0.09482828,0.636004,0.97426057,0.6286379,0.8288084,-0.2001705
10,1.49563,1.252063,"('unsympathetic', 'sympathetic')",-1.0043215,-1.253343,-0.15364191,-0.3446558,0.1125556,-0.1153119,0.2278675
52,-1.4655029,-1.5131354,"('irrational', 'rational')",-0.4212401,-0.65791947,0.35990354,-0.012890706,-0.5089465,-0.7279819,0.2190354
79,-1.4120684,-1.4152164,"('wavering', 'unwavering')",-0.46990785,-0.541105,-0.25008538,-0.6223403,-0.7106872,-0.859554,0.1488668
43,1.3575771,1.2414311,"('irresponsible', 'responsible')",-0.18001491,-0.090882614,0.15230846,0.22160073,0.4432902,0.4573831,-0.0140929
35,-1.3542296,-1.1768538,"('corrupt', 'incorrupt')",0.16561522,0.2641007,-0.3028784,-0.5726993,-0.4971642,-0.4951508,-0.0020134
81,1.3403795,1.4548063,"('submissive', 'aggressive')",0.5160267,0.5854085,-0.736019,-0.26641542,0.3734624,0.5912665,-0.2178041
37,1.3203087,1.2220845,"('fake', 'genuine')",0.5007085,0.46686748,0.24902958,0.008403979,0.6900156,0.5657853,0.1242303
80,1.2803015,1.2492851,"('dominated', 'dominating')",0.44389904,0.22894965,-1.0750059,-0.9668271,0.2163982,0.1704692,0.045929
4,-1.2757816,-1.0500723,"('disliked', 'liked')",-0.07591167,-0.045446023,-7.2251573,-6.9837956,-2.8589503,-2.6931047,-0.1658456
12,1.2524599,1.184866,"('unsupportive', 'supportive')",0.06617498,-0.10392943,-2.0756483,-2.066715,-0.2523378,-0.3285928,0.076255
54,-1.2402804,-1.0798948,"('incapable', 'capable')",-0.64995414,-0.5986218,0.8962614,0.5782178,-0.3313244,-0.3667663,0.0354419
34,-1.2287359,-1.2701117,"('mean', 'honorable')",0.052136615,0.04491613,5.7196484,5.5819592,1.5143496,1.4522546,0.062095
53,-1.2046783,-1.3943261,"('uncreative', 'creative')",-1.8903764,-2.0611057,0.35739315,0.011816964,-0.9125538,-1.1478717,0.2353179
24,1.2044241,1.0478315,"('dishonest', 'honest')",-0.70760626,-0.66258246,0.7268683,0.65047896,0.4078954,0.3452427,0.0626527
48,1.1927814,1.0231683,"('unintelligent', 'intelligent')",-0.45193377,-0.5792002,1.1193305,1.0368559,0.6200594,0.493608,0.1264514
65,1.1903845,1.281476,"('insecure', 'secure')",0.57302,0.5867129,-0.5599376,-0.26033,0.4011556,0.535953,-0.1347974
62,1.1445754,1.4252281,"('incompetent', 'brilliant')",-0.109476715,0.08609004,0.37437904,0.7285416,0.4698259,0.7466199,-0.276794
88,-1.0755262,-1.2051257,"('low', 'eminent')",-0.9431686,-1.020389,-0.32612884,-0.4991621,-0.7816079,-0.9082256,0.1266177
32,1.0673792,0.91670614,"('unkind', 'kind')",-0.32592946,-0.35875526,0.7598361,0.69030786,0.5004286,0.4160862,0.0843424
67,1.0632248,1.2841288,"('doubtful', 'determined')",0.67135096,0.9804588,-0.6338223,-0.33184743,0.3669178,0.6442467,-0.2773289
71,1.0303648,1.0808115,"('diffident', 'self-confident')",0.8840072,0.8863461,0.42498732,0.3840704,0.7797864,0.7837427,-0.0039563
5,-1.029904,-0.78295517,"('distant', 'outgoing')",-0.40887377,-0.35421047,-0.29118484,-0.47148618,-0.5766542,-0.5362173,-0.0404369
58,-1.0117215,-1.3614485,"('undiscriminating', 'discriminating')",-1.0113631,-1.2757586,0.13737091,-0.07534246,-0.6285712,-0.9041831,0.2756119
8,-0.9608162,-1.0844871,"('unaffectionate', 'affectionate')",-1.0437847,-1.1854208,1.1159836,0.48493016,-0.2962058,-0.5949926,0.2987868
69,-0.9532226,-0.7788367,"('lazy', 'industrious')",1.5421436,1.5602616,-0.4714216,-0.41693035,0.0391665,0.1214982,-0.0823317
6,-0.8489374,-0.71169245,"('distant', 'open')",-0.6349131,-0.5862338,-0.25776595,-0.6903783,-0.5805388,-0.6627682,0.0822294
7,0.8373197,0.8617958,"('insensitive', 'sensitive')",-0.35933295,-0.39592466,0.22405419,0.20978957,0.2340136,0.2252202,0.0087934
46,0.83125466,0.68209827,"('uncompetitive', 'competitive')",-0.8443494,-0.9019931,-0.9971638,-0.95213926,-0.3367528,-0.390678,0.0539252
41,0.82824415,0.87714016,"('unforgiving', 'forgiving')",0.05112652,0.08485919,0.0030658282,-0.07925573,0.2941455,0.2942479,-0.0001024
23,0.81189114,0.7797847,"('insincere', 'sincere')",-0.71775424,-0.7114462,5.9590197,5.830052,2.0177188,1.9661301,0.0515887
82,-0.807723,-0.7582041,"('poor', 'rich')",-0.4330752,-0.38593766,6.180976,5.9559345,1.646726,1.603931,0.042795
42,0.75741124,0.91558063,"('unreliable', 'reliable')",0.8463204,0.9761741,-3.5139916,-3.4588368,-0.6367533,-0.5223607,-0.1143926
