,bemis_male,bemis_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
57,-1.7501471,-1.5075835,"('unimaginative', 'imaginative')",-0.5529582,-0.5139245,-2.7618556,-2.3850887,-1.6883203,-1.4688656,-0.2194547
53,-1.6747483,-1.7523944,"('uncreative', 'creative')",-0.28797615,-0.23006442,1.178895,1.1366118,-0.2612765,-0.281949,0.0206725
73,1.3984995,1.1580335,"('helpless', 'self-reliant')",0.9378073,0.5185853,-3.0349548,-3.1083622,-0.2328827,-0.4772478,0.2443651
86,-1.30091,-1.1275725,"('uninfluential', 'influential')",-0.5375699,-0.08145772,0.2722305,0.6029624,-0.5220831,-0.2020226,-0.3200605
0,-1.1554834,-1.11198,"('unsociable', 'sociable')",0.17393486,0.22595423,-0.8835963,-0.8301409,-0.6217149,-0.5720555,-0.0496594
6,-1.1066152,-0.6376641,"('distant', 'open')",-1.627921,-1.2319698,0.42635983,0.44557586,-0.7693921,-0.474686,-0.2947061
77,-1.0741129,-1.257601,"('unmotivated', 'motivated')",-0.61759555,-0.6770095,-1.0333245,-0.88573354,-0.9083443,-0.9401147,0.0317704
2,1.0068014,0.73961335,"('unlikable', 'likable')",1.5673693,1.1514052,0.8618739,0.5373564,1.1453482,0.8094583,0.3358899
46,-0.98154235,-0.96765167,"('uncompetitive', 'competitive')",-0.440312,-0.46150777,-0.95251,-0.78077054,-0.7914548,-0.7366433,-0.0548115
66,-0.8987243,-0.4212889,"('inactive', 'active')",-0.58616626,0.0057029873,1.203515,1.4559911,-0.0937918,0.3468018,-0.4405936
44,0.8309632,0.77093124,"('prejudiced', 'unprejudiced')",-0.69515026,-0.9522339,-1.6578584,-1.7150699,-0.5073485,-0.6321242,0.1247757
39,0.8234605,0.5907594,"('exploitative', 'cooperative')",1.6942149,1.5948503,0.067207575,-0.13956203,0.8616277,0.6820159,0.1796118
10,-0.79002,-0.77569634,"('unsympathetic', 'sympathetic')",-0.548699,-0.44285253,-0.37185687,-0.005545223,-0.5701919,-0.4080314,-0.1621605
29,-0.75630206,-0.5638272,"('unfair', 'fair')",-0.33906284,-0.071528256,-0.6453092,-0.51629317,-0.5802247,-0.3838829,-0.1963418
28,-0.75606275,-1.005823,"('disloyal', 'loyal')",-0.77846444,-0.9026286,1.1965201,1.0612887,-0.112669,-0.2823876,0.1697186
14,0.7031005,0.50068456,"('antisocial', 'social')",1.2701745,1.1615269,-0.7313258,-0.8643578,0.413983,0.2659512,0.1480318
30,0.6819351,0.46916968,"('intolerant', 'tolerant')",1.4388595,0.97875804,1.1757351,1.0133234,1.0988433,0.8204171,0.2784262
48,-0.67192525,-0.8053879,"('unintelligent', 'intelligent')",-0.3749662,-0.20234203,0.41056186,0.51585853,-0.2121099,-0.1639572,-0.0481527
52,-0.6335389,-0.42128778,"('irrational', 'rational')",-0.90834934,-0.88454425,0.7306336,0.66374665,-0.2704182,-0.2140285,-0.0563897
61,-0.61785364,-0.6743647,"('illogical', 'logical')",-0.4443137,-0.3841372,-0.026553009,-0.07719533,-0.3629068,-0.3785657,0.0156589
26,0.6031488,0.7822668,"('hardhearted', 'benevolent')",2.2117474,2.416523,1.8404243,1.7258433,1.5517734,1.6415443,-0.0897709
1,-0.5955528,-0.62735665,"('unfriendly', 'friendly')",-0.2849919,-0.209733,2.2254698,2.0774422,0.4483084,0.4134508,0.0348576
84,-0.5941609,-0.49170515,"('inferior', 'superior')",0.574985,0.6188926,0.57508326,0.6463141,0.1853025,0.2578338,-0.0725313
8,-0.58914804,-0.34144822,"('unaffectionate', 'affectionate')",-1.3280057,-1.3667678,1.3932004,1.4492991,-0.1746511,-0.0863056,-0.0883455
5,-0.5734786,-0.13848552,"('distant', 'outgoing')",-1.286926,-1.0755042,-0.2217989,-0.29952922,-0.6940678,-0.5045063,-0.1895615
85,0.5053511,0.72633886,"('insignificant', 'prestigious')",-1.0142951,-1.1184392,1.1171398,1.1221639,0.2027319,0.2433545,-0.0406226
83,-0.49763462,-0.46322134,"('powerless', 'powerful')",-1.1303532,-1.2379036,-1.2722257,-1.1110941,-0.9667379,-0.9374064,-0.0293315
70,-0.48549128,-0.65413105,"('lethargic', 'energetic')",0.14353314,0.0362736,0.9265184,1.0514927,0.1948534,0.1445451,0.0503083
50,0.48331273,0.19633475,"('clumsy', 'skillful')",-0.42688444,-0.75726265,0.64538383,0.749242,0.2339374,0.0627714,0.171166
37,0.4513729,0.60499,"('fake', 'genuine')",-0.5326926,-0.45633352,0.39550164,0.53158385,0.1047273,0.2267468,-0.1220195
15,-0.44798687,-0.2646973,"('boring', 'funny')",0.6248364,0.5838488,0.67858696,0.67301035,0.2851455,0.3307206,-0.0455751
9,-0.4405549,-0.4041741,"('unaffectionate', 'caring')",-0.8790031,-0.9951395,2.0123193,2.0213654,0.2309204,0.2073506,0.0235698
4,0.4402952,0.52052796,"('disliked', 'liked')",-1.0456349,-1.250767,-6.4725666,-6.4035325,-2.359302,-2.3779238,0.0186218
87,0.43679738,0.63694066,"('unsuccessful', 'successful')",0.7271,0.78194976,1.064357,1.2367915,0.7427514,0.8852274,-0.142476
62,0.43569568,0.04700823,"('incompetent', 'brilliant')",0.12256433,-0.25244242,0.1486857,-0.08771755,0.2356486,-0.0977172,0.3333658
16,-0.42986384,-0.46016276,"('unpopular', 'popular')",-0.7698048,-0.9306201,0.91007626,0.8849763,-0.0965308,-0.1686022,0.0720714
88,-0.4265694,-0.5418681,"('low', 'eminent')",-0.65892506,-1.0174814,0.5399814,0.51509476,-0.1818377,-0.3480849,0.1662472
75,-0.42317352,-0.41853,"('meek', 'impulsive')",-0.68441135,-0.83886796,-0.37641856,-0.33621478,-0.4946678,-0.5312042,0.0365364
78,-0.40982926,-0.34277964,"('nonresilient', 'resilient')",-0.1349772,0.14499082,0.16164604,0.55009514,-0.1277201,0.1174354,-0.2451555
58,-0.4023799,-0.2127785,"('undiscriminating', 'discriminating')",0.9342394,1.1922971,0.22295222,0.2947935,0.2516039,0.4247707,-0.1731668
72,-0.38761923,-0.42948574,"('unambitious', 'ambitious')",-0.82632303,-0.86409366,-0.98179394,-0.9398943,-0.7319121,-0.7444913,0.0125792
40,-0.34946036,-0.26521543,"('stingy', 'generous')",-0.38771415,-0.13161707,-1.4374336,-1.2960165,-0.7248694,-0.564283,-0.1605864
19,-0.34500623,0.08921681,"('inhospitable', 'hospitable')",-0.55506814,-0.5002779,0.38458362,0.29820022,-0.1718303,-0.0376203,-0.13421
79,0.334848,0.5625255,"('wavering', 'unwavering')",-1.4850457,-1.4617952,0.31881335,0.31738448,-0.2771281,-0.1939617,-0.0831664
41,0.33403116,0.15070412,"('unforgiving', 'forgiving')",0.27360502,0.07902822,0.116807394,0.08029047,0.2414812,0.1033409,0.1381403
42,0.3264128,0.229413,"('unreliable', 'reliable')",-0.02759856,-0.3025823,-3.098522,-2.8741622,-0.9332359,-0.9824438,0.0492079
59,0.3196933,0.3106911,"('foolish', 'wise')",-0.2226543,-0.14075673,0.87517536,0.8062731,0.3240714,0.3254025,-0.0013311
69,0.31819355,0.634635,"('lazy', 'industrious')",0.17254421,0.49711183,-0.21573374,-0.17376125,0.091668,0.3193285,-0.2276605
64,-0.2912924,-0.14211904,"('shy', 'confident')",-0.099256456,-0.18009277,-6.992407,-6.7271748,-2.4609852,-2.3497955,-0.1111897
35,-0.2904848,-0.01772336,"('corrupt', 'incorrupt')",-0.9846338,-0.96771085,0.10211225,0.016634855,-0.3910021,-0.3229331,-0.068069
