,forest_male,forest_female,tuple,labs_male,labs_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.9624262,-2.7139432,"('hostile', 'amicable')",-1.7819734,-2.15289,0.74175906,0.21181746,-1.3342136,-1.551672,0.2174584
31,-2.5224884,-2.3638082,"('evil', 'good')",-0.847771,-1.0586332,0.061877318,-0.3015658,-1.102794,-1.2413358,0.1385418
60,2.3288584,2.118711,"('inefficient', 'efficient')",1.9083232,2.3317525,-0.6634038,-0.08547999,1.1912593,1.4549944,-0.2637351
56,2.17271,2.280207,"('impractical', 'practical')",0.4396639,0.8058169,-1.0984724,-0.6646237,0.5046338,0.8071334,-0.3024996
19,-1.9454198,-1.5981487,"('inhospitable', 'hospitable')",-1.3345511,-1.3542472,0.18113993,0.11157142,-1.0329436,-0.9469415,-0.0860021
14,1.8444763,1.5830398,"('antisocial', 'social')",0.9678615,1.1923779,-0.81813645,-0.71794385,0.6647338,0.6858246,-0.0210908
5,-1.803062,-1.3094702,"('distant', 'outgoing')",-1.1800637,-1.1411848,0.24956116,0.36830068,-0.9111882,-0.6941181,-0.2170701
43,1.6694813,1.5414437,"('irresponsible', 'responsible')",-0.31745923,-0.111715145,0.095432565,0.39775607,0.4824849,0.6091615,-0.1266766
39,1.637559,1.5260184,"('exploitative', 'cooperative')",0.43876633,0.5545745,0.23088007,0.3095393,0.7690685,0.7967107,-0.0276422
71,1.5649995,1.6915362,"('diffident', 'self-confident')",-0.17467755,-0.087487504,0.61070997,0.47085616,0.6670106,0.691635,-0.0246244
6,-1.5607787,-1.2199924,"('distant', 'open')",-1.3003799,-1.4305569,1.045197,0.9784406,-0.6053205,-0.5573696,-0.0479509
30,1.5250444,1.4901599,"('intolerant', 'tolerant')",0.930296,1.0956857,0.49714795,0.6932108,0.9841628,1.0930188,-0.108856
21,1.506018,1.2566254,"('immoral', 'moral')",0.4654173,0.5207382,-1.0887084,-0.8060688,0.2942423,0.3237649,-0.0295226
4,-1.4580475,-1.1722445,"('disliked', 'liked')",-0.7928576,-0.7405854,-6.9224143,-7.024809,-3.057773,-2.9792131,-0.0785599
16,-1.3982348,-1.2609758,"('unpopular', 'popular')",-0.39072487,-0.5340971,0.44045267,0.20856741,-0.4495023,-0.5288352,0.0793329
55,1.386126,1.069245,"('incompetent', 'clever')",2.082511,2.1584606,-0.2364389,-0.08216697,1.0773993,1.0485129,0.0288864
35,-1.3590306,-1.0672235,"('corrupt', 'incorrupt')",-0.94862735,-1.1619262,0.34394312,-0.06522095,-0.6545716,-0.7647902,0.1102186
44,-1.3386451,-1.4627931,"('prejudiced', 'unprejudiced')",-0.27482823,-0.38793176,-1.4407196,-1.6175483,-1.0180643,-1.1560911,0.1380268
10,1.3182402,1.006444,"('unsympathetic', 'sympathetic')",-0.27297795,-0.1347311,-0.6335462,-0.36350322,0.1372387,0.1694032,-0.0321645
52,-1.2546902,-1.0773108,"('irrational', 'rational')",-1.0292114,-1.2642579,0.6878878,0.3238058,-0.5320046,-0.6725876,0.140583
7,1.2440346,1.0750895,"('insensitive', 'sensitive')",0.50601506,0.6921214,0.82548237,0.8261585,0.8585107,0.8644565,-0.0059458
46,1.2233235,0.9384502,"('uncompetitive', 'competitive')",0.07431715,0.12295653,-1.6238183,-1.3443514,-0.1087259,-0.0943149,-0.014411
24,1.1618016,1.0374054,"('dishonest', 'honest')",-0.78816515,-0.59340787,0.7345929,0.94480824,0.3694098,0.4629352,-0.0935254
66,-1.1386142,-1.1556576,"('inactive', 'active')",-1.202464,-1.3631871,0.8585675,0.39475158,-0.4941703,-0.708031,0.2138607
50,-1.1289728,-1.0737976,"('clumsy', 'skillful')",-0.6693212,-0.82826626,0.2675924,0.122581385,-0.5102338,-0.5931608,0.082927
79,-1.1274621,-0.8826012,"('wavering', 'unwavering')",-1.7093097,-1.9557302,0.36999524,0.13575806,-0.8222589,-0.9008578,0.0785989
75,-1.1070484,-0.92579144,"('meek', 'impulsive')",-0.23904568,-0.44192365,-0.2397145,-0.29557624,-0.5286029,-0.5544304,0.0258275
80,1.0964233,0.76533735,"('dominated', 'dominating')",0.6388373,0.81767416,-1.560998,-1.4717906,0.0580875,0.0370737,0.0210138
23,1.0064149,0.8743256,"('insincere', 'sincere')",0.20098314,0.47896013,5.881845,6.2416315,2.363081,2.5316391,-0.1685581
62,1.0029392,0.9159859,"('incompetent', 'brilliant')",1.800864,2.173874,-0.46481863,0.17063966,0.7796615,1.0868332,-0.3071717
12,0.9793268,0.9220232,"('unsupportive', 'supportive')",-0.23792899,-0.08602666,-1.8715256,-1.7310997,-0.3767093,-0.2983677,-0.0783416
28,0.93869126,1.0083439,"('disloyal', 'loyal')",0.088772304,0.16937307,1.0603886,1.1857704,0.6959507,0.7878291,-0.0918784
32,0.9298967,0.86419797,"('unkind', 'kind')",0.07871623,0.28797236,0.7946242,0.83637667,0.6010791,0.662849,-0.0617699
63,0.8649174,0.89419234,"('unperceptive', 'insightful')",0.21370573,0.41038087,0.5488829,0.83699757,0.542502,0.7138569,-0.1713549
48,0.84622985,0.6666824,"('unintelligent', 'intelligent')",1.4519004,1.5524864,0.18887354,0.23227756,0.8290013,0.8171488,0.0118525
9,0.8053265,0.92302847,"('unaffectionate', 'caring')",-0.30036697,-0.16392045,1.6902368,1.8209418,0.7317321,0.8600166,-0.1282845
81,0.76381207,0.47111127,"('submissive', 'aggressive')",1.0969558,1.1090558,-1.2850413,-1.028795,0.1919088,0.1837907,0.0081181
25,0.7507934,0.99917775,"('egoistic', 'altruistic')",0.7639384,0.75106966,2.0271177,1.8428706,1.1806165,1.1977061,-0.0170896
