,viatris_male,viatris_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.9204402,-2.0765393,"('distant', 'open')",0.40741906,0.549632,-0.7565106,-0.7634536,0.006943
5,-1.7539781,-1.7986401,"('distant', 'outgoing')",-0.23666732,-0.010702629,-0.9953227,-0.9046714,-0.0906513
19,-1.590496,-1.1530312,"('inhospitable', 'hospitable')",-0.17905435,0.086382955,-0.8847752,-0.5333241,-0.3514511
36,-1.585851,-1.5143731,"('hostile', 'amicable')",0.23211895,0.40959394,-0.676866,-0.5523896,-0.1244764
60,1.5787535,1.566585,"('inefficient', 'efficient')",-0.14240046,-0.10765007,0.7181765,0.7294675,-0.011291
79,-1.5162132,-1.1638725,"('wavering', 'unwavering')",-0.055408213,0.26278612,-0.7858107,-0.4505432,-0.3352675
31,-1.4807937,-1.7277205,"('evil', 'good')",-0.70312893,-0.83936536,-1.0919614,-1.2835429,0.1915815
81,1.4392301,1.9025543,"('submissive', 'aggressive')",-0.8383773,-0.66119736,0.3004264,0.6206784,-0.320252
53,-1.357798,-1.3462031,"('uncreative', 'creative')",0.98959625,0.7157033,-0.1841009,-0.3152499,0.131149
1,-1.3215798,-1.811681,"('unfriendly', 'friendly')",1.9238019,1.6447695,0.301111,-0.0834557,0.3845667
8,-1.2754486,-1.5014722,"('unaffectionate', 'affectionate')",1.0880636,1.0432973,-0.0936925,-0.2290875,0.135395
76,1.272695,2.0762835,"('anxious', 'daring')",0.17494664,0.36630997,0.7238208,1.2212967,-0.4974759
80,1.248492,1.2847388,"('dominated', 'dominating')",-1.2828125,-1.5694147,-0.0171602,-0.142338,0.1251778
9,-1.1842251,-1.3429347,"('unaffectionate', 'caring')",1.2604926,1.2939631,0.0381337,-0.0244858,0.0626195
29,-1.13825,-0.9635643,"('unfair', 'fair')",-0.2101711,-0.42439905,-0.6742105,-0.6939816,0.0197711
42,1.1069331,1.4191326,"('unreliable', 'reliable')",-2.2533062,-2.7521365,-0.5731865,-0.6665019,0.0933154
16,-1.0892831,-1.020989,"('unpopular', 'popular')",0.28012824,0.39371917,-0.4045774,-0.3136349,-0.0909425
30,1.0144913,1.2928512,"('intolerant', 'tolerant')",1.0961363,1.3184485,1.0553138,1.3056499,-0.2503361
14,0.96550554,1.2393172,"('antisocial', 'social')",-0.5651902,-0.47311822,0.2001577,0.3830995,-0.1829418
65,0.9179348,1.2267395,"('insecure', 'secure')",-0.28601962,-0.32207513,0.3159576,0.4523322,-0.1363746
39,0.90834284,0.7278231,"('exploitative', 'cooperative')",0.2461996,0.08426394,0.5772712,0.4060435,0.1712277
66,-0.90135825,-0.7802515,"('inactive', 'active')",0.7515764,0.60398966,-0.0748909,-0.0881309,0.01324
86,-0.8906335,-1.4861448,"('uninfluential', 'influential')",0.0585526,-0.5946103,-0.4160405,-1.0403775,0.624337
