,keycorp_male,keycorp_female,tuple,average_male,average_female,male-female
80,-0.17952013,-0.5322025,"('dominated', 'dominating')",-0.1795201,-0.5322025,0.3526824
49,-0.17595543,0.31505632,"('unable', 'able')",-0.1759554,0.3150563,-0.4910117
67,0.15964893,0.041094657,"('doubtful', 'determined')",0.1596489,0.0410947,0.1185542
41,-0.15666237,-0.18140128,"('unforgiving', 'forgiving')",-0.1566624,-0.1814013,0.0247389
16,-0.14813939,0.03689878,"('unpopular', 'popular')",-0.1481394,0.0368988,-0.1850382
58,0.13941908,-0.14132053,"('undiscriminating', 'discriminating')",0.1394191,-0.1413205,0.2807396
61,0.12373084,0.009768575,"('illogical', 'logical')",0.1237308,0.0097686,0.1139622
83,0.11599834,-0.15812057,"('powerless', 'powerful')",0.1159983,-0.1581206,0.2741189
3,0.0953551,0.44163835,"('repellent', 'pleasant')",0.0953551,0.4416384,-0.3462833
63,-0.07229499,-0.04598219,"('unperceptive', 'insightful')",-0.072295,-0.0459822,-0.0263128
85,-0.06986928,-0.34099728,"('insignificant', 'prestigious')",-0.0698693,-0.3409973,0.271128
74,-0.06931894,-0.28023392,"('undedicated', 'dedicated')",-0.0693189,-0.2802339,0.210915
48,-0.05170583,0.20988524,"('unintelligent', 'intelligent')",-0.0517058,0.2098852,-0.261591
18,-0.050482437,0.12180199,"('disagreeable', 'welcoming')",-0.0504824,0.121802,-0.1722844
6,0.049499847,-0.03834176,"('distant', 'open')",0.0494998,-0.0383418,0.0878416
66,0.049312875,-0.37685165,"('inactive', 'active')",0.0493129,-0.3768516,0.4261645
88,-0.041213907,-0.23093995,"('low', 'eminent')",-0.0412139,-0.23094,0.1897261
72,-0.029725052,-0.06836269,"('unambitious', 'ambitious')",-0.0297251,-0.0683627,0.0386376
20,-0.0260267,-0.12506391,"('rough', 'thoughtful')",-0.0260267,-0.1250639,0.0990372
14,0.02247821,-0.4818875,"('antisocial', 'social')",0.0224782,-0.4818875,0.5043657
52,-0.01692557,-0.10800436,"('irrational', 'rational')",-0.0169256,-0.1080044,0.0910788
78,-0.014455363,0.32942128,"('nonresilient', 'resilient')",-0.0144554,0.3294213,-0.3438767
53,-0.010283559,0.34957895,"('uncreative', 'creative')",-0.0102836,0.3495789,-0.3598625
