,navient_male,navient_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.4373147,-2.051214,"('uninfluential', 'influential')",-0.7641358,-0.58962137,-1.6007253,-1.3204176,-0.2803077
1,-2.148724,-2.259425,"('unfriendly', 'friendly')",1.1635888,1.0549569,-0.4925677,-0.602234,0.1096663
53,-1.7671126,-1.7359037,"('uncreative', 'creative')",0.12422552,0.23672579,-0.8214436,-0.749589,-0.0718546
57,-1.700025,-1.5317017,"('unimaginative', 'imaginative')",-3.3050432,-2.972634,-2.5025342,-2.2521679,-0.2503663
10,-1.6110945,-1.5258849,"('unsympathetic', 'sympathetic')",-0.6573444,-0.57839215,-1.1342194,-1.0521386,-0.0820808
9,-1.6097665,-1.6704445,"('unaffectionate', 'caring')",1.1298047,1.0423702,-0.2399809,-0.3140371,0.0740562
8,-1.5109285,-1.7485275,"('unaffectionate', 'affectionate')",0.48075375,0.39733857,-0.5150874,-0.6755944,0.160507
0,-1.4800345,-1.3405318,"('unsociable', 'sociable')",-0.45057297,-0.19194709,-0.9653037,-0.7662395,-0.1990642
46,-1.3781344,-1.1876265,"('uncompetitive', 'competitive')",-1.0350232,-0.8569159,-1.2065787,-1.0222712,-0.1843075
77,-1.3775268,-1.1831442,"('unmotivated', 'motivated')",-1.028768,-0.84542406,-1.2031474,-1.0142841,-0.1888633
28,-1.3074918,-1.0855812,"('disloyal', 'loyal')",0.9140865,0.9032992,-0.1967026,-0.091141,-0.1055616
6,-1.1857692,-1.4375683,"('distant', 'open')",-0.4799623,-0.5939946,-0.8328657,-1.0157814,0.1829157
61,-1.0967109,-0.9292298,"('illogical', 'logical')",0.043264247,0.15409173,-0.5267233,-0.387569,-0.1391543
66,-1.0790702,-1.3141013,"('inactive', 'active')",-0.21969853,-0.3533869,-0.6493844,-0.8337441,0.1843597
44,0.9664796,0.93865144,"('prejudiced', 'unprejudiced')",-1.6271267,-1.7433925,-0.3303235,-0.4023705,0.072047
63,-0.95463854,-0.89724517,"('unperceptive', 'insightful')",0.7132179,0.6960632,-0.1207103,-0.100591,-0.0201193
26,-0.9346954,-0.82834965,"('hardhearted', 'benevolent')",1.188839,1.257759,0.1270718,0.2147047,-0.0876329
58,-0.9177858,-0.7147452,"('undiscriminating', 'discriminating')",-0.20636086,-0.12008464,-0.5620733,-0.4174149,-0.1446584
36,-0.9065699,-1.0769819,"('hostile', 'amicable')",-0.3511958,-0.49215117,-0.6288829,-0.7845665,0.1556836
7,-0.89388615,-0.40622178,"('insensitive', 'sensitive')",-0.017154893,0.41438586,-0.4555205,0.004082,-0.4596025
45,-0.8655725,-0.66165805,"('incompetent', 'competent')",-0.24529378,-0.113933705,-0.5554332,-0.3877959,-0.1676373
12,-0.75964093,-0.59874284,"('unsupportive', 'supportive')",-2.0304215,-1.8209854,-1.3950312,-1.2098641,-0.1851671
72,-0.7563151,-0.6601213,"('unambitious', 'ambitious')",-0.43299583,-0.35531503,-0.5946555,-0.5077182,-0.0869373
55,-0.73897517,-0.23239718,"('incompetent', 'clever')",-0.16614631,0.2827362,-0.4525607,0.0251695,-0.4777302
22,-0.7354311,-0.22335717,"('untrustworthy', 'trustworthy')",-1.3412014,-1.0073785,-1.0383162,-0.6153678,-0.4229484
24,-0.7258284,-0.63492644,"('dishonest', 'honest')",0.5488726,0.5604597,-0.0884779,-0.0372334,-0.0512445
43,-0.69905245,-0.6357069,"('irresponsible', 'responsible')",0.120546654,0.3046477,-0.2892529,-0.1655296,-0.1237233
67,0.69716936,0.69138443,"('doubtful', 'determined')",-0.543288,-0.47389528,0.0769407,0.1087446,-0.0318039
48,-0.69562656,-0.3003665,"('unintelligent', 'intelligent')",0.89575875,1.1833937,0.1000661,0.4415136,-0.3414475
85,-0.6922025,-0.82175916,"('insignificant', 'prestigious')",-0.39076346,-0.5349438,-0.541483,-0.6783515,0.1368685
23,-0.6899733,-0.69967765,"('insincere', 'sincere')",5.680506,5.5506,2.4952664,2.4254613,0.0698051
83,-0.68319535,-0.6137329,"('powerless', 'powerful')",-0.9684902,-1.0444945,-0.8258427,-0.8291137,0.003271
78,-0.6812453,-0.6555982,"('nonresilient', 'resilient')",0.2967587,0.27333295,-0.1922433,-0.1911326,-0.0011107
71,-0.67790896,-0.64757454,"('diffident', 'self-confident')",0.39983058,0.51085454,-0.1390392,-0.06836,-0.0706792
21,-0.6737414,-0.41180325,"('immoral', 'moral')",-0.5073765,-0.43771803,-0.5905589,-0.4247606,-0.1657983
84,0.66683924,0.54609126,"('inferior', 'superior')",0.96977186,1.0315866,0.8183056,0.788839,0.0294666
3,-0.65624887,-0.46968636,"('repellent', 'pleasant')",0.4729752,0.5835234,-0.0916368,0.0569185,-0.1485553
54,-0.63318425,-0.8380595,"('incapable', 'capable')",0.86711097,0.8702089,0.1169634,0.0160747,0.1008887
31,-0.618699,-0.6669692,"('evil', 'good')",-0.98576903,-1.055843,-0.8022341,-0.8614061,0.059172
2,0.61783856,0.6703972,"('unlikable', 'likable')",0.3309769,0.43223011,0.4744077,0.5513136,-0.0769059
19,-0.59046614,-1.0419536,"('inhospitable', 'hospitable')",-0.29379937,-0.5444264,-0.4421328,-0.79319,0.3510572
69,0.5903225,0.8912285,"('lazy', 'industrious')",-0.58493304,-0.2450816,0.0026947,0.3230734,-0.3203787
25,-0.5836592,-0.636843,"('egoistic', 'altruistic')",0.8727155,0.9059831,0.1445282,0.13457,0.0099582
14,-0.57905275,0.027178094,"('antisocial', 'social')",-0.7187567,-0.13772066,-0.6489047,-0.0552713,-0.5936334
18,-0.57794166,-0.06803799,"('disagreeable', 'welcoming')",-0.7455046,-0.45992753,-0.6617231,-0.2639828,-0.3977403
74,-0.56432205,-0.52168775,"('undedicated', 'dedicated')",-0.66939336,-0.63200796,-0.6168577,-0.5768479,-0.0400098
73,0.5534354,0.48093855,"('helpless', 'self-reliant')",-3.0254564,-3.065938,-1.2360106,-1.2924998,0.0564892
50,0.5453618,0.6304898,"('clumsy', 'skillful')",0.07072176,-0.08926607,0.3080418,0.2706119,0.0374299
