,new_male,new_female,tuple,york_male,york_female,times_male,times_female,co_male,co_female,average_male,average_female,male-female
48,-1.6860217,-1.6819595,"('unintelligent', 'intelligent')",-1.562572,-1.65029,-0.30479482,-0.5232596,-0.36444172,-0.1952284,-0.9794576,-1.0126845,0.0332269
37,-1.5294362,-1.4311875,"('fake', 'genuine')",-1.9204524,-1.757261,-0.16162682,-0.28278458,-0.087209806,0.077801414,-0.9246813,-0.8483579,-0.0763234
8,-1.5248004,-1.6097257,"('unaffectionate', 'affectionate')",0.29194358,0.02875705,0.18531351,-0.072410166,0.68378454,0.69802725,-0.0909397,-0.2388379,0.1478982
77,-1.3878914,-1.3303782,"('unmotivated', 'motivated')",-1.1063998,-1.2394534,-0.46130884,-0.78735375,-1.4547533,-1.5269349,-1.1025884,-1.22103,0.1184416
1,-1.3504257,-1.3639926,"('unfriendly', 'friendly')",-0.24726915,-0.59084296,0.06292559,-0.3679021,1.4976696,1.2812229,-0.0092749,-0.2603787,0.2511038
16,-1.2118615,-1.079262,"('unpopular', 'popular')",-1.0978847,-1.1533531,-1.3458472,-1.3307555,-0.25221965,-0.4015612,-0.9769533,-0.9912329,0.0142796
31,-1.1853225,-1.2449429,"('evil', 'good')",0.5767667,0.40282094,0.53736496,0.44010252,-0.70566404,-0.74053127,-0.1942137,-0.2856377,0.091424
80,1.1483506,1.1358,"('dominated', 'dominating')",0.3164851,0.4009951,0.47632584,0.47691578,-0.5735068,-0.53179085,0.3419137,0.37048,-0.0285663
36,-1.1186191,-1.3651686,"('hostile', 'amicable')",0.56612426,-0.0065691937,0.14465083,-0.22380032,0.03329135,-0.46062145,-0.0936382,-0.5140399,0.4204017
42,1.0843973,1.0878865,"('unreliable', 'reliable')",1.0146549,0.9434669,0.5360237,0.41753995,-2.789223,-2.714963,-0.0385368,-0.0665174,0.0279806
27,-1.0831581,-1.1672678,"('hardhearted', 'softhearted')",-0.29677907,-0.4926513,0.36081535,0.04304473,1.1596527,1.183999,0.0351327,-0.1082189,0.1433516
50,-1.0822053,-0.93005264,"('clumsy', 'skillful')",-0.80071324,-0.7544623,-1.2760016,-1.3409193,-0.488208,-0.5228688,-0.9117821,-0.8870758,-0.0247063
81,0.99296516,1.0423812,"('submissive', 'aggressive')",0.2353486,0.4080648,0.12808016,0.17896011,-0.93863904,-0.6567528,0.1044387,0.2431633,-0.1387246
14,0.9846403,0.97021735,"('antisocial', 'social')",0.21718414,0.5004859,0.7750327,1.0127398,-0.0102273,0.14759421,0.4916575,0.6577593,-0.1661018
13,0.95058566,0.9689155,"('impolite', 'polite')",-1.1232561,-0.7331643,0.33511853,0.6071018,-0.21064858,0.12782758,-0.0120501,0.2426701,-0.2547202
45,-0.949492,-0.8347931,"('incompetent', 'competent')",-1.1118052,-0.7559078,-0.23196119,-0.16287218,-0.51473933,-0.39083576,-0.7019994,-0.5361022,-0.1658972
