,humana_male,humana_female,tuple,inc_male,inc_female,average_male,average_female,male-female
56,2.2690651,2.1480255,"('impractical', 'practical')",0.89367884,0.59457296,1.581372,1.3712993,0.2100727
36,-2.03483,-2.8729467,"('hostile', 'amicable')",-0.62117726,-0.70726913,-1.3280036,-1.790108,0.4621044
60,2.0169704,2.640962,"('inefficient', 'efficient')",0.9683758,1.1241573,1.4926732,1.8825595,-0.3898863
81,1.9062026,2.0387228,"('submissive', 'aggressive')",0.45770708,0.22165021,1.1819549,1.1301864,0.0517685
31,-1.8013092,-2.6783388,"('evil', 'good')",-1.6498137,-1.7615161,-1.7255614,-2.2199273,0.4943659
30,1.7250938,1.8868033,"('intolerant', 'tolerant')",1.8692951,1.8849759,1.7971945,1.8858895,-0.088695
21,1.7064391,1.5882742,"('immoral', 'moral')",-0.12476445,-0.13479613,0.7908373,0.726739,0.0640983
76,1.5776922,1.2762692,"('anxious', 'daring')",1.0019966,0.7172044,1.2898444,0.9967368,0.2931076
14,1.5726182,1.755891,"('antisocial', 'social')",-0.16425629,-0.43905511,0.704181,0.6584179,0.0457631
62,1.5075359,1.9336915,"('incompetent', 'brilliant')",0.9479787,1.2489386,1.2277573,1.591315,-0.3635577
53,-1.439612,-1.9864129,"('uncreative', 'creative')",0.68735415,0.64725816,-0.3761289,-0.6695774,0.2934485
66,-1.3797308,-1.846303,"('inactive', 'active')",0.14903301,0.2850036,-0.6153489,-0.7806497,0.1653008
35,-1.3796879,-1.6450192,"('corrupt', 'incorrupt')",-0.87884116,-0.7934017,-1.1292646,-1.2192104,0.0899458
16,-1.3258356,-1.4749767,"('unpopular', 'popular')",0.21024792,0.1872828,-0.5577939,-0.6438469,0.086053
43,1.2882204,1.4665941,"('irresponsible', 'responsible')",1.3761194,1.1148924,1.3321699,1.2907432,0.0414267
6,-1.2700356,-1.9119669,"('distant', 'open')",-0.32698992,-0.13347931,-0.7985128,-1.0227231,0.2242103
85,-1.1147671,-2.024351,"('insignificant', 'prestigious')",-0.3116225,-0.27435634,-0.7131948,-1.1493536,0.4361588
69,-1.076317,-1.0823239,"('lazy', 'industrious')",-1.0997581,-0.9026173,-1.0880375,-0.9924706,-0.0955669
11,1.0749985,1.1331676,"('unhelpful', 'helpful')",2.5715954,2.452422,1.823297,1.7927947,0.0305023
5,-1.0671358,-1.7485056,"('distant', 'outgoing')",-0.6615509,-0.45795187,-0.8643433,-1.1032287,0.2388854
42,1.0622884,1.0591447,"('unreliable', 'reliable')",-2.6128805,-2.585262,-0.775296,-0.7630587,-0.0122373
1,-1.0379385,-1.5965607,"('unfriendly', 'friendly')",1.0024288,1.233854,-0.0177549,-0.1813533,0.1635984
23,1.0173129,0.8835285,"('insincere', 'sincere')",6.3503766,6.19088,3.6838448,3.5372043,0.1466405
38,0.9847207,0.7197497,"('untruthful', 'truthful')",0.43911466,0.35484532,0.7119177,0.5372975,0.1746202
8,-0.94614637,-1.2424797,"('unaffectionate', 'affectionate')",0.17575008,0.4625728,-0.3851981,-0.3899534,0.0047553
19,-0.9441843,-1.547212,"('inhospitable', 'hospitable')",-0.21129729,-0.061628006,-0.5777408,-0.80442,0.2266792
52,-0.90683925,-1.2047589,"('irrational', 'rational')",-0.62665695,-0.38255584,-0.7667481,-0.7936574,0.0269093
65,0.89907557,1.2380317,"('insecure', 'secure')",0.24189489,0.09482919,0.5704852,0.6664305,-0.0959453
70,0.87013596,0.9711424,"('lethargic', 'energetic')",1.1652364,1.2253237,1.0176861,1.098233,-0.0805469
4,-0.80636364,-1.4846205,"('disliked', 'liked')",-6.6657777,-6.6917973,-3.7360706,-4.0882087,0.3521381
48,0.8036153,1.4410324,"('unintelligent', 'intelligent')",0.8620405,1.1951805,0.8328279,1.3181064,-0.4852785
22,0.7753446,0.8728788,"('untrustworthy', 'trustworthy')",-0.9612843,-0.797975,-0.0929698,0.0374519,-0.1304217
67,0.7650413,0.8178797,"('doubtful', 'determined')",-0.07580541,-0.26644805,0.3446179,0.2757158,0.0689021
63,0.74701196,0.61774164,"('unperceptive', 'insightful')",0.9775476,1.3617113,0.8622798,0.9897264,-0.1274466
59,-0.746614,-0.4570409,"('foolish', 'wise')",-0.16308774,0.28411236,-0.4548509,-0.0864643,-0.3683866
13,0.7109905,0.9119323,"('impolite', 'polite')",-0.061683618,-0.08337036,0.3246534,0.414281,-0.0896276
84,0.7062646,1.053787,"('inferior', 'superior')",0.74863106,1.1797161,0.7274479,1.1167516,-0.3893037
10,0.70579726,0.714558,"('unsympathetic', 'sympathetic')",0.25597706,0.1498791,0.4808872,0.4322186,0.0486686
34,0.7054826,0.46703508,"('mean', 'honorable')",6.2397833,6.3409314,3.4726329,3.4039834,0.0686495
86,-0.6925966,-0.6769515,"('uninfluential', 'influential')",-0.08145936,-0.0313889,-0.387028,-0.3541702,-0.0328578
74,0.68239605,0.46087146,"('undedicated', 'dedicated')",0.22245337,0.12053559,0.4524247,0.2907035,0.1617212
12,0.67535484,0.41034305,"('unsupportive', 'supportive')",-1.6149179,-1.5324447,-0.4697815,-0.5610508,0.0912693
41,0.66713655,0.496391,"('unforgiving', 'forgiving')",0.15751459,0.052629013,0.4123256,0.27451,0.1378156
45,0.65285593,0.62893564,"('incompetent', 'competent')",0.04931639,0.04345978,0.3510862,0.3361977,0.0148885
2,0.6376795,0.3989784,"('unlikable', 'likable')",0.64237666,0.6295566,0.6400281,0.5142675,0.1257606
