,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
57,-1.5974127,-1.147903,"('unimaginative', 'imaginative')",-2.4928505,-2.6602285,-2.0451317,-1.9040657,-0.141066
10,-1.4989756,-1.7671845,"('unsympathetic', 'sympathetic')",-0.3054446,-0.62016857,-0.9022101,-1.1936765,0.2914664
69,1.214849,1.045407,"('lazy', 'industrious')",-0.44069368,-0.5405037,0.3870777,0.2524517,0.134626
21,-1.2097787,-1.2874376,"('immoral', 'moral')",-0.79356503,-0.9948507,-1.0016718,-1.1411442,0.1394724
39,1.1743894,1.1923337,"('exploitative', 'cooperative')",0.2156391,0.46358377,0.6950142,0.8279587,-0.1329445
75,-1.0258167,-0.6467511,"('meek', 'impulsive')",-0.54731125,-0.3672411,-0.786564,-0.5069961,-0.2795679
81,-0.96978015,-0.9927259,"('submissive', 'aggressive')",-1.0989393,-1.2239882,-1.0343597,-1.1083571,0.0739974
24,-0.96790266,-1.139411,"('dishonest', 'honest')",0.2203535,0.46984512,-0.3737746,-0.3347829,-0.0389917
71,0.93666166,0.8106202,"('diffident', 'self-confident')",0.49434146,0.5149103,0.7155015,0.6627653,0.0527362
17,-0.93274564,-0.77172977,"('nasty', 'nice')",-0.8735826,-0.68685955,-0.9031641,-0.7292947,-0.1738694
22,-0.92391,-0.9763934,"('untrustworthy', 'trustworthy')",-0.8502748,-0.8336754,-0.8870924,-0.9050344,0.017942
53,-0.9076661,-0.63879174,"('uncreative', 'creative')",0.72320414,0.6356354,-0.092231,-0.0015782,-0.0906528
11,-0.84618926,-1.0793113,"('unhelpful', 'helpful')",1.4552817,1.4471248,0.3045462,0.1839068,0.1206394
50,0.8211871,0.59374046,"('clumsy', 'skillful')",0.6338557,0.4696832,0.7275214,0.5317118,0.1958096
76,-0.7910274,-0.7807916,"('anxious', 'daring')",-0.15796018,-0.17460044,-0.4744938,-0.477696,0.0032022
31,-0.78500354,-0.29287428,"('evil', 'good')",-0.66350484,-0.5448871,-0.7242542,-0.4188807,-0.3053735
33,0.7775571,0.80896854,"('wrong', 'right')",-0.33516368,-0.3163293,0.2211967,0.2463196,-0.0251229
70,-0.76634175,-0.932315,"('lethargic', 'energetic')",0.70086503,0.4616161,-0.0327384,-0.2353494,0.202611
86,-0.76163495,-0.75323987,"('uninfluential', 'influential')",0.064302355,-0.30851722,-0.3486663,-0.5308785,0.1822122
13,-0.7393821,-0.8674895,"('impolite', 'polite')",-0.5606324,-0.7353308,-0.6500072,-0.8014102,0.151403
4,-0.6629827,-0.28016236,"('disliked', 'liked')",-6.8652406,-6.970664,-3.7641115,-3.6254132,-0.1386983
27,-0.62085927,-0.7566483,"('hardhearted', 'softhearted')",1.7571656,1.384629,0.5681531,0.3139904,0.2541627
78,0.6012207,0.17548653,"('nonresilient', 'resilient')",0.77488947,0.2222473,0.6880551,0.1988669,0.4891882
84,0.58986217,0.56182325,"('inferior', 'superior')",1.0313722,0.95536435,0.8106172,0.7585938,0.0520234
30,-0.57838094,-0.3604098,"('intolerant', 'tolerant')",0.6625975,0.7246122,0.0421083,0.1821012,-0.1399929
15,-0.56955314,-0.09542083,"('boring', 'funny')",0.4217851,0.55747044,-0.073884,0.2310248,-0.3049088
64,-0.56854093,-0.79298013,"('shy', 'confident')",-6.643148,-6.946814,-3.6058445,-3.8698971,0.2640526
