,micron_male,micron_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,male-female
6,-2.0121343,-1.9894925,"('distant', 'open')",-2.0516853,-1.9478462,0.28679132,0.24715412,-1.2590095,-1.2300615,-0.028948
86,-1.8480757,-1.7982287,"('uninfluential', 'influential')",0.018198818,0.032559298,-0.19620119,-0.17731954,-0.6753593,-0.647663,-0.0276963
10,-1.845982,-1.4646775,"('unsympathetic', 'sympathetic')",-0.193424,0.043761894,-0.60916376,-0.3980833,-0.8828566,-0.606333,-0.2765236
5,-1.7291931,-1.6823125,"('distant', 'outgoing')",-1.7981412,-1.7612416,-0.086596936,-0.023009956,-1.2046437,-1.1555213,-0.0491224
1,-1.7271526,-1.872494,"('unfriendly', 'friendly')",-0.8002579,-0.8997331,1.5558879,1.4154503,-0.3238409,-0.4522589,0.128418
24,-1.6738851,-1.4839907,"('dishonest', 'honest')",-1.6083812,-1.4373769,0.62128997,0.7101257,-0.8869921,-0.7370807,-0.1499114
53,-1.5638493,-1.6233397,"('uncreative', 'creative')",0.38819936,0.38336882,0.9351021,0.9050129,-0.0801826,-0.1116526,0.03147
0,-1.4918678,-1.4416314,"('unsociable', 'sociable')",-0.11062371,-0.14877713,-0.44719812,-0.5396999,-0.6832298,-0.7100361,0.0268063
63,-1.3497624,-1.034102,"('unperceptive', 'insightful')",0.09409639,0.25047833,0.9910911,1.1106793,-0.0881916,0.1090185,-0.1972101
73,1.3435392,1.3753088,"('helpless', 'self-reliant')",0.60225964,0.61951846,-2.9669766,-2.8422678,-0.3403926,-0.2824802,-0.0579124
66,-1.3385557,-1.1986446,"('inactive', 'active')",-1.1207312,-1.0628021,1.0225945,0.94131744,-0.4788975,-0.4400431,-0.0388544
19,-1.323152,-1.153671,"('inhospitable', 'hospitable')",-1.4225767,-1.3225553,0.16456777,0.21346328,-0.8603869,-0.7542543,-0.1061326
57,-1.2346904,-1.2639871,"('unimaginative', 'imaginative')",0.47738707,0.5267009,-2.3018,-2.249212,-1.0197012,-0.9954994,-0.0242018
