,kimco_male,kimco_female,tuple,realty_male,realty_female,corp_male,corp_female,average_male,average_female,male-female
1,-1.2853115,-1.0689316,"('unfriendly', 'friendly')",-0.3781055,0.040835492,0.95138425,1.1241572,-0.2373442,0.0320204,-0.2693646
86,-1.2810925,-1.0610071,"('uninfluential', 'influential')",-2.525745,-2.3230104,-0.2768364,-0.52411777,-1.3612247,-1.3027117,-0.058513
26,-1.1832467,-1.2027338,"('hardhearted', 'benevolent')",1.3048216,1.4858563,0.95582235,1.0224538,0.3591324,0.4351921,-0.0760597
53,-1.1432251,-0.93430173,"('uncreative', 'creative')",0.024323296,0.18311933,0.5345993,0.48607552,-0.1947675,-0.088369,-0.1063985
31,-1.1020062,-0.9829334,"('evil', 'good')",0.22080271,0.32889235,-1.4141538,-1.1786187,-0.7651191,-0.6108866,-0.1542325
9,-1.0625455,-0.6916352,"('unaffectionate', 'caring')",0.011571597,0.3886754,1.2546453,1.4245169,0.0678905,0.3738524,-0.3059619
36,-1.0430682,-1.112601,"('hostile', 'amicable')",1.143416,1.4415133,-0.57920897,-0.20380567,-0.1596204,0.0417022,-0.2013226
57,-1.0371687,-0.9969049,"('unimaginative', 'imaginative')",-0.99075663,-0.8508204,-3.5713289,-3.6278982,-1.8664182,-1.8252079,-0.0412103
0,-1.0106993,-0.9880792,"('unsociable', 'sociable')",-0.6695227,-0.6506674,-0.1911284,-0.40013194,-0.6237835,-0.6796261,0.0558426
39,1.0094001,1.1381909,"('exploitative', 'cooperative')",0.027971776,-0.0040013175,0.015649084,0.048922915,0.351007,0.3943708,-0.0433638
2,0.9163998,0.88757896,"('unlikable', 'likable')",1.1527798,1.112047,0.83300406,0.71725506,0.9673945,0.905627,0.0617675
51,-0.9099856,-0.7471228,"('uneducated', 'educated')",-1.3101733,-1.364373,0.49650472,0.35941523,-0.5745513,-0.5840268,0.0094755
40,-0.9026286,-0.76771843,"('stingy', 'generous')",-0.38585648,-0.16257755,-2.547229,-2.5155637,-1.2785714,-1.1486199,-0.1299515
83,-0.8807136,-0.8843997,"('powerless', 'powerful')",0.32544225,0.33274448,-1.0837259,-1.1931243,-0.5463324,-0.5815932,0.0352608
18,-0.8669802,-0.5315918,"('disagreeable', 'welcoming')",0.25664175,0.48005754,-0.6716546,-0.60021204,-0.427331,-0.2172488,-0.2100822
73,0.8483551,0.82557446,"('helpless', 'self-reliant')",1.1147352,1.2493415,-3.8474147,-3.802188,-0.6281081,-0.5757573,-0.0523508
45,-0.8235906,-0.67527825,"('incompetent', 'competent')",-1.9288269,-1.9718843,0.074033186,-0.12825756,-0.8927948,-0.92514,0.0323452
72,-0.8190076,-0.6389237,"('unambitious', 'ambitious')",0.030536145,0.16581127,-0.4079706,-0.45000416,-0.398814,-0.3077055,-0.0911085
76,0.7608054,0.76307344,"('anxious', 'daring')",-0.037591808,-0.09169142,0.04869543,-0.2513084,0.257303,0.1400245,0.1172785
41,-0.75992453,-0.446662,"('unforgiving', 'forgiving')",-0.68995804,-0.3866023,-0.4616532,-0.32122907,-0.6371786,-0.3848312,-0.2523474
66,-0.7445805,-0.8170166,"('inactive', 'active')",0.69732285,0.80390245,0.8661615,1.0069606,0.272968,0.3312822,-0.0583142
10,-0.742795,-0.44048163,"('unsympathetic', 'sympathetic')",-2.444984,-2.2705517,-0.038709164,-0.22953409,-1.075496,-0.9801892,-0.0953068
52,-0.73634386,-0.7050155,"('irrational', 'rational')",0.6324271,0.8713358,-0.45692563,-0.27013025,-0.1869475,-0.0346033,-0.1523442
88,-0.7340762,-0.6938665,"('low', 'eminent')",-1.048941,-0.9661722,-0.41684324,-0.5342072,-0.7332868,-0.7314153,-0.0018715
71,-0.725774,-0.36522725,"('diffident', 'self-confident')",1.3969672,1.6618714,0.45510495,0.4118311,0.3754327,0.5694918,-0.1940591
