,janus_male,janus_female,tuple,cap_male,cap_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.1175776,-2.1961734,"('unfriendly', 'friendly')",0.06370918,-0.20237589,-0.38730675,-0.39003482,1.7113558,1.6430781,-0.1824548,-0.2863765,0.1039217
53,-2.0449355,-1.8499756,"('uncreative', 'creative')",-1.2631403,-1.3505179,-0.2521054,-0.3293961,1.0654415,1.100936,-0.623685,-0.6072383,-0.0164467
6,-1.9566568,-2.3921008,"('distant', 'open')",-1.8875828,-2.4461002,-2.1580076,-2.375499,0.18241283,0.1379597,-1.4549587,-1.7689352,0.3139765
9,-1.8214546,-1.8549908,"('unaffectionate', 'caring')",-0.7042364,-0.86281174,-0.1567553,-0.16810876,1.1972774,1.2378573,-0.3712922,-0.4120135,0.0407213
86,-1.6702365,-1.7254288,"('uninfluential', 'influential')",-0.66768765,-0.5602044,-0.012421315,0.012082433,-0.21346956,-0.4397747,-0.6409537,-0.6783314,0.0373777
31,-1.5651033,-1.8507309,"('evil', 'good')",-1.3248999,-1.6034285,-1.6427608,-1.8753593,-0.9422461,-1.1462733,-1.3687525,-1.6189479,0.2501954
5,-1.4583389,-1.6836271,"('distant', 'outgoing')",-1.4470413,-1.9166471,-1.7287854,-1.9031854,-0.37115175,-0.32625455,-1.2513294,-1.4574285,0.2060991
8,-1.3761559,-1.4457182,"('unaffectionate', 'affectionate')",-1.2370902,-1.3652388,-0.2758408,-0.25272346,0.7938684,0.8436985,-0.5238045,-0.5549955,0.031191
72,-1.3646406,-1.0472604,"('unambitious', 'ambitious')",0.3996717,0.54162216,-0.036677763,0.19623783,-0.81636316,-0.5175533,-0.4545025,-0.2067384,-0.2477641
39,1.3350673,1.3078597,"('exploitative', 'cooperative')",2.5811644,2.4305272,1.5820451,1.4650259,0.29280704,0.20392823,1.447771,1.3518353,0.0959357
36,-1.3239858,-1.6455368,"('hostile', 'amicable')",-1.5335574,-1.9164782,-1.5082421,-1.8353643,0.37012687,0.15167066,-0.9989147,-1.3114272,0.3125125
19,-1.2363397,-1.2444776,"('inhospitable', 'hospitable')",-1.7554932,-1.9465609,-1.9599602,-2.0667315,-0.1974551,-0.18693453,-1.2873119,-1.3611761,0.0738642
57,-1.2037699,-0.85665023,"('unimaginative', 'imaginative')",-1.2940756,-0.87919956,-0.4139114,-0.22902939,-2.5636342,-2.4628515,-1.3688478,-1.1069326,-0.2619152
38,-1.1725744,-1.0199351,"('untruthful', 'truthful')",-1.038189,-0.85774326,-1.1424279,-1.047699,-0.226496,-0.0879952,-0.8949218,-0.7533432,-0.1415786
85,-1.1093911,-1.8154566,"('insignificant', 'prestigious')",-1.9070432,-2.6740456,-0.99597144,-1.3636001,0.43627,0.08355844,-0.8940338,-1.4423859,0.5483521
67,1.0948919,1.3347377,"('doubtful', 'determined')",0.532597,0.74059963,0.45033687,0.7332887,-0.6854372,-0.51945275,0.3480971,0.5722933,-0.2241962
28,-1.0291874,-0.8863946,"('disloyal', 'loyal')",-0.53086954,-0.29526776,0.3117431,0.3866086,0.89923495,1.0235084,-0.0872697,0.0571137,-0.1443834
10,-0.9807286,-0.82694244,"('unsympathetic', 'sympathetic')",-0.20499523,0.21301107,-0.16050857,-0.00999764,-0.28342682,-0.1127214,-0.4074148,-0.1841626,-0.2232522
54,-0.95835155,-1.1353271,"('incapable', 'capable')",0.61621284,0.22859646,-0.43282175,-0.53726745,0.9684142,1.132381,0.0483634,-0.0779043,0.1262677
80,0.94463456,1.1564692,"('dominated', 'dominating')",0.98289824,1.253863,1.1186689,1.1708312,-1.2231516,-1.1561718,0.4557625,0.6062479,-0.1504854
