,dominion_male,dominion_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
84,1.8985418,1.7009636,"('inferior', 'superior')",0.48160112,0.3200697,1.0090669,0.990792,1.1297366,1.0039418,0.1257948
39,1.6617302,1.440881,"('exploitative', 'cooperative')",-0.42728788,-0.397499,-0.24759877,-0.4060084,0.3289478,0.2124579,0.1164899
16,-1.6557993,-1.635224,"('unpopular', 'popular')",-0.33265045,-0.40591586,-0.011392619,0.004520029,-0.6666141,-0.6788733,0.0122592
26,1.2838974,1.6456646,"('hardhearted', 'benevolent')",0.38818243,0.61717796,1.0696814,1.1224835,0.9139204,1.128442,-0.2145216
44,-1.2391441,-1.1873918,"('prejudiced', 'unprejudiced')",-0.27787915,-0.38184753,-1.2073033,-1.1752102,-0.9081089,-0.9148165,0.0067076
31,-1.1657143,-0.79565716,"('evil', 'good')",-1.702953,-1.5093092,-1.8250496,-1.9385316,-1.5645723,-1.4144993,-0.150073
0,-1.160961,-1.1790673,"('unsociable', 'sociable')",-0.06951387,-0.08650322,-0.5515147,-0.69252956,-0.5939965,-0.6527,0.0587035
60,-1.1358448,-1.3812981,"('inefficient', 'efficient')",2.1975057,2.0519745,0.5204851,0.44310734,0.527382,0.3712613,0.1561207
55,-1.1320401,-1.3359407,"('incompetent', 'clever')",0.24057338,0.012830354,0.06172994,-0.10989149,-0.2765789,-0.4776673,0.2010884
3,-1.1286129,-0.9117915,"('repellent', 'pleasant')",0.033338636,0.05223121,0.37006697,0.32581696,-0.2417357,-0.1779145,-0.0638212
59,1.1269453,1.194363,"('foolish', 'wise')",0.43812406,0.5138702,0.13658686,0.039352078,0.5672187,0.5825284,-0.0153097
81,-1.0879154,-1.3978186,"('submissive', 'aggressive')",2.097156,1.8150172,0.07241442,-0.079289526,0.3605517,0.1126364,0.2479153
72,1.0571017,0.73514605,"('unambitious', 'ambitious')",0.8960409,0.56391996,-0.88421756,-1.2894322,0.3563084,0.0032113,0.3530971
73,1.0176702,1.0994375,"('helpless', 'self-reliant')",0.8868344,1.0566708,-3.2040126,-3.050443,-0.4331694,-0.2981115,-0.1350579
