,hershey_male,hershey_female,tuple,co_male,co_female,average_male,average_female,male-female
69,1.8187582,1.4659873,"('lazy', 'industrious')",-1.0957533,-1.1425834,0.3615025,0.161702,0.1998005
77,-1.4737514,-1.3659655,"('unmotivated', 'motivated')",-1.336599,-1.2657855,-1.4051752,-1.3158755,-0.0892997
57,-1.4683223,-1.2871445,"('unimaginative', 'imaginative')",-3.187757,-3.314546,-2.3280396,-2.3008454,-0.0271942
70,-1.3871341,-1.2863097,"('lethargic', 'energetic')",0.49413455,0.4116283,-0.4464998,-0.4373407,-0.0091591
48,-1.3307148,-0.9946057,"('unintelligent', 'intelligent')",-0.13199726,-0.12173921,-0.731356,-0.5581725,-0.1731835
59,1.2875597,1.0050732,"('foolish', 'wise')",0.06626691,-0.059354953,0.6769133,0.4728591,0.2040542
65,-1.2863098,-1.0828147,"('insecure', 'secure')",0.039133444,0.022865847,-0.6235882,-0.5299744,-0.0936138
60,-1.2750913,-0.9418521,"('inefficient', 'efficient')",0.19444385,0.42784494,-0.5403237,-0.2570036,-0.2833201
26,1.2066265,1.1798155,"('hardhearted', 'benevolent')",1.4877596,1.2067852,1.347193,1.1933004,0.1538926
11,-1.192437,-1.0900648,"('unhelpful', 'helpful')",2.4345398,2.3590374,0.6210514,0.6344863,-0.0134349
68,-1.1828849,-1.2400773,"('dependent', 'independent')",-1.9141592,-1.7914886,-1.548522,-1.515783,-0.032739
23,-1.1522565,-1.0542681,"('insincere', 'sincere')",5.834869,5.785908,2.3413062,2.3658199,-0.0245137
73,1.1299273,1.1205679,"('helpless', 'self-reliant')",-3.1640825,-3.1798906,-1.0170777,-1.0296614,0.0125837
10,-1.1068867,-0.83434504,"('unsympathetic', 'sympathetic')",0.1959829,0.06721235,-0.4554519,-0.3835663,-0.0718856
3,-1.0820978,-1.0180682,"('repellent', 'pleasant')",0.27227092,0.24780183,-0.4049134,-0.3851332,-0.0197802
81,-1.0675472,-0.80709785,"('submissive', 'aggressive')",-0.55194896,-0.5551702,-0.8097481,-0.681134,-0.1286141
46,-1.0088571,-0.8384981,"('uncompetitive', 'competitive')",-0.45602787,-0.57518804,-0.7324425,-0.7068431,-0.0255994
21,-0.9751097,-0.7077329,"('immoral', 'moral')",-0.8951936,-0.7704585,-0.9351516,-0.7390957,-0.1960559
