,lauder_male,lauder_female,tuple,estee_male,estee_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
69,2.27532,2.3336916,"('lazy', 'industrious')",3.2127512,3.1194496,1.197184,1.2637845,-0.04493943,0.053618744,1.660079,1.6926361,-0.0325571
73,1.9429431,2.1366436,"('helpless', 'self-reliant')",1.4788135,1.6607072,0.6489313,0.7460612,-2.7934647,-2.6472986,0.3193059,0.4740284,-0.1547225
57,-1.7991949,-1.4614025,"('unimaginative', 'imaginative')",-2.307111,-1.9657382,-1.0104917,-0.70122164,-1.8433763,-1.6719908,-1.7400435,-1.4500883,-0.2899552
24,-1.7983017,-2.0196354,"('dishonest', 'honest')",-2.4292352,-2.5465112,-1.2551432,-1.4044237,0.6206436,0.46163994,-1.2155092,-1.3772327,0.1617235
85,1.777262,2.3385925,"('insignificant', 'prestigious')",1.8497108,2.067266,-0.6918342,-0.4424239,0.92601573,1.0895746,0.9652885,1.2632523,-0.2979638
35,1.7076992,2.0756903,"('corrupt', 'incorrupt')",1.849636,2.114982,-0.3582883,-0.09208313,-0.19704498,0.032600235,0.7505004,1.0327973,-0.2822969
45,-1.6003247,-1.5460911,"('incompetent', 'competent')",-2.2125258,-2.0422616,-0.5821338,-0.48500472,-0.19796115,-0.32137108,-1.1482364,-1.0986822,-0.0495542
86,-1.4890413,-1.4360477,"('uninfluential', 'influential')",-1.9810251,-2.0605822,-0.9567514,-1.0257689,-0.14012648,-0.13855578,-1.1417361,-1.1652386,0.0235025
14,-1.3839197,-1.6551315,"('antisocial', 'social')",-1.424224,-1.4431934,0.042139627,-0.16786122,-1.0041903,-1.0330586,-0.9425486,-1.0748112,0.1322626
48,-1.3836759,-1.5927805,"('unintelligent', 'intelligent')",-2.1503973,-2.2782419,-1.1221392,-1.2322568,0.2800029,0.13295433,-1.0940524,-1.2425812,0.1485288
72,-1.3802526,-1.3249537,"('unambitious', 'ambitious')",-1.5092909,-1.3629042,-1.0607526,-0.89925665,-0.8228031,-0.66666794,-1.1932749,-1.0634456,-0.1298293
10,-1.360633,-1.4095864,"('unsympathetic', 'sympathetic')",-2.711687,-2.7642963,-0.7367154,-0.7394685,0.3868993,0.25736433,-1.105534,-1.1639967,0.0584627
22,-1.3598981,-1.2699779,"('untrustworthy', 'trustworthy')",-1.7441303,-1.5413605,-1.0252064,-1.0085012,-1.662404,-1.6144781,-1.4479097,-1.3585794,-0.0893303
65,-1.3302549,-1.7405783,"('insecure', 'secure')",-1.5394617,-1.6484407,0.037650645,-0.153232,-0.65653855,-0.82258534,-0.8721511,-1.0912092,0.2190581
82,-1.2995628,-1.5955795,"('poor', 'rich')",-1.3983015,-1.5461395,-0.014915118,-0.17313763,5.702658,5.441606,0.7474697,0.5316874,0.2157823
3,-1.1519252,-1.522922,"('repellent', 'pleasant')",-2.2062056,-2.5117252,0.123479486,-0.0010747276,-0.09833941,-0.29076558,-0.8332477,-1.0816219,0.2483742
46,-1.071451,-1.1510501,"('uncompetitive', 'competitive')",-1.8284113,-1.935573,-0.7870242,-0.9058113,-0.45996323,-0.4752938,-1.0367124,-1.116932,0.0802196
55,-1.0604904,-1.3377668,"('incompetent', 'clever')",-1.8777864,-1.972655,-0.24909568,-0.34638175,-0.07114385,-0.23009907,-0.8146291,-0.9717256,0.1570965
1,-0.9669731,-0.6763905,"('unfriendly', 'friendly')",-0.53623205,-0.49030507,-0.93235904,-1.0072194,1.5413184,1.4522506,-0.2235615,-0.1804161,-0.0431454
50,0.95107377,0.9092156,"('clumsy', 'skillful')",1.1262796,1.1287639,0.69440484,0.74484396,0.67547953,0.6149833,0.8618095,0.8494517,0.0123578
66,0.9322977,1.2165152,"('inactive', 'active')",0.7432274,0.96950114,0.17166504,0.42420956,1.1327903,1.4517711,0.7449951,1.0154992,-0.2705041
33,0.91017914,0.9548846,"('wrong', 'right')",1.3693324,1.2561501,-0.05307383,-0.0589076,-0.6552244,-0.6081437,0.3928033,0.3859959,0.0068074
67,0.9000627,0.7309814,"('doubtful', 'determined')",0.34202924,0.3266831,0.73749346,0.71918106,-0.25002903,-0.09959279,0.4323891,0.4193132,0.0130759
37,0.8992548,0.87720585,"('fake', 'genuine')",-0.19176123,-0.106290944,-0.10440238,-0.048584014,0.89642835,0.84240746,0.3748799,0.3911846,-0.0163047
30,-0.88264877,-1.1206667,"('intolerant', 'tolerant')",-1.0027587,-1.1495972,-0.03808558,-0.29132685,0.9511678,0.7485832,-0.2430813,-0.4532519,0.2101706
44,-0.86336875,-0.9826318,"('prejudiced', 'unprejudiced')",-0.7431112,-0.59183526,-0.8491179,-0.746939,-1.6353031,-1.5193083,-1.0227252,-0.9601786,-0.0625466
28,-0.86141545,-0.7602681,"('disloyal', 'loyal')",-1.6477985,-1.6563654,-0.8713341,-0.93615735,0.9583632,0.79518175,-0.6055462,-0.6394023,0.0338561
