,textron_male,textron_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.5108733,-2.5606217,"('distant', 'open')",-0.00028599985,-0.025392048,-1.2555797,-1.2930069,0.0374272
79,-1.920351,-1.8809747,"('wavering', 'unwavering')",-0.2765824,-0.10883106,-1.0984668,-0.9949028,-0.103564
5,-1.8684633,-1.8940452,"('distant', 'outgoing')",-0.51897526,-0.4239223,-1.1937193,-1.1589837,-0.0347356
66,-1.6545508,-1.5243478,"('inactive', 'active')",0.46304938,0.7309957,-0.5957507,-0.396676,-0.1990747
19,-1.6102741,-1.5472162,"('inhospitable', 'hospitable')",-0.1705149,0.07539849,-0.8903945,-0.7359089,-0.1544856
36,-1.5761802,-1.393012,"('hostile', 'amicable')",0.5364529,0.67061687,-0.5198637,-0.3611976,-0.1586661
60,1.5414512,1.3801048,"('inefficient', 'efficient')",0.04876388,-0.19977082,0.7951075,0.590167,0.2049405
31,-1.5304539,-1.35056,"('evil', 'good')",-0.55220574,-0.4046442,-1.0413299,-0.8776021,-0.1637278
9,-1.5019044,-1.5023972,"('unaffectionate', 'caring')",0.95551676,0.9308532,-0.2731938,-0.285772,0.0125782
8,-1.3804806,-1.4462597,"('unaffectionate', 'affectionate')",0.9392948,0.8644196,-0.2205929,-0.2909201,0.0703272
1,-1.3659133,-1.3710247,"('unfriendly', 'friendly')",1.6966015,1.5960889,0.1653441,0.1125321,0.052812
54,-1.3346199,-1.3716161,"('incapable', 'capable')",0.85995394,0.85032153,-0.237333,-0.2606473,0.0233143
53,-1.2096542,-1.2486693,"('uncreative', 'creative')",0.8162627,0.85367393,-0.1966957,-0.1974977,0.000802
85,-1.1984559,-1.0102944,"('insignificant', 'prestigious')",0.7805269,1.0770661,-0.2089645,0.0333858,-0.2423503
52,-1.1963518,-1.2122267,"('irrational', 'rational')",0.15214191,0.10943675,-0.5221049,-0.551395,0.0292901
18,-1.142515,-1.0051246,"('disagreeable', 'welcoming')",-0.30836135,-0.11781017,-0.7254381,-0.5614673,-0.1639708
4,-1.0520277,-0.9964042,"('disliked', 'liked')",-6.0426316,-5.6502085,-3.5473297,-3.3233063,-0.2240234
48,1.0335618,1.0144063,"('unintelligent', 'intelligent')",0.87047446,0.9828156,0.9520181,0.998611,-0.0465929
59,-1.028843,-1.0951673,"('foolish', 'wise')",0.12795183,0.19733305,-0.4504456,-0.4489171,-0.0015285
20,0.9274881,0.9701075,"('rough', 'thoughtful')",1.3697995,1.4538667,1.1486437,1.2119871,-0.0633434
16,-0.9060418,-0.85957307,"('unpopular', 'popular')",0.51791406,0.6415747,-0.1940639,-0.1089992,-0.0850647
38,-0.90328604,-1.1382352,"('untruthful', 'truthful')",-0.50449073,-0.6210053,-0.7038884,-0.8796203,0.1757319
21,0.89140403,1.0313591,"('immoral', 'moral')",-0.65738916,-0.5957088,0.1170074,0.2178251,-0.1008177
86,-0.86747926,-0.85300636,"('uninfluential', 'influential')",-0.067516856,-0.11605127,-0.4674981,-0.4845288,0.0170307
14,0.8570304,0.7779498,"('antisocial', 'social')",-0.41479513,-0.6768974,0.2211176,0.0505262,0.1705914
81,0.841076,0.7726808,"('submissive', 'aggressive')",-0.781237,-0.8461574,0.0299195,-0.0367383,0.0666578
82,-0.8122346,-0.8343958,"('poor', 'rich')",5.6930957,5.396922,2.4404306,2.2812631,0.1591675
24,-0.79643595,-0.8418165,"('dishonest', 'honest')",0.31189153,0.30213875,-0.2422722,-0.2698389,0.0275667
67,0.7575462,0.7793515,"('doubtful', 'determined')",-0.6601561,-0.6468715,0.0486951,0.06624,-0.0175449
76,0.7529792,0.5813833,"('anxious', 'daring')",-0.079620786,-0.12353088,0.3366792,0.2289262,0.107753
55,0.64021075,0.5446563,"('incompetent', 'clever')",0.22087812,0.22994179,0.4305444,0.387299,0.0432454
84,0.637727,0.60966176,"('inferior', 'superior')",1.1380092,1.0854036,0.8878681,0.8475326,0.0403355
80,0.63494015,0.5557931,"('dominated', 'dominating')",-1.5125436,-1.4214767,-0.4388017,-0.4328418,-0.0059599
61,0.6091795,0.6085266,"('illogical', 'logical')",0.17219993,0.24035281,0.3906897,0.4244397,-0.03375
45,-0.6051956,-0.76276064,"('incompetent', 'competent')",-0.1446039,-0.18192543,-0.3748997,-0.472343,0.0974433
17,-0.59015197,-0.5991473,"('nasty', 'nice')",-0.74492234,-0.55405235,-0.6675372,-0.5765998,-0.0909374
73,0.5891325,0.42975742,"('helpless', 'self-reliant')",-2.6087792,-2.699359,-1.0098233,-1.1348008,0.1249775
65,0.57560414,0.3569646,"('insecure', 'secure')",-0.39406857,-0.6360693,0.0907678,-0.1395524,0.2303202
35,-0.57192725,-0.57939667,"('corrupt', 'incorrupt')",0.1951794,0.3810355,-0.1883739,-0.0991806,-0.0891933
56,0.56786853,0.25168723,"('impractical', 'practical')",-0.633206,-0.97202605,-0.0326687,-0.3601694,0.3275007
25,-0.5654518,-0.4218249,"('egoistic', 'altruistic')",1.8750875,1.8961818,0.6548178,0.7371784,-0.0823606
29,-0.55047995,-0.64212763,"('unfair', 'fair')",-0.5088078,-0.4613746,-0.5296439,-0.5517511,0.0221072
12,-0.54602945,-0.6640468,"('unsupportive', 'supportive')",-1.8981256,-1.7142477,-1.2220776,-1.1891472,-0.0329304
57,-0.45514262,-0.58716357,"('unimaginative', 'imaginative')",-2.466183,-2.4322033,-1.4606628,-1.5096834,0.0490206
58,0.44542027,0.46151042,"('undiscriminating', 'discriminating')",0.38754496,0.35934585,0.4164826,0.4104281,0.0060545
10,-0.42910147,-0.32386667,"('unsympathetic', 'sympathetic')",-0.6694383,-0.5738551,-0.5492699,-0.4488609,-0.100409
33,-0.42519242,-0.37034205,"('wrong', 'right')",-0.6606749,-0.619583,-0.5429337,-0.4949625,-0.0479712
62,0.42292932,0.10874458,"('incompetent', 'brilliant')",-0.13509887,-0.38012925,0.1439152,-0.1356923,0.2796075
28,-0.41676113,-0.45214942,"('disloyal', 'loyal')",0.804981,0.7205229,0.1941099,0.1341867,0.0599232
40,-0.39668745,-0.23503609,"('stingy', 'generous')",-1.174351,-0.8885919,-0.7855192,-0.561814,-0.2237052
43,-0.39487123,-0.6728788,"('irresponsible', 'responsible')",0.09429352,0.10851805,-0.1502889,-0.2821804,0.1318915
72,-0.3918208,-0.60784173,"('unambitious', 'ambitious')",-0.7615813,-0.93739545,-0.576701,-0.7726186,0.1959176
50,-0.3896472,-0.45381176,"('clumsy', 'skillful')",0.21470192,0.29440388,-0.0874726,-0.0797039,-0.0077687
75,-0.38787183,-0.49430397,"('meek', 'impulsive')",-0.20503315,-0.25378796,-0.2964525,-0.374046,0.0775935
42,-0.3685711,-0.6421494,"('unreliable', 'reliable')",-3.300866,-3.3547728,-1.8347185,-1.9984611,0.1637426
15,-0.36811197,-0.52720404,"('boring', 'funny')",0.3159857,0.3252351,-0.0260631,-0.1009845,0.0749214
49,-0.359356,-0.44366822,"('unable', 'able')",-0.17706177,-0.11490352,-0.2682089,-0.2792859,0.011077
83,0.32543463,0.34660554,"('powerless', 'powerful')",-1.0367333,-1.0978355,-0.3556493,-0.375615,0.0199657
44,0.319543,0.14500111,"('prejudiced', 'unprejudiced')",-1.2853966,-1.3394442,-0.4829268,-0.5972215,0.1142947
23,-0.31552002,-0.5218786,"('insincere', 'sincere')",5.053523,4.656408,2.3690016,2.0672646,0.301737
46,0.31315652,0.31942058,"('uncompetitive', 'competitive')",-0.6075662,-0.54236764,-0.1472048,-0.1114735,-0.0357313
88,-0.3052449,-0.16330478,"('low', 'eminent')",0.16293931,0.16481002,-0.0711528,0.0007526,-0.0719054
30,0.28993335,0.17747478,"('intolerant', 'tolerant')",0.97783774,0.94474,0.6338856,0.5611074,0.0727782
74,-0.284249,-0.38135374,"('undedicated', 'dedicated')",0.1977926,0.11524041,-0.0432282,-0.1330567,0.0898285
11,0.26791793,-0.120043814,"('unhelpful', 'helpful')",1.1200404,0.88066643,0.6939791,0.3803113,0.3136678
26,-0.2669396,-0.24363929,"('hardhearted', 'benevolent')",1.8135151,1.7064421,0.7732877,0.7314014,0.0418863
41,-0.26420093,-0.1387948,"('unforgiving', 'forgiving')",0.051441737,0.29141963,-0.1063796,0.0763124,-0.182692
47,0.25922966,0.092661984,"('stupid', 'smart')",5.0343466,4.682707,2.6467881,2.3876843,0.2591038
34,-0.25617844,-0.40178296,"('mean', 'honorable')",5.464865,5.2156467,2.6043434,2.4069319,0.1974115
39,0.2396435,0.18610442,"('exploitative', 'cooperative')",-0.013600835,-0.109048024,0.1130213,0.0385282,0.0744931
13,0.23955742,0.058772773,"('impolite', 'polite')",-0.81881976,-0.9560881,-0.2896312,-0.4486577,0.1590265
70,0.23819444,-0.033572134,"('lethargic', 'energetic')",0.38415974,0.15097436,0.3111771,0.0587011,0.252476
71,-0.2300446,-0.23804757,"('diffident', 'self-confident')",0.4196389,0.5282242,0.0947971,0.1450883,-0.0502912
51,-0.22835015,-0.13408124,"('uneducated', 'educated')",0.4432221,0.5948127,0.107436,0.2303657,-0.1229297
78,0.22326317,0.29840875,"('nonresilient', 'resilient')",0.4028797,0.71145076,0.3130714,0.5049298,-0.1918584
64,0.19099748,0.21309346,"('shy', 'confident')",-6.363706,-6.1741533,-3.0863543,-2.98053,-0.1058243
2,-0.18756467,-0.1834479,"('unlikable', 'likable')",0.46584862,0.5880336,0.139142,0.2022929,-0.0631509
63,-0.17022616,-0.41320235,"('unperceptive', 'insightful')",0.75252515,0.7019219,0.2911495,0.1443598,0.1467897
77,-0.13082829,0.0036490895,"('unmotivated', 'motivated')",-1.0037909,-0.93210196,-0.5673096,-0.4642264,-0.1030832
22,0.11242983,-0.1884402,"('untrustworthy', 'trustworthy')",-0.9811053,-1.1789958,-0.4343377,-0.683718,0.2493803
68,-0.10742359,-0.10118356,"('dependent', 'independent')",-0.29215026,-0.06610843,-0.1997869,-0.083646,-0.1161409
87,0.08401108,0.014620239,"('unsuccessful', 'successful')",0.75492424,0.7640719,0.4194677,0.3893461,0.0301216
37,-0.0830043,-0.12567654,"('fake', 'genuine')",0.39940837,0.278158,0.158202,0.0762407,0.0819613
32,-0.07801164,-0.052272975,"('unkind', 'kind')",0.62772965,0.5495009,0.274859,0.248614,0.026245
69,0.07167143,0.29340303,"('lazy', 'industrious')",-0.24165912,-0.00079664215,-0.0849938,0.1463032,-0.231297
7,-0.06660862,-0.1262604,"('insensitive', 'sensitive')",0.54450685,0.44230166,0.2389491,0.1580206,0.0809285
27,-0.061715323,-0.0301794,"('hardhearted', 'softhearted')",1.5841818,1.7666938,0.7612332,0.8682572,-0.107024
3,-0.037173223,0.049521886,"('repellent', 'pleasant')",0.20470838,0.104817934,0.0837676,0.0771699,0.0065977
0,-0.030371256,-0.02625848,"('unsociable', 'sociable')",-0.45086825,-0.50795245,-0.2406197,-0.2671055,0.0264858
