,westrock_male,westrock_female,tuple,co_male,co_female,average_male,average_female,male-female
48,-1.2093347,-1.3484216,"('unintelligent', 'intelligent')",-0.21121944,-0.2480976,-0.7102771,-0.7982596,0.0879825
27,-1.208179,-1.3152983,"('hardhearted', 'softhearted')",0.877736,0.8864264,-0.1652215,-0.214436,0.0492145
42,1.0386658,1.0115012,"('unreliable', 'reliable')",-2.6312318,-2.5257242,-0.796283,-0.7571115,-0.0391715
18,-1.023564,-1.1406732,"('disagreeable', 'welcoming')",-0.71321416,-0.6471621,-0.8683891,-0.8939176,0.0255285
77,-0.9501129,-1.0842222,"('unmotivated', 'motivated')",-1.412222,-1.3914098,-1.1811675,-1.237816,0.0566485
6,-0.9254594,-0.68605244,"('distant', 'open')",-0.01882092,0.20070674,-0.4721402,-0.2426729,-0.2294673
19,-0.9044784,-0.66829175,"('inhospitable', 'hospitable')",-0.5350346,-0.36533257,-0.7197565,-0.5168121,-0.2029444
51,-0.89642286,-0.9888371,"('uneducated', 'educated')",-0.30461714,-0.39917284,-0.60052,-0.694005,0.093485
88,-0.85751235,-1.0305653,"('low', 'eminent')",-0.7447116,-0.74560463,-0.8011119,-0.8880849,0.086973
0,-0.7633488,-1.1703758,"('unsociable', 'sociable')",-0.11235069,-0.22473702,-0.4378498,-0.6975564,0.2597066
43,-0.71353924,-0.9997524,"('irresponsible', 'responsible')",0.70006543,0.77461874,-0.0067369,-0.1125668,0.1058299
56,0.7002924,0.5177924,"('impractical', 'practical')",-0.107520744,-0.072846234,0.2963858,0.2224731,0.0739127
57,0.68987274,0.51940215,"('unimaginative', 'imaginative')",-3.1554894,-3.0951517,-1.2328084,-1.2878747,0.0550663
49,-0.6794175,-0.63448733,"('unable', 'able')",-0.607868,-0.5608745,-0.6436428,-0.5976809,-0.0459619
22,0.67796254,0.5562452,"('untrustworthy', 'trustworthy')",-0.14180054,-0.1184295,0.268081,0.2189079,0.0491731
12,-0.65491813,-0.74677557,"('unsupportive', 'supportive')",-1.88653,-1.8386106,-1.2707241,-1.2926931,0.021969
5,-0.62364197,-0.51138544,"('distant', 'outgoing')",-0.37986702,-0.20803395,-0.5017545,-0.3597097,-0.1420448
1,-0.62292254,-0.32363153,"('unfriendly', 'friendly')",1.6342334,1.7943895,0.5056554,0.735379,-0.2297236
76,0.6174891,0.36424166,"('anxious', 'daring')",-0.01570569,0.0420057,0.3008917,0.2031237,0.097768
11,-0.6159563,-0.7809706,"('unhelpful', 'helpful')",1.8950486,2.0412943,0.6395462,0.6301619,0.0093843
62,0.6010527,0.37147176,"('incompetent', 'brilliant')",0.0628511,0.106633745,0.3319519,0.2390528,0.0928991
86,-0.5920887,-0.8741634,"('uninfluential', 'influential')",-0.4178005,-0.4001264,-0.5049446,-0.6371449,0.1322003
