,kohls_male,kohls_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.723804,-1.8541394,"('unfriendly', 'friendly')",0.95332813,1.000238,-0.3852379,-0.4269508,0.0417129
28,-1.640335,-1.5487249,"('disloyal', 'loyal')",0.96671337,1.1976492,-0.3368108,-0.1755378,-0.161273
86,-1.6047714,-1.4895823,"('uninfluential', 'influential')",-0.539111,-0.40474635,-1.0719411,-0.9471643,-0.1247768
36,-1.5448837,-1.4513206,"('hostile', 'amicable')",-0.57635856,-0.54658675,-1.0606211,-0.9989537,-0.0616674
57,-1.4519385,-1.4176952,"('unimaginative', 'imaginative')",-3.5597754,-3.317572,-2.505857,-2.3676336,-0.1382234
79,-1.2478052,-1.3173392,"('wavering', 'unwavering')",-0.40956482,-0.7971738,-0.828685,-1.0572565,0.2285715
53,-1.1875676,-1.2390196,"('uncreative', 'creative')",0.13726383,0.077458896,-0.5251518,-0.5807804,0.0556286
88,-1.1488959,-0.8748609,"('low', 'eminent')",-0.4898863,-0.16128534,-0.8193911,-0.5180731,-0.301318
9,-1.0585059,-1.0485805,"('unaffectionate', 'caring')",1.2158558,1.0460663,0.078675,-0.0012571,0.0799321
6,-1.0503598,-1.3006539,"('distant', 'open')",-0.7496431,-1.0781789,-0.9000015,-1.1894164,0.2894149
8,-1.0179007,-0.7438045,"('unaffectionate', 'affectionate')",0.57172614,0.5698842,-0.2230873,-0.0869602,-0.1361271
10,-1.004386,-0.89930797,"('unsympathetic', 'sympathetic')",-0.5110125,-0.19690566,-0.7576993,-0.5481068,-0.2095925
26,-0.9383617,-0.8054615,"('hardhearted', 'benevolent')",1.385305,1.6245806,0.2234717,0.4095595,-0.1860878
60,0.9355868,0.5346889,"('inefficient', 'efficient')",0.45931694,0.47945833,0.6974519,0.5070736,0.1903783
31,-0.9044029,-1.2112689,"('evil', 'good')",-1.1358747,-1.5614791,-1.0201389,-1.386374,0.3662351
11,-0.8361113,-0.5426104,"('unhelpful', 'helpful')",1.9636592,2.1387374,0.5637739,0.7980635,-0.2342896
54,-0.82863057,-0.7365084,"('incapable', 'capable')",0.6909213,0.7158097,-0.0688546,-0.0103494,-0.0585052
29,-0.81605697,-1.1992337,"('unfair', 'fair')",-0.4925671,-0.82229364,-0.654312,-1.0107636,0.3564516
22,-0.8140083,-0.3412547,"('untrustworthy', 'trustworthy')",-1.4385324,-1.1886066,-1.1262703,-0.7649307,-0.3613396
45,-0.81191325,-0.3619169,"('incompetent', 'competent')",-0.35838655,0.17195778,-0.5851499,-0.0949796,-0.4901703
12,-0.8059923,-0.8006859,"('unsupportive', 'supportive')",-2.1996279,-2.3369422,-1.5028101,-1.568814,0.0660039
52,-0.8029735,-1.0596465,"('irrational', 'rational')",-0.041594137,-0.28258422,-0.4222838,-0.6711153,0.2488315
66,-0.7910236,-0.8443632,"('inactive', 'active')",0.13866346,-0.18627508,-0.3261801,-0.5153192,0.1891391
56,0.78540117,1.211111,"('impractical', 'practical')",-0.45409602,0.032322057,0.1656526,0.6217165,-0.4560639
61,-0.77913296,-0.47687864,"('illogical', 'logical')",0.22201341,0.2743475,-0.2785598,-0.1012656,-0.1772942
67,0.7603955,0.9715076,"('doubtful', 'determined')",-0.33761287,-0.071009785,0.2113913,0.4502489,-0.2388576
85,-0.7552213,-0.3051034,"('insignificant', 'prestigious')",-0.5546901,-0.39050832,-0.6549557,-0.3478059,-0.3071498
7,-0.7436877,-0.521257,"('insensitive', 'sensitive')",-0.09572367,0.28539947,-0.4197057,-0.1179288,-0.3017769
73,0.7393206,0.64033306,"('helpless', 'self-reliant')",-3.2822044,-3.5199502,-1.2714419,-1.4398086,0.1683667
78,-0.67815024,-0.7457751,"('nonresilient', 'resilient')",0.32175162,-0.002712477,-0.1781993,-0.3742438,0.1960445
3,-0.64462405,-0.21428454,"('repellent', 'pleasant')",0.36419663,0.93760896,-0.1402137,0.3616622,-0.5018759
25,-0.62098587,-0.58810055,"('egoistic', 'altruistic')",0.572196,0.6763402,-0.0243949,0.0441198,-0.0685147
5,-0.61482906,-1.0171084,"('distant', 'outgoing')",-0.49625683,-1.0235504,-0.5555429,-1.0203295,0.4647866
30,0.5592533,0.67916155,"('intolerant', 'tolerant')",0.87657964,1.222315,0.7179165,0.9507383,-0.2328218
39,0.5334352,1.1326615,"('exploitative', 'cooperative')",0.061753474,0.31776592,0.2975943,0.7252137,-0.4276194
46,-0.5238313,-0.046347227,"('uncompetitive', 'competitive')",-0.9273023,-0.43693376,-0.7255668,-0.2416405,-0.4839263
24,-0.5165509,-0.49263802,"('dishonest', 'honest')",0.5910502,0.6906853,0.0372497,0.0990236,-0.0617739
18,-0.5123594,-0.31999776,"('disagreeable', 'welcoming')",-0.9072125,-0.773267,-0.7097859,-0.5466323,-0.1631536
40,-0.4935574,-0.5763608,"('stingy', 'generous')",-2.3114038,-2.2796474,-1.4024806,-1.428004,0.0255234
32,-0.4750231,-0.28996122,"('unkind', 'kind')",0.49491414,0.8346305,0.0099455,0.2723346,-0.2623891
13,0.45222235,0.49730924,"('impolite', 'polite')",-0.35186416,-0.21200398,0.0501791,0.1426526,-0.0924735
20,-0.42937964,-0.11377328,"('rough', 'thoughtful')",0.8023125,0.8487155,0.1864664,0.3674711,-0.1810047
