,keycorp_male,keycorp_female,tuple,average_male,average_female,male-female
4,-4.263394,-4.150607,"('disliked', 'liked')",-4.2633939,-4.1506071,-0.1127868
23,3.5783887,3.4211082,"('insincere', 'sincere')",3.5783887,3.4211082,0.1572805
64,-3.44869,-3.4727573,"('shy', 'confident')",-3.4486899,-3.4727573,0.0240674
82,3.2517214,2.928231,"('poor', 'rich')",3.2517214,2.928231,0.3234904
47,2.9235995,2.749213,"('stupid', 'smart')",2.9235995,2.749213,0.1743865
34,2.7963858,2.6537483,"('mean', 'honorable')",2.7963858,2.6537483,0.1426375
31,-2.078345,-2.0547252,"('evil', 'good')",-2.0783451,-2.0547252,-0.0236199
11,1.9638511,2.193555,"('unhelpful', 'helpful')",1.9638511,2.1935551,-0.229704
57,-1.660768,-1.2602298,"('unimaginative', 'imaginative')",-1.660768,-1.2602298,-0.4005382
35,-1.6030217,-1.7235533,"('corrupt', 'incorrupt')",-1.6030217,-1.7235533,0.1205316
40,-1.3970225,-1.3072596,"('stingy', 'generous')",-1.3970225,-1.3072596,-0.0897629
60,1.3725334,1.2072589,"('inefficient', 'efficient')",1.3725334,1.2072589,0.1652745
73,-1.3394326,-1.3894328,"('helpless', 'self-reliant')",-1.3394326,-1.3894328,0.0500002
62,1.2917458,1.4438962,"('incompetent', 'brilliant')",1.2917458,1.4438962,-0.1521504
36,-1.1219765,-1.391319,"('hostile', 'amicable')",-1.1219765,-1.391319,0.2693425
2,1.1109226,1.1199346,"('unlikable', 'likable')",1.1109226,1.1199346,-0.009012
17,-1.0341363,-0.9649628,"('nasty', 'nice')",-1.0341363,-0.9649628,-0.0691735
19,-1.0128887,-0.9742205,"('inhospitable', 'hospitable')",-1.0128887,-0.9742205,-0.0386682
9,0.97846466,0.9416172,"('unaffectionate', 'caring')",0.9784647,0.9416172,0.0368475
42,-0.9106545,-0.8050593,"('unreliable', 'reliable')",-0.9106545,-0.8050593,-0.1055952
7,0.8936175,1.3044174,"('insensitive', 'sensitive')",0.8936175,1.3044174,-0.4107999
52,-0.8765118,-1.2337308,"('irrational', 'rational')",-0.8765118,-1.2337308,0.357219
85,-0.8738318,-1.0617831,"('insignificant', 'prestigious')",-0.8738318,-1.0617831,0.1879513
55,0.8606291,0.8493081,"('incompetent', 'clever')",0.8606291,0.8493081,0.011321
79,-0.8404689,-0.73967487,"('wavering', 'unwavering')",-0.8404689,-0.7396749,-0.100794
6,-0.81275016,-0.8241203,"('distant', 'open')",-0.8127502,-0.8241203,0.0113701
76,0.77877784,0.93400085,"('anxious', 'daring')",0.7787778,0.9340008,-0.155223
65,0.74547863,0.512695,"('insecure', 'secure')",0.7454786,0.512695,0.2327836
71,0.7324453,0.77537084,"('diffident', 'self-confident')",0.7324453,0.7753708,-0.0429255
70,0.6609893,1.0711405,"('lethargic', 'energetic')",0.6609893,1.0711405,-0.4101512
43,0.6445292,0.8487351,"('irresponsible', 'responsible')",0.6445292,0.8487351,-0.2042059
32,0.6388,0.68323183,"('unkind', 'kind')",0.6388,0.6832318,-0.0444318
1,0.61960435,0.5824628,"('unfriendly', 'friendly')",0.6196043,0.5824628,0.0371415
68,-0.59022146,-0.7913737,"('dependent', 'independent')",-0.5902215,-0.7913737,0.2011522
87,0.5890189,0.57204044,"('unsuccessful', 'successful')",0.5890189,0.5720404,0.0169785
37,-0.5858713,-0.252725,"('fake', 'genuine')",-0.5858713,-0.252725,-0.3331463
5,-0.58194655,-0.64747065,"('distant', 'outgoing')",-0.5819466,-0.6474707,0.0655241
50,0.5769761,0.253338,"('clumsy', 'skillful')",0.5769761,0.253338,0.3236381
22,-0.55829126,-0.16174126,"('untrustworthy', 'trustworthy')",-0.5582913,-0.1617413,-0.39655
54,0.5553896,0.52997446,"('incapable', 'capable')",0.5553896,0.5299745,0.0254151
28,0.5275532,0.5959572,"('disloyal', 'loyal')",0.5275532,0.5959572,-0.068404
84,0.5216642,0.51786494,"('inferior', 'superior')",0.5216642,0.5178649,0.0037993
3,0.50608593,0.50248677,"('repellent', 'pleasant')",0.5060859,0.5024868,0.0035991
29,-0.50225383,-0.43453822,"('unfair', 'fair')",-0.5022538,-0.4345382,-0.0677156
30,0.4985792,0.43499887,"('intolerant', 'tolerant')",0.4985792,0.4349989,0.0635803
24,0.4639016,0.66128874,"('dishonest', 'honest')",0.4639016,0.6612887,-0.1973871
51,-0.46347252,-0.578469,"('uneducated', 'educated')",-0.4634725,-0.578469,0.1149965
69,-0.46076506,-0.6145274,"('lazy', 'industrious')",-0.4607651,-0.6145274,0.1537623
16,0.46033248,-0.01719879,"('unpopular', 'popular')",0.4603325,-0.0171988,0.4775313
27,0.45267716,0.5929988,"('hardhearted', 'softhearted')",0.4526772,0.5929988,-0.1403216
77,0.45262346,0.2003356,"('unmotivated', 'motivated')",0.4526235,0.2003356,0.2522879
56,0.42292038,0.6087417,"('impractical', 'practical')",0.4229204,0.6087417,-0.1858213
12,-0.39192063,-0.35802087,"('unsupportive', 'supportive')",-0.3919206,-0.3580209,-0.0338997
48,0.36845544,0.17242306,"('unintelligent', 'intelligent')",0.3684554,0.1724231,0.1960323
75,-0.3585752,-0.2177651,"('meek', 'impulsive')",-0.3585752,-0.2177651,-0.1408101
