,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.5857763,-1.5035629,"('unimaginative', 'imaginative')",-3.332077,-3.1696837,-2.4589267,-2.3366232,-0.1223035
45,-1.559274,-1.317533,"('incompetent', 'competent')",-0.12044351,-0.015011618,-0.8398587,-0.6662723,-0.1735864
10,-1.4121398,-1.4350652,"('unsympathetic', 'sympathetic')",-0.35579318,-0.31139868,-0.8839664,-0.8732319,-0.0107345
86,-1.3003485,-1.4721377,"('uninfluential', 'influential')",-0.23404102,-0.14047854,-0.7671947,-0.8063081,0.0391134
70,-1.0992143,-1.0174409,"('lethargic', 'energetic')",0.22347419,0.39143106,-0.4378701,-0.3130049,-0.1248652
53,-0.9687536,-1.040214,"('uncreative', 'creative')",0.43776035,0.4665969,-0.2654966,-0.2868085,0.0213119
83,0.9577716,0.9461509,"('powerless', 'powerful')",-1.0494994,-1.0044532,-0.0458639,-0.0291511,-0.0167128
28,-0.93428993,-1.0466747,"('disloyal', 'loyal')",1.0729036,1.1868238,0.0693069,0.0700746,-0.0007677
11,-0.90214187,-0.6881217,"('unhelpful', 'helpful')",1.7523143,1.9585568,0.4250862,0.6352175,-0.2101313
73,0.8595292,0.9674133,"('helpless', 'self-reliant')",-3.687063,-3.5609975,-1.4137669,-1.296792,-0.1169749
8,-0.8349993,-0.8088008,"('unaffectionate', 'affectionate')",0.36966202,0.5450471,-0.2326687,-0.1318769,-0.1007918
82,-0.8034569,-0.6095578,"('poor', 'rich')",6.7191124,6.5640907,2.9578278,2.9772666,-0.0194388
43,-0.8016855,-0.62410694,"('irresponsible', 'responsible')",0.3304195,0.43994242,-0.235633,-0.0920823,-0.1435507
37,-0.779801,-0.56426233,"('fake', 'genuine')",0.053291857,0.13948914,-0.3632546,-0.2123866,-0.150868
63,-0.72342885,-0.74619687,"('unperceptive', 'insightful')",0.691899,0.8468866,-0.0157649,0.0503449,-0.0661098
48,-0.70840496,-0.67475986,"('unintelligent', 'intelligent')",0.79350305,0.6894219,0.042549,0.007331,0.035218
55,-0.70563364,-0.6644992,"('incompetent', 'clever')",0.46348625,0.4833188,-0.1210737,-0.0905902,-0.0304835
39,0.69249153,0.7260064,"('exploitative', 'cooperative')",0.08333829,0.1666903,0.3879149,0.4463483,-0.0584334
84,0.69091916,0.64085877,"('inferior', 'superior')",1.072518,1.0813257,0.8817186,0.8610922,0.0206264
68,-0.6813582,-0.71542895,"('dependent', 'independent')",-0.40146774,-0.42342642,-0.5414129,-0.5694277,0.0280148
2,0.6715313,0.55682963,"('unlikable', 'likable')",0.57381153,0.62330174,0.6226714,0.5900657,0.0326057
71,0.655881,0.7242353,"('diffident', 'self-confident')",0.23338805,0.4061555,0.4446345,0.5651954,-0.1205609
22,-0.5841261,-0.6436899,"('untrustworthy', 'trustworthy')",-0.8392904,-0.81724924,-0.7117082,-0.7304696,0.0187614
46,-0.57540125,-0.5400694,"('uncompetitive', 'competitive')",-0.6819751,-0.6879258,-0.6286882,-0.6139976,-0.0146906
35,-0.5692605,-0.5313456,"('corrupt', 'incorrupt')",-0.42817032,-0.5002632,-0.4987154,-0.5158044,0.017089
18,-0.5657776,-0.7488651,"('disagreeable', 'welcoming')",-0.47428867,-0.5325727,-0.5200331,-0.6407189,0.1206858
62,-0.5597119,-0.41627234,"('incompetent', 'brilliant')",0.26555726,0.42417246,-0.1470773,0.0039501,-0.1510274
6,-0.5534763,-0.46078274,"('distant', 'open')",-0.68216443,-0.6191168,-0.6178204,-0.5399498,-0.0778706
1,-0.5507705,-0.65469104,"('unfriendly', 'friendly')",1.5034578,1.4221554,0.4763436,0.3837322,0.0926114
33,0.5325039,0.3754804,"('wrong', 'right')",-1.1324135,-1.062414,-0.2999548,-0.3434668,0.043512
77,-0.49975613,-0.35425797,"('unmotivated', 'motivated')",-1.450301,-1.3150488,-0.9750286,-0.8346534,-0.1403752
7,-0.4976163,-0.614975,"('insensitive', 'sensitive')",0.4178056,0.44039336,-0.0399053,-0.0872908,0.0473855
51,-0.49746948,-0.47447646,"('uneducated', 'educated')",0.9909313,0.92552084,0.2467309,0.2255222,0.0212087
38,-0.489473,-0.5061301,"('untruthful', 'truthful')",-0.25518987,-0.0508908,-0.3723314,-0.2785105,-0.0938209
0,-0.4603615,-0.8199459,"('unsociable', 'sociable')",-0.010850067,-0.19584557,-0.2356058,-0.5078957,0.2722899
16,-0.4450683,-0.50446486,"('unpopular', 'popular')",0.2163449,0.038994752,-0.1143617,-0.2327351,0.1183734
80,-0.4448374,-0.46175417,"('dominated', 'dominating')",-0.8604277,-0.7524709,-0.6526325,-0.6071125,-0.04552
56,0.44462028,0.53138113,"('impractical', 'practical')",-0.4708876,-0.23312154,-0.0131337,0.1491298,-0.1622635
44,-0.4356304,-0.17974402,"('prejudiced', 'unprejudiced')",-1.4897273,-1.4654232,-0.9626788,-0.8225836,-0.1400952
9,-0.42337868,-0.45022848,"('unaffectionate', 'caring')",0.81882685,1.001828,0.1977241,0.2757998,-0.0780757
72,-0.41355518,-0.4446572,"('unambitious', 'ambitious')",-0.72305024,-0.6497251,-0.5683027,-0.5471911,-0.0211116
52,-0.4117739,-0.54182464,"('irrational', 'rational')",-0.21740478,-0.28063175,-0.3145893,-0.4112282,0.0966389
65,-0.39491946,-0.57453513,"('insecure', 'secure')",-0.12291785,-0.08794919,-0.2589186,-0.3312421,0.0723235
