,brown_male,brown_female,tuple,forman_male,forman_female,corp_male,corp_female,average_male,average_female,male-female
16,-2.3299346,-2.1122077,"('unpopular', 'popular')",-1.2483659,-1.1973779,-0.10410489,-0.051725227,-1.2274685,-1.1204369,-0.1070316
31,-2.1184847,-1.8635774,"('evil', 'good')",0.077083215,0.21314158,-0.81395245,-0.63729554,-0.9517847,-0.7625771,-0.1892076
14,1.7823182,1.6609259,"('antisocial', 'social')",0.70132065,0.6901659,-0.091896944,-0.119398765,0.7972473,0.7438977,0.0533496
55,1.6677121,1.445086,"('incompetent', 'clever')",-0.44246972,-0.5371586,0.3060695,0.12375294,0.5104373,0.3438934,0.1665439
34,-1.565498,-1.360282,"('mean', 'honorable')",-0.1254834,0.050340507,5.5266476,5.3554835,1.2785554,1.3485141,-0.0699587
12,1.4875065,1.2447069,"('unsupportive', 'supportive')",0.2632017,0.29152516,-1.8465983,-1.7848518,-0.0319633,-0.0828733,0.05091
0,1.4870741,1.1944615,"('unsociable', 'sociable')",-0.5348745,-0.6362013,-0.10969709,-0.2251895,0.2808342,0.1110235,0.1698107
66,-1.4388595,-1.5082128,"('inactive', 'active')",0.069539964,-0.007147126,0.20571597,0.19630966,-0.3878678,-0.4396834,0.0518156
13,1.3236982,1.2893608,"('impolite', 'polite')",-0.25902224,-0.13931596,-0.7085494,-0.84308684,0.1187088,0.1023193,0.0163895
75,-1.322925,-1.3695871,"('meek', 'impulsive')",-0.09978449,-0.101183206,-0.9288208,-0.8072072,-0.7838434,-0.7593258,-0.0245176
37,1.318393,1.1698328,"('fake', 'genuine')",0.4875412,0.41691604,0.48573816,0.35302675,0.7638907,0.6465919,0.1172988
60,1.3000964,1.3145216,"('inefficient', 'efficient')",-0.58290964,-0.4371191,-0.3078713,-0.3044861,0.1364385,0.1909721,-0.0545336
56,1.2797021,1.1931158,"('impractical', 'practical')",-0.03584244,-0.0018072203,-1.1747154,-1.1552471,0.0230481,0.0120205,0.0110276
21,1.2561507,1.23128,"('immoral', 'moral')",-0.23240621,-0.08251585,-0.6020298,-0.6995018,0.1405716,0.1497541,-0.0091825
85,-1.2417191,-0.96079236,"('insignificant', 'prestigious')",-0.27240983,-0.094074,-0.15471925,0.06692502,-0.5562827,-0.3293138,-0.2269689
82,-1.1064584,-1.0444622,"('poor', 'rich')",-0.43118763,-0.40059426,6.270024,5.7965565,1.5774593,1.4505,0.1269593
43,1.0761712,0.91381395,"('irresponsible', 'responsible')",-0.31807247,-0.26136294,0.43440408,0.29318228,0.3975009,0.3152111,0.0822898
80,1.0589968,0.74454886,"('dominated', 'dominating')",0.44438976,0.20337205,-0.8604431,-0.9806632,0.2143145,-0.0109141,0.2252286
39,1.0361425,1.3579938,"('exploitative', 'cooperative')",0.29022413,0.5917912,0.24659547,0.28110957,0.5243207,0.7436315,-0.2193108
53,-0.9903418,-0.9893494,"('uncreative', 'creative')",-1.691011,-1.549791,0.26926473,0.26615927,-0.8040293,-0.7576604,-0.0463689
10,0.98912364,0.8031432,"('unsympathetic', 'sympathetic')",-0.9368959,-1.0297076,0.2190475,-0.062137842,0.0904251,-0.0962341,0.1866592
52,-0.9888226,-0.95736104,"('irrational', 'rational')",-0.2697781,-0.18567938,0.18271972,0.23595482,-0.358627,-0.3023619,-0.0562651
62,0.96744424,0.7611479,"('incompetent', 'brilliant')",-0.3112831,-0.22827429,0.16681601,0.17131911,0.2743257,0.2347309,0.0395948
88,-0.965375,-0.9378699,"('low', 'eminent')",-0.861362,-0.6440302,-0.3200958,-0.32248843,-0.7156109,-0.6347962,-0.0808147
67,0.9387605,0.86364937,"('doubtful', 'determined')",0.5147639,0.53967226,-0.69119626,-0.6744801,0.2541094,0.2429472,0.0111622
35,-0.9253999,-0.6638238,"('corrupt', 'incorrupt')",0.19838688,0.4009339,-0.61591023,-0.39402276,-0.4476411,-0.2189709,-0.2286702
71,0.8967948,1.1163156,"('diffident', 'self-confident')",0.8385,1.0219502,0.37619504,0.3215095,0.7038299,0.8199251,-0.1160952
54,-0.86444134,-0.82726336,"('incapable', 'capable')",-0.39553505,-0.28156954,0.9713467,0.8412792,-0.0962099,-0.0891845,-0.0070254
36,-0.86116177,-0.9074133,"('hostile', 'amicable')",-0.04437235,-0.14796282,-0.06750833,0.022889268,-0.3243475,-0.3441623,0.0198148
9,0.84536976,0.8506599,"('unaffectionate', 'caring')",-0.96715814,-0.89896214,1.8185816,1.7219489,0.5655977,0.5578822,0.0077155
4,-0.81981534,-0.9046013,"('disliked', 'liked')",0.078790545,0.012809194,-7.572159,-6.9604235,-2.7710613,-2.6174053,-0.153656
86,0.77829975,0.29340285,"('uninfluential', 'influential')",-1.3722246,-1.3416617,-0.014677264,-0.18036406,-0.2028674,-0.4095409,0.2066735
81,0.7680474,0.51682425,"('submissive', 'aggressive')",0.21994977,0.08483283,-0.82434416,-0.97633845,0.054551,-0.1248938,0.1794448
41,0.7564941,0.72712713,"('unforgiving', 'forgiving')",0.046267822,0.06368109,0.16030793,0.2545297,0.3210233,0.348446,-0.0274227
49,-0.7425315,-0.652011,"('unable', 'able')",-0.39843285,-0.18207477,-0.4271022,-0.40722835,-0.5226888,-0.4137714,-0.1089174
74,0.7330937,0.56399924,"('undedicated', 'dedicated')",0.02898639,0.110025615,-0.28922334,-0.15582223,0.1576189,0.1727342,-0.0151153
30,0.7296009,0.67852545,"('intolerant', 'tolerant')",-0.34590423,-0.3227491,0.55241984,0.6624567,0.3120388,0.339411,-0.0273722
