,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.310784,-2.2901392,"('unfriendly', 'friendly')",1.7773036,1.6549537,-0.2667403,-0.3175927,0.0508524
9,-2.2938392,-2.218429,"('unaffectionate', 'caring')",0.9440264,1.0075217,-0.6749064,-0.6054537,-0.0694527
8,-2.2244787,-2.0971882,"('unaffectionate', 'affectionate')",0.7119639,0.7303748,-0.7562574,-0.6834067,-0.0728507
86,-1.8620237,-1.9918925,"('uninfluential', 'influential')",-0.08502495,-0.10685956,-0.9735243,-1.049376,0.0758517
53,-1.6213348,-1.5930488,"('uncreative', 'creative')",0.6346761,0.67326397,-0.4933293,-0.4598924,-0.0334369
6,-1.6186408,-1.3355132,"('distant', 'open')",-0.087261796,0.027476467,-0.8529513,-0.6540184,-0.1989329
38,-1.431705,-1.3379049,"('untruthful', 'truthful')",-0.17089622,-0.073438905,-0.8013006,-0.7056719,-0.0956287
5,-1.2804047,-1.0479993,"('distant', 'outgoing')",-0.3679776,-0.2407372,-0.8241912,-0.6443682,-0.179823
31,-1.2680182,-1.0332528,"('evil', 'good')",-0.96870136,-1.1086667,-1.1183598,-1.0709598,-0.0474
0,-1.2345369,-1.550607,"('unsociable', 'sociable')",-0.24346668,-0.41472533,-0.7390018,-0.9826661,0.2436643
85,-1.2086164,-0.9567167,"('insignificant', 'prestigious')",0.48013723,0.3681376,-0.3642396,-0.2942896,-0.06995
19,-1.1872523,-1.0822654,"('inhospitable', 'hospitable')",0.14689918,0.24312116,-0.5201765,-0.4195721,-0.1006044
81,1.185492,0.925488,"('submissive', 'aggressive')",-0.6468893,-0.6941818,0.2693014,0.1156531,0.1536483
44,1.1438224,1.24397,"('prejudiced', 'unprejudiced')",-1.6535143,-1.6168927,-0.2548459,-0.1864613,-0.0683846
36,-1.1316355,-0.9746916,"('hostile', 'amicable')",-0.025241174,-0.13355301,-0.5784383,-0.5541223,-0.024316
80,1.1197221,0.94502,"('dominated', 'dominating')",-1.116974,-1.148312,0.0013741,-0.101646,0.1030201
73,1.0935038,1.2699922,"('helpless', 'self-reliant')",-2.4678833,-2.3171372,-0.6871898,-0.5235725,-0.1636173
