,el_male,el_female,tuple,paso_male,paso_female,corp_male,corp_female,average_male,average_female,male-female
45,-2.6423204,-2.671811,"('incompetent', 'competent')",-1.6762203,-1.4169306,-0.48816055,-0.71743405,-1.6022337,-1.6020586,-0.0001751
86,-2.4170182,-2.6431677,"('uninfluential', 'influential')",-1.4020451,-1.1885363,-0.5974095,-0.6065029,-1.4721575,-1.4794024,0.0072449
28,-2.1806836,-2.5044131,"('disloyal', 'loyal')",-0.0554921,-0.052848306,0.6360797,0.595513,-0.5333653,-0.6539162,0.1205509
10,-2.1548696,-2.340241,"('unsympathetic', 'sympathetic')",-1.5017865,-1.1873068,-0.73333794,-0.87668693,-1.4633314,-1.4680783,0.0047469
55,-1.7593178,-1.7096679,"('incompetent', 'clever')",-1.0495465,-0.64250284,0.501121,0.21566239,-0.7692477,-0.7121694,-0.0570783
1,-1.72676,-2.1185737,"('unfriendly', 'friendly')",0.5619679,0.5041312,1.0960464,1.260404,-0.0229152,-0.1180128,0.0950976
0,-1.7175142,-1.8805058,"('unsociable', 'sociable')",-0.60263264,-0.5310539,-0.33001572,-0.59318066,-0.8833875,-1.0015801,0.1181926
22,-1.6141782,-1.5520985,"('untrustworthy', 'trustworthy')",-1.0044762,-0.70006,-1.1769494,-1.2198206,-1.2652013,-1.1573264,-0.1078749
8,-1.5390569,-1.9391332,"('unaffectionate', 'affectionate')",0.52689475,0.36886853,0.15942878,0.44308552,-0.2842445,-0.3757263,0.0914818
14,-1.4346809,-1.435255,"('antisocial', 'social')",-1.0605211,-1.0295328,0.19248027,-0.2230392,-0.7675739,-0.8959424,0.1283685
48,-1.4229192,-1.5743637,"('unintelligent', 'intelligent')",-0.13328741,0.00023720786,0.94090086,0.9352558,-0.2051019,-0.2129569,0.007855
63,-1.3616757,-1.5404683,"('unperceptive', 'insightful')",-0.2845881,0.002650261,0.14057043,0.070969485,-0.5018978,-0.4889495,-0.0129483
47,-1.3604058,-1.2718601,"('stupid', 'smart')",-1.6144468,-1.4157373,4.447519,4.7127395,0.4908888,0.6750474,-0.1841586
61,-1.3165028,-1.5685655,"('illogical', 'logical')",-0.34824777,-0.49002907,0.70205754,0.6091948,-0.3208977,-0.4831332,0.1622355
65,-1.2962272,-1.8191185,"('insecure', 'secure')",-0.52200717,-0.68157285,-0.22662067,-0.36223376,-0.6816184,-0.9543084,0.27269
41,-1.2958064,-1.5773451,"('unforgiving', 'forgiving')",-0.77717847,-0.56268406,-0.25384706,-0.37356454,-0.7756107,-0.8378646,0.0622539
77,-1.2950597,-1.6374159,"('unmotivated', 'motivated')",-0.23327482,-0.21483241,-1.0597954,-1.1866021,-0.86271,-1.0129501,0.1502401
26,-1.2230257,-1.3362492,"('hardhearted', 'benevolent')",0.69911844,0.559336,1.9466068,1.8164757,0.4742332,0.3465208,0.1277124
21,-1.1908674,-1.3137403,"('immoral', 'moral')",-1.6062112,-1.4922076,-0.204091,-0.38180178,-1.0003899,-1.0625832,0.0621933
43,-1.1723373,-1.3040832,"('irresponsible', 'responsible')",-0.84911984,-0.72220856,0.24525803,0.25213665,-0.5920664,-0.591385,-0.0006814
37,-1.1704892,-1.0983181,"('fake', 'genuine')",-0.08172722,-0.0017677862,-0.30602026,-0.13132662,-0.5194122,-0.4104708,-0.1089414
60,-1.1496506,-1.238711,"('inefficient', 'efficient')",-0.37469244,-0.30644304,0.21648362,0.118354045,-0.4359531,-0.4756,0.0396469
