,genzyme_male,genzyme_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.1535993,-3.0834086,"('unsympathetic', 'sympathetic')",-0.48153162,-0.641529,-1.8175654,-1.8624688,0.0449034
45,-2.225163,-2.0922043,"('incompetent', 'competent')",-0.11174555,-0.53721917,-1.1684543,-1.3147118,0.1462575
69,2.202322,2.2196438,"('lazy', 'industrious')",-0.56504655,-0.45269743,0.8186377,0.8834732,-0.0648355
57,-2.051631,-1.9790756,"('unimaginative', 'imaginative')",-3.7365155,-4.069598,-2.8940732,-3.0243368,0.1302636
23,-1.9498602,-2.1078563,"('insincere', 'sincere')",6.5377464,6.525505,2.2939432,2.2088244,0.0851188
86,-1.9099503,-1.9039491,"('uninfluential', 'influential')",-0.45948994,-0.7911405,-1.18472,-1.3475448,0.1628248
13,-1.7442411,-2.0032084,"('impolite', 'polite')",-0.45543075,-0.6950886,-1.0998359,-1.3491485,0.2493126
3,-1.7062652,-1.6000605,"('repellent', 'pleasant')",0.61921173,0.46629298,-0.5435268,-0.5668837,0.0233569
0,-1.6861616,-1.8231007,"('unsociable', 'sociable')",-0.25832933,-0.60047925,-0.9722455,-1.21179,0.2395445
65,-1.6488191,-1.7340491,"('insecure', 'secure')",-0.20693876,-0.27075592,-0.9278789,-1.0024025,0.0745236
43,-1.6415175,-1.6364114,"('irresponsible', 'responsible')",0.3181728,0.061220825,-0.6616724,-0.7875953,0.1259229
24,-1.6217166,-1.534214,"('dishonest', 'honest')",0.9141059,0.87526065,-0.3538054,-0.3294767,-0.0243287
7,-1.5330673,-1.5327791,"('insensitive', 'sensitive')",0.53436345,0.19858027,-0.4993519,-0.6670994,0.1677475
72,-1.5123153,-1.3640553,"('unambitious', 'ambitious')",-0.44691682,-0.31649598,-0.979616,-0.8402756,-0.1393404
46,-1.4849235,-1.4810889,"('uncompetitive', 'competitive')",-0.8499857,-1.2786405,-1.1674546,-1.3798647,0.2124101
11,-1.4231117,-1.5250425,"('unhelpful', 'helpful')",1.9709285,1.8844874,0.2739084,0.1797224,0.094186
28,-1.3451087,-1.2255793,"('disloyal', 'loyal')",1.1890342,1.1657969,-0.0780373,-0.0298912,-0.0481461
58,-1.3443416,-1.3200428,"('undiscriminating', 'discriminating')",0.13119426,-0.025727239,-0.6065737,-0.6728851,0.0663114
35,1.3124065,1.3615127,"('corrupt', 'incorrupt')",-0.51629466,-0.1194458,0.3980559,0.6210334,-0.2229775
22,-1.2834624,-1.1365485,"('untrustworthy', 'trustworthy')",-1.0112926,-1.0006967,-1.1473775,-1.0686226,-0.0787549
9,-1.2780068,-1.1952422,"('unaffectionate', 'caring')",1.2619662,1.5559444,-0.0080203,0.1803511,-0.1883714
21,-1.2719039,-1.3544027,"('immoral', 'moral')",-0.48542482,-0.87334615,-0.8786644,-1.1138744,0.23521
53,-1.2654041,-1.178183,"('uncreative', 'creative')",0.7587981,0.6392151,-0.253303,-0.2694839,0.0161809
14,-1.2575052,-1.18683,"('antisocial', 'social')",-0.3749998,-0.75670165,-0.8162525,-0.9717659,0.1555134
70,-1.2421505,-1.1890473,"('lethargic', 'energetic')",-0.0038293488,-0.15647754,-0.62299,-0.6727625,0.0497725
38,-1.2190759,-1.1104224,"('untruthful', 'truthful')",0.3543959,0.45018545,-0.43234,-0.3301185,-0.1022215
41,-1.2162843,-1.2436532,"('unforgiving', 'forgiving')",-0.27413067,-0.71025866,-0.7452075,-0.9769559,0.2317484
55,-1.1740315,-1.1066172,"('incompetent', 'clever')",0.42820117,0.07101105,-0.3729151,-0.5178031,0.144888
63,-1.1610738,-1.1230432,"('unperceptive', 'insightful')",0.7202978,0.5222058,-0.220388,-0.3004187,0.0800307
12,-1.1171594,-1.0978067,"('unsupportive', 'supportive')",-2.0598903,-2.2277923,-1.5885248,-1.6627995,0.0742747
30,-1.0619075,-1.172402,"('intolerant', 'tolerant')",0.81809694,0.46993747,-0.1219053,-0.3512323,0.229327
73,1.0355028,0.975824,"('helpless', 'self-reliant')",-3.5425107,-3.4295757,-1.253504,-1.2268758,-0.0266282
74,-0.9719488,-0.9992867,"('undedicated', 'dedicated')",-0.6678028,-1.0509826,-0.8198758,-1.0251347,0.2052589
