,merck_male,merck_female,tuple,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
69,2.2454755,1.9039471,"('lazy', 'industrious')",0.6611671,0.43220598,1.9529577,1.7316538,-0.42714,-0.57936066,1.1081152,0.8721115,0.2360037
35,2.0819094,1.8059323,"('corrupt', 'incorrupt')",0.02823177,-0.05969566,0.56046206,0.44532993,0.36088464,0.1056921,0.757872,0.5743147,0.1835573
33,1.6455256,1.6023936,"('wrong', 'right')",0.31131047,0.24649566,0.05710574,0.095550165,-0.23894252,-0.27414173,0.4437498,0.4175745,0.0261753
3,-1.5380403,-1.4676255,"('repellent', 'pleasant')",-0.6947747,-0.7463189,0.52728945,0.48534432,-0.0022747107,0.03017302,-0.4269501,-0.4246068,-0.0023433
85,1.5312642,1.4495398,"('insignificant', 'prestigious')",1.362837,1.2724215,1.0612696,0.95043206,1.2146806,1.0068899,1.2925129,1.1698208,0.1226921
72,-1.5184004,-1.2395034,"('unambitious', 'ambitious')",-0.78334224,-0.5277933,-0.4422837,-0.20322259,-0.65178484,-0.37797484,-0.8489528,-0.5871235,-0.2618293
59,1.4892112,1.357479,"('foolish', 'wise')",1.2016352,0.961865,-0.34423232,-0.47868767,0.75921786,0.7006008,0.776458,0.6353143,0.1411437
46,-1.384151,-1.3693401,"('uncompetitive', 'competitive')",0.08732303,0.035323456,-0.22025934,-0.17548183,-0.87479997,-0.7379368,-0.5979718,-0.5618588,-0.036113
57,-1.3024096,-1.1478034,"('unimaginative', 'imaginative')",-0.41659135,-0.33107293,-0.7290087,-0.6352799,-2.7014961,-2.5986204,-1.2873764,-1.1781942,-0.1091822
21,-1.1883849,-0.89179265,"('immoral', 'moral')",-0.1638332,0.122876465,-1.9676901,-1.6799335,-1.2275801,-1.05934,-1.1368721,-0.8770474,-0.2598247
86,-1.1850127,-1.2843139,"('uninfluential', 'influential')",0.26872042,-0.055570684,-0.83454067,-1.0242406,0.42059082,0.39752063,-0.3325605,-0.4916511,0.1590906
11,-1.149477,-0.9435689,"('unhelpful', 'helpful')",-0.8154116,-0.65252966,-0.6946486,-0.46418086,1.8128957,1.9448739,-0.2116604,-0.0288514,-0.182809
6,1.1324863,1.0849526,"('distant', 'open')",0.23729646,0.24037941,-0.3269894,-0.36071733,1.0639254,0.8724958,0.5266797,0.4592776,0.0674021
23,-1.0878054,-0.8643665,"('insincere', 'sincere')",-0.54399765,-0.26862213,-1.5665892,-1.2962639,5.987827,6.0255876,0.6973586,0.8990837,-0.2017251
73,1.08556,1.2352155,"('helpless', 'self-reliant')",-0.16707973,-0.01651448,1.1668226,1.2602941,-3.3931298,-3.3010657,-0.3269567,-0.2055176,-0.1214391
2,1.082963,1.1065052,"('unlikable', 'likable')",1.1466665,1.3871213,1.3486648,1.4716733,0.80634725,0.83601326,1.0961604,1.2003282,-0.1041678
87,1.0741255,0.7616949,"('unsuccessful', 'successful')",2.0797837,1.9196781,1.8304864,1.6950647,0.95109755,1.0219337,1.4838732,1.3495928,0.1342804
70,-1.0374893,-0.7874131,"('lethargic', 'energetic')",0.4530513,0.8157604,-1.1818414,-0.8566077,0.5486374,0.7477434,-0.3044105,-0.0201292,-0.2842813
82,-1.0290289,-1.0318872,"('poor', 'rich')",0.11192663,0.023724444,-0.73673624,-0.79605,6.5257354,6.347328,1.2179742,1.1357789,0.0821953
5,1.0062362,1.0558139,"('distant', 'outgoing')",0.025737882,0.06750749,0.05595459,0.11657047,0.26243186,0.1890701,0.3375901,0.3572405,-0.0196504
66,0.9876694,0.7780789,"('inactive', 'active')",1.2212677,1.1542336,1.2503676,1.1248385,1.4402872,1.3278407,1.224898,1.0962479,0.1286501
71,0.97628367,0.9425716,"('diffident', 'self-confident')",0.10360335,-0.0440486,-0.22327131,-0.24730319,0.90013456,0.83892584,0.4391876,0.3725364,0.0666512
22,-0.9684059,-0.6497814,"('untrustworthy', 'trustworthy')",-0.3728187,-0.1942244,-1.0524342,-0.7177171,-1.0849323,-0.89854175,-0.8696478,-0.6150662,-0.2545816
15,0.9561634,1.0921478,"('boring', 'funny')",0.32802063,0.42492032,-0.3885358,-0.3314811,0.5221306,0.553603,0.3544447,0.4347975,-0.0803528
10,-0.9388908,-0.9675003,"('unsympathetic', 'sympathetic')",-0.016282037,-0.11850546,-0.9155902,-0.8817761,-0.3206201,-0.17480157,-0.5478458,-0.5356458,-0.0122
63,-0.9080129,-0.6216233,"('unperceptive', 'insightful')",1.0213194,1.1763989,-0.7876579,-0.6374184,1.2409456,1.4821782,0.1416485,0.3498839,-0.2082354
60,-0.89038354,-0.5120808,"('inefficient', 'efficient')",-0.19215094,0.36272842,-0.9967212,-0.5339166,-0.19293258,0.23628421,-0.568047,-0.1117462,-0.4563008
19,0.88433504,0.8538095,"('inhospitable', 'hospitable')",-0.54218704,-0.71512985,-0.46009406,-0.63108665,0.11335808,-0.09628012,-0.001147,-0.1471718,0.1460248
81,-0.83644235,-0.6857016,"('submissive', 'aggressive')",0.4672885,0.7162681,-0.7775667,-0.40244544,-1.350586,-1.0296583,-0.6243266,-0.3503843,-0.2739423
26,0.83349514,0.60013247,"('hardhearted', 'benevolent')",2.6674483,2.2261815,1.6197363,1.2813588,2.0499167,1.9056826,1.7926491,1.5033388,0.2893103
84,0.8265925,0.720533,"('inferior', 'superior')",1.1747588,1.0527166,0.7501375,0.6033594,0.7851286,0.79391,0.8841544,0.7926298,0.0915246
51,-0.7910482,-0.772947,"('uneducated', 'educated')",0.8467337,0.7488789,-0.47149163,-0.5738629,0.5846094,0.5962939,0.0422008,-0.0004093,0.0426101
13,-0.7629757,-0.43646848,"('impolite', 'polite')",-0.5027771,-0.18119022,-0.45007885,-0.1919639,-0.48440388,-0.34321153,-0.5500589,-0.2882085,-0.2618504
88,-0.76281637,-0.73385996,"('low', 'eminent')",-0.060318798,0.1696639,-1.1787778,-1.0894711,0.16559017,0.25179774,-0.4590807,-0.3504674,-0.1086133
24,-0.73221177,-0.5298257,"('dishonest', 'honest')",-0.4380346,-0.09483952,-1.6504625,-1.3543963,0.78614473,0.9589719,-0.508641,-0.2550224,-0.2536186
48,-0.7279477,-0.6126169,"('unintelligent', 'intelligent')",-0.073981866,0.12064895,-1.8849552,-1.7752374,0.5812796,0.7373173,-0.5264013,-0.382472,-0.1439293
32,-0.7230825,-0.745613,"('unkind', 'kind')",0.28362095,0.23437843,-1.0894022,-1.0154753,0.9374428,0.91997486,-0.1478552,-0.1516837,0.0038285
68,-0.7191789,-0.5894702,"('dependent', 'independent')",-1.0099236,-0.866525,-1.8640165,-1.6487044,-0.63961154,-0.5220564,-1.0581827,-0.906689,-0.1514937
50,0.71211934,0.33266267,"('clumsy', 'skillful')",1.8137052,1.3831528,0.75672746,0.37597463,0.76334417,0.6191179,1.011474,0.677727,0.333747
0,-0.67188215,-0.6030887,"('unsociable', 'sociable')",0.49481392,0.32260668,-0.046683982,-0.14957751,-0.3305051,-0.36287135,-0.1385643,-0.1982327,0.0596684
55,-0.6333459,-0.52860016,"('incompetent', 'clever')",0.49564245,0.58289623,-0.78074074,-0.64206487,-0.06912176,0.012023412,-0.2468915,-0.1439364,-0.1029551
43,-0.6297747,-0.3305002,"('irresponsible', 'responsible')",-0.25072095,0.26596045,-0.7430548,-0.38582012,0.53722894,0.76106197,-0.2715804,0.0776755,-0.3492559
42,0.6281488,0.69346195,"('unreliable', 'reliable')",0.8764704,1.0056057,-0.0062186276,0.109696746,-2.8463812,-2.719552,-0.3369952,-0.2276969,-0.1092983
67,0.62301016,0.8325331,"('doubtful', 'determined')",0.34131125,0.28119454,0.039541744,-0.0020911396,-0.5261271,-0.39738467,0.119434,0.178563,-0.059129
20,-0.6033872,-0.3694917,"('rough', 'thoughtful')",0.66188395,1.0875502,-0.1944528,0.10680788,0.9167661,1.0134534,0.1952025,0.4595799,-0.2643774
45,-0.58989924,-0.61159873,"('incompetent', 'competent')",0.44918168,0.28316388,-1.1308844,-1.3441851,-0.14629558,-0.23647842,-0.3544744,-0.4772746,0.1228002
74,0.5688362,0.74742335,"('undedicated', 'dedicated')",0.83208126,0.8875983,0.12942824,0.16028565,0.26550254,0.39405364,0.4489621,0.5473403,-0.0983782
65,-0.5625987,-0.55130893,"('insecure', 'secure')",0.1793176,0.2543471,-0.8441878,-0.7171449,-0.9383119,-0.6587086,-0.5414452,-0.4182038,-0.1232414
52,0.5338318,0.32027373,"('irrational', 'rational')",0.057600845,-0.10739999,-0.58374035,-0.7794627,0.57487833,0.35094792,0.1456427,-0.0539103,0.199553
62,-0.51781964,-0.27156213,"('incompetent', 'brilliant')",-0.38797468,0.10381181,-0.8216509,-0.33080587,0.30476823,0.6172367,-0.3556693,0.0296701,-0.3853394
36,0.50133014,0.29067454,"('hostile', 'amicable')",-0.50551564,-0.80942965,0.29338598,0.022302583,0.8210828,0.48417512,0.2775708,-0.0030693,0.2806401
53,-0.50116223,-0.3616119,"('uncreative', 'creative')",0.23483565,0.2368641,-0.042479254,-0.048169628,1.4828222,1.3883471,0.2935041,0.3038574,-0.0103533
54,0.49932367,0.44914162,"('incapable', 'capable')",0.4101171,0.47230202,-0.32211927,-0.063125946,1.4370962,1.4936582,0.5061045,0.587994,-0.0818895
38,-0.48774427,-0.340206,"('untruthful', 'truthful')",-0.8819442,-0.6563882,-0.7640739,-0.55856,0.06155467,0.25423992,-0.5180519,-0.3252286,-0.1928233
34,-0.46997124,-0.26045322,"('mean', 'honorable')",0.040837817,0.30898854,-0.02107957,0.25395316,6.255281,6.3269186,1.451267,1.6573517,-0.2060847
28,-0.45918497,-0.67278624,"('disloyal', 'loyal')",0.014864974,-0.21084294,-0.9285868,-1.2190716,1.1910303,0.99345547,-0.0454691,-0.2773113,0.2318422
39,0.45531136,0.527683,"('exploitative', 'cooperative')",-0.14883244,0.21840504,0.7157416,0.9690957,-0.053651042,0.07124142,0.2421424,0.4466063,-0.2044639
76,-0.4514159,-0.1960156,"('anxious', 'daring')",0.8745608,1.5359071,-0.074145146,0.45740965,-0.5634124,-0.18081886,-0.0536032,0.4041206,-0.4577238
4,0.37072942,0.2483214,"('disliked', 'liked')",-0.018316187,-0.18882175,-0.31247103,-0.6724313,-6.6670046,-6.7882037,-1.6567656,-1.8502839,0.1935183
83,-0.36818552,-0.20306249,"('powerless', 'powerful')",0.30660796,0.4776629,-0.15333268,-0.00061734393,-0.8185484,-0.78072494,-0.2583646,-0.1266855,-0.1316791
41,-0.36439413,-0.23857537,"('unforgiving', 'forgiving')",-0.060589448,-0.033410363,-0.09418353,-0.19353554,0.1968089,0.043441415,-0.0805895,-0.10552,0.0249305
44,-0.35335737,-0.37331417,"('prejudiced', 'unprejudiced')",-1.3781269,-0.98828554,-0.88078576,-0.477468,-1.8306495,-1.71839,-1.1107298,-0.8893644,-0.2213654
14,-0.3325051,-0.29398155,"('antisocial', 'social')",1.1448234,1.1509452,0.1953315,0.21395671,-0.84785587,-0.85849655,0.0399485,0.053106,-0.0131575
7,-0.33235407,-0.469141,"('insensitive', 'sensitive')",-0.041004088,-0.13312913,-1.0487795,-1.1257544,0.94139415,0.87226474,-0.1201859,-0.2139399,0.093754
31,0.310262,0.34659696,"('evil', 'good')",-0.2656001,-0.47048944,0.43114612,0.17112084,-0.51711386,-0.8924861,-0.0103265,-0.2113144,0.2009879
18,-0.3099427,-0.26327887,"('disagreeable', 'welcoming')",0.25850493,0.533252,-0.9480287,-0.80710894,-0.07985366,-0.19632354,-0.26983,-0.1833648,-0.0864652
37,0.3095992,0.37704137,"('fake', 'genuine')",-0.16026874,0.15442076,-0.6133123,-0.3827735,0.4959368,0.6321863,0.0079887,0.1952187,-0.18723
56,-0.29871017,0.06802601,"('impractical', 'practical')",-0.2790503,-0.040443264,-0.53335714,-0.30674067,-0.2798135,-0.052506126,-0.3477328,-0.082916,-0.2648168
78,-0.27561975,-0.5252285,"('nonresilient', 'resilient')",0.54567033,0.25786147,1.1630865,0.89099497,0.7444732,0.77635205,0.5444026,0.349995,0.1944076
25,0.2755505,0.35969463,"('egoistic', 'altruistic')",0.41613796,0.5417655,0.6795852,0.7819468,1.6734138,1.6576992,0.7611719,0.8352765,-0.0741046
79,0.2563504,0.011070803,"('wavering', 'unwavering')",0.08803037,-0.38655293,-0.34149122,-0.6993213,0.36928034,0.20023695,0.0930425,-0.2186416,0.3116841
17,-0.2508963,-0.3799415,"('nasty', 'nice')",-0.12403593,-0.12665114,-0.110196576,-0.26008636,-0.89247596,-0.9590885,-0.3444012,-0.4314419,0.0870407
9,-0.23619272,-0.2679192,"('unaffectionate', 'caring')",0.2410253,0.12827708,-0.2110603,-0.23359989,2.0521424,2.0151422,0.4614787,0.410475,0.0510037
29,0.22765616,0.3767785,"('unfair', 'fair')",-0.20213486,-0.14734843,-1.0412251,-1.0524433,-0.59445685,-0.553945,-0.4025401,-0.3442395,-0.0583006
47,-0.2200003,0.122474834,"('stupid', 'smart')",0.28348735,0.5849737,-0.57976794,-0.25979415,5.556078,5.683114,1.2599492,1.5326921,-0.2727429
