,boston_male,boston_female,tuple,properties_male,properties_female,inc_male,inc_female,average_male,average_female,male-female
39,2.59491,2.583069,"('exploitative', 'cooperative')",0.6351162,0.669887,0.20525184,0.2768661,1.1450927,1.1766074,-0.0315147
24,1.9379994,1.7660602,"('dishonest', 'honest')",-0.20888713,-0.20260729,0.8617815,0.9569737,0.8636312,0.8401423,0.0234889
74,1.7401649,1.7796462,"('undedicated', 'dedicated')",-0.5786932,-0.5028949,0.20393631,0.4353214,0.455136,0.5706909,-0.1155549
73,1.5914564,1.6526251,"('helpless', 'self-reliant')",0.6266884,0.61091495,-3.189794,-3.1081936,-0.3238831,-0.2815512,-0.0423319
42,1.554371,1.6459789,"('unreliable', 'reliable')",1.034398,1.1366798,-2.6679246,-2.3346956,-0.0263852,0.149321,-0.1757062
71,1.5387055,1.6255215,"('diffident', 'self-confident')",1.8862414,2.0060668,0.7529918,0.73373806,1.3926462,1.4551088,-0.0624626
76,1.3433695,1.3975554,"('anxious', 'daring')",1.2640226,1.4017283,0.5387175,0.756528,1.0487032,1.1852705,-0.1365673
61,1.3265924,1.1607339,"('illogical', 'logical')",-0.1324209,-0.21552953,0.50158453,0.4375343,0.565252,0.4609129,0.1043391
13,1.2619284,1.2343898,"('impolite', 'polite')",-0.14999953,-0.1531255,-0.27350712,-0.16795272,0.2794739,0.3044372,-0.0249633
44,-1.2062404,-0.88062054,"('prejudiced', 'unprejudiced')",-0.8011606,-0.64278495,-1.3147656,-1.1916455,-1.1073888,-0.9050171,-0.2023717
49,-1.1825464,-1.0752443,"('unable', 'able')",-0.9178433,-0.7734405,-0.46304873,-0.31378463,-0.8544795,-0.7208231,-0.1336564
78,-1.1167618,-1.1674258,"('nonresilient', 'resilient')",1.1267632,1.0540209,0.37244374,0.32173607,0.1274817,0.0694437,0.058038
12,1.099082,1.0929403,"('unsupportive', 'supportive')",1.7662972,1.7657874,-1.2066231,-1.1354611,0.5529188,0.5744222,-0.0215034
40,1.0803622,0.89444715,"('stingy', 'generous')",0.6267514,0.5139666,-1.2657939,-1.4970696,0.1471066,-0.0295519,0.1766585
16,-1.0584143,-1.0160809,"('unpopular', 'popular')",-0.90967935,-0.94548184,0.068977945,-0.064420424,-0.6330386,-0.6753277,0.0422891
70,1.0303628,1.0004984,"('lethargic', 'energetic')",0.6543981,0.753953,0.6837436,0.8703669,0.7895015,0.8749394,-0.0854379
22,1.0112389,0.8480414,"('untrustworthy', 'trustworthy')",-0.49233517,-0.4648875,-0.90474284,-0.8392459,-0.128613,-0.1520307,0.0234177
