,nisource_male,nisource_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.74313,-2.6935523,"('unfriendly', 'friendly')",1.4835945,1.5537875,-0.6297677,-0.5698824,-0.0598853
9,-2.547003,-2.5266807,"('unaffectionate', 'caring')",0.71303225,0.77433634,-0.9169854,-0.8761722,-0.0408132
8,-2.5052576,-2.4185643,"('unaffectionate', 'affectionate')",0.24063647,0.48075348,-1.1323106,-0.9689054,-0.1634052
86,-2.0534859,-1.9502971,"('uninfluential', 'influential')",-0.14593028,0.04986123,-1.0997081,-0.950218,-0.1494901
6,-1.93849,-1.6581639,"('distant', 'open')",-0.2443507,-0.12151087,-1.0914204,-0.8898374,-0.201583
31,-1.7830406,-1.5938407,"('evil', 'good')",-1.2979381,-1.139693,-1.5404894,-1.3667669,-0.1737225
38,-1.7048777,-1.7499504,"('untruthful', 'truthful')",-0.07948451,-0.27825218,-0.8921811,-1.0141013,0.1219202
5,-1.669746,-1.4880178,"('distant', 'outgoing')",-0.5784605,-0.5803169,-1.1241033,-1.0341673,-0.089936
53,-1.5721015,-1.5144435,"('uncreative', 'creative')",0.79661834,0.81274587,-0.3877416,-0.3508488,-0.0368928
85,-1.4927155,-1.4205943,"('insignificant', 'prestigious')",0.11895288,0.26478142,-0.6868813,-0.5779065,-0.1089748
76,1.4678617,1.315754,"('anxious', 'daring')",0.4828826,0.4588416,0.9753721,0.8872978,0.0880743
19,-1.4570624,-1.3180578,"('inhospitable', 'hospitable')",-0.35151947,-0.32553837,-0.9042909,-0.8217981,-0.0824928
44,1.448994,1.4121971,"('prejudiced', 'unprejudiced')",-1.4250131,-1.3266988,0.0119905,0.0427492,-0.0307587
81,1.4382362,1.2609491,"('submissive', 'aggressive')",-0.07079722,-0.17217481,0.6837195,0.5443872,0.1393323
80,1.383605,1.2911165,"('dominated', 'dominating')",-1.1310662,-0.9968527,0.1262694,0.1471319,-0.0208625
36,-1.2974297,-1.2504443,"('hostile', 'amicable')",-0.26620585,-0.39231715,-0.7818178,-0.8213807,0.0395629
12,-1.2683467,-1.1935364,"('unsupportive', 'supportive')",-1.4301769,-1.2249464,-1.3492618,-1.2092414,-0.1400204
0,-1.2108334,-1.1798571,"('unsociable', 'sociable')",-0.0043866215,-0.049865812,-0.60761,-0.6148615,0.0072515
42,1.2051454,1.011257,"('unreliable', 'reliable')",-2.2530422,-2.1253211,-0.5239484,-0.557032,0.0330836
71,-1.1290429,-0.9815658,"('diffident', 'self-confident')",0.44519365,0.5585896,-0.3419246,-0.2114881,-0.1304365
73,1.083107,1.1198758,"('helpless', 'self-reliant')",-2.5217378,-2.336318,-0.7193154,-0.6082211,-0.1110943
23,-1.0339739,-1.1770031,"('insincere', 'sincere')",5.220982,4.7652264,2.093504,1.7941116,0.2993924
78,-0.9567152,-0.9134105,"('nonresilient', 'resilient')",0.23384048,0.37110162,-0.3614374,-0.2711544,-0.090283
52,-0.9522935,-0.73961234,"('irrational', 'rational')",-0.46286154,-0.22826707,-0.7075775,-0.4839397,-0.2236378
58,-0.9305529,-0.8826229,"('undiscriminating', 'discriminating')",0.29460868,0.2536241,-0.3179721,-0.3144994,-0.0034727
72,-0.8896668,-0.903261,"('unambitious', 'ambitious')",-0.74601936,-0.81927335,-0.8178431,-0.8612672,0.0434241
28,-0.88204396,-1.0739849,"('disloyal', 'loyal')",0.8417412,0.51003075,-0.0201514,-0.2819771,0.2618257
79,-0.84447044,-0.90161103,"('wavering', 'unwavering')",-0.29386282,-0.4682908,-0.5691667,-0.6849509,0.1157842
63,-0.8228149,-0.75203544,"('unperceptive', 'insightful')",1.2238652,1.2628314,0.2005251,0.255398,-0.0548729
10,-0.8117254,-0.8368557,"('unsympathetic', 'sympathetic')",0.059864633,0.13020942,-0.3759304,-0.3533232,-0.0226072
60,0.79033154,0.74301547,"('inefficient', 'efficient')",0.47653723,0.43624866,0.6334344,0.589632,0.0438024
70,0.7898742,0.56532824,"('lethargic', 'energetic')",1.3294892,1.158121,1.0596817,0.8617246,0.1979571
43,-0.7864204,-0.8020601,"('irresponsible', 'responsible')",0.8874472,0.72013783,0.0505134,-0.0409611,0.0914745
69,0.7721529,1.0588218,"('lazy', 'industrious')",-0.28466272,-0.14113516,0.2437451,0.4588433,-0.2150982
26,-0.7689189,-0.851661,"('hardhearted', 'benevolent')",1.8234664,1.870707,0.5272738,0.509523,0.0177508
62,0.7412467,0.35771197,"('incompetent', 'brilliant')",0.86630195,0.53669727,0.8037744,0.4472046,0.3565698
87,0.71827525,0.66000426,"('unsuccessful', 'successful')",0.8928382,0.9986899,0.8055567,0.8293471,-0.0237904
