,andeavor_male,andeavor_female,tuple,average_male,average_female,male-female
64,-3.4896622,-3.3960812,"('shy', 'confident')",-3.4896622,-3.3960812,-0.093581
57,-2.4868264,-2.5708385,"('unimaginative', 'imaginative')",-2.4868264,-2.5708385,0.0840121
4,-2.197344,-2.0928729,"('disliked', 'liked')",-2.1973441,-2.0928729,-0.1044712
10,-2.0714931,-2.030979,"('unsympathetic', 'sympathetic')",-2.0714931,-2.0309789,-0.0405142
46,-1.9892938,-1.8606795,"('uncompetitive', 'competitive')",-1.9892938,-1.8606795,-0.1286143
0,-1.8756144,-2.1459565,"('unsociable', 'sociable')",-1.8756144,-2.1459565,0.2703421
86,-1.8378129,-1.8850656,"('uninfluential', 'influential')",-1.8378129,-1.8850656,0.0472527
77,-1.7566059,-1.8035877,"('unmotivated', 'motivated')",-1.7566059,-1.8035877,0.0469818
12,-1.7530191,-1.7136366,"('unsupportive', 'supportive')",-1.7530191,-1.7136366,-0.0393825
42,-1.7501229,-1.5897137,"('unreliable', 'reliable')",-1.7501229,-1.5897137,-0.1604092
82,1.6789594,1.7484862,"('poor', 'rich')",1.6789594,1.7484862,-0.0695268
45,-1.6280206,-1.6840512,"('incompetent', 'competent')",-1.6280206,-1.6840512,0.0560306
43,-1.5372361,-1.538016,"('irresponsible', 'responsible')",-1.5372361,-1.538016,0.0007799
5,-1.5091511,-1.5709989,"('distant', 'outgoing')",-1.5091511,-1.5709989,0.0618478
60,-1.5007809,-1.7280866,"('inefficient', 'efficient')",-1.5007809,-1.7280866,0.2273057
13,-1.447428,-1.50036,"('impolite', 'polite')",-1.447428,-1.50036,0.052932
81,-1.435231,-1.5225871,"('submissive', 'aggressive')",-1.435231,-1.5225871,0.0873561
34,1.3934193,1.2783267,"('mean', 'honorable')",1.3934193,1.2783267,0.1150926
21,-1.3786193,-1.3871865,"('immoral', 'moral')",-1.3786193,-1.3871865,0.0085672
1,-1.3276944,-1.4085616,"('unfriendly', 'friendly')",-1.3276944,-1.4085616,0.0808672
62,-1.3039446,-1.4007915,"('incompetent', 'brilliant')",-1.3039446,-1.4007915,0.0968469
38,-1.2554429,-1.0125085,"('untruthful', 'truthful')",-1.2554429,-1.0125085,-0.2429344
11,-1.137602,-1.2346829,"('unhelpful', 'helpful')",-1.137602,-1.2346829,0.0970809
44,-1.1359097,-1.0836971,"('prejudiced', 'unprejudiced')",-1.1359097,-1.0836971,-0.0522126
67,-1.134957,-1.1836736,"('doubtful', 'determined')",-1.134957,-1.1836736,0.0487166
55,-1.0395494,-1.313573,"('incompetent', 'clever')",-1.0395494,-1.313573,0.2740236
63,-1.0008457,-0.8859,"('unperceptive', 'insightful')",-1.0008457,-0.8859,-0.1149457
56,-0.97177166,-0.930388,"('impractical', 'practical')",-0.9717717,-0.930388,-0.0413837
53,-0.9679724,-0.91349196,"('uncreative', 'creative')",-0.9679724,-0.913492,-0.0544804
22,-0.9656501,-1.0647758,"('untrustworthy', 'trustworthy')",-0.9656501,-1.0647758,0.0991257
69,0.9433144,0.9406915,"('lazy', 'industrious')",0.9433144,0.9406915,0.0026229
25,0.9306764,0.8870558,"('egoistic', 'altruistic')",0.9306764,0.8870558,0.0436206
83,-0.9171876,-0.9232953,"('powerless', 'powerful')",-0.9171876,-0.9232953,0.0061077
70,-0.9032866,-1.0349966,"('lethargic', 'energetic')",-0.9032866,-1.0349966,0.13171
23,0.902304,0.7098375,"('insincere', 'sincere')",0.902304,0.7098375,0.1924665
76,-0.89938736,-0.91250336,"('anxious', 'daring')",-0.8993874,-0.9125034,0.013116
71,-0.8837788,-0.8557586,"('diffident', 'self-confident')",-0.8837788,-0.8557586,-0.0280202
26,0.82852626,0.65290016,"('hardhearted', 'benevolent')",0.8285263,0.6529002,0.1756261
47,0.81631523,0.65997005,"('stupid', 'smart')",0.8163152,0.65997,0.1563452
14,-0.8078395,-1.1796604,"('antisocial', 'social')",-0.8078395,-1.1796604,0.3718209
6,-0.8053578,-0.6699952,"('distant', 'open')",-0.8053578,-0.6699952,-0.1353626
50,0.80458903,1.0514033,"('clumsy', 'skillful')",0.804589,1.0514033,-0.2468143
68,-0.73846275,-0.63605607,"('dependent', 'independent')",-0.7384627,-0.6360561,-0.1024066
30,-0.6894631,-0.9111801,"('intolerant', 'tolerant')",-0.6894631,-0.9111801,0.221717
15,0.66402245,0.5211584,"('boring', 'funny')",0.6640224,0.5211584,0.142864
61,-0.66264814,-0.6202599,"('illogical', 'logical')",-0.6626481,-0.6202599,-0.0423882
52,0.66008437,0.5833509,"('irrational', 'rational')",0.6600844,0.5833509,0.0767335
74,-0.64743817,-0.53117687,"('undedicated', 'dedicated')",-0.6474382,-0.5311769,-0.1162613
37,-0.62669843,-0.68534344,"('fake', 'genuine')",-0.6266984,-0.6853434,0.058645
16,0.60967517,0.696268,"('unpopular', 'popular')",0.6096752,0.696268,-0.0865928
17,-0.6094359,-0.8264957,"('nasty', 'nice')",-0.6094359,-0.8264957,0.2170598
80,-0.60105324,-0.67032564,"('dominated', 'dominating')",-0.6010532,-0.6703256,0.0692724
58,-0.5980595,-0.77795357,"('undiscriminating', 'discriminating')",-0.5980595,-0.7779536,0.1798941
35,0.594237,0.70821273,"('corrupt', 'incorrupt')",0.594237,0.7082127,-0.1139757
27,0.53894156,0.2894745,"('hardhearted', 'softhearted')",0.5389416,0.2894745,0.2494671
19,-0.5204687,-0.26812303,"('inhospitable', 'hospitable')",-0.5204687,-0.268123,-0.2523457
9,-0.5121241,-0.4965732,"('unaffectionate', 'caring')",-0.5121241,-0.4965732,-0.0155509
73,-0.49373993,-0.3704692,"('helpless', 'self-reliant')",-0.4937399,-0.3704692,-0.1232707
40,-0.46568322,-0.61754227,"('stingy', 'generous')",-0.4656832,-0.6175423,0.1518591
85,0.45751,0.49878538,"('insignificant', 'prestigious')",0.45751,0.4987854,-0.0412754
41,-0.41976297,-0.46391767,"('unforgiving', 'forgiving')",-0.419763,-0.4639177,0.0441547
54,-0.41892222,-0.21289238,"('incapable', 'capable')",-0.4189222,-0.2128924,-0.2060298
24,-0.4039858,-0.3590997,"('dishonest', 'honest')",-0.4039858,-0.3590997,-0.0448861
18,-0.3987812,-0.36872286,"('disagreeable', 'welcoming')",-0.3987812,-0.3687229,-0.0300583
32,-0.37199005,-0.32907552,"('unkind', 'kind')",-0.3719901,-0.3290755,-0.0429146
