,bed_male,bed_female,tuple,bath_male,bath_female,&_male,&_female,beyond_male,beyond_female,inc_male,inc_female,average_male,average_female,male-female
56,1.9243516,2.0324113,"('impractical', 'practical')",1.0681465,1.368836,-0.7892589,-0.4714774,0.10382934,0.21097958,0.21222782,0.37499845,0.5038592,0.7031496,-0.1992904
66,-1.4753395,-1.2498938,"('inactive', 'active')",-0.8657672,-0.7704485,0.7288899,0.7913883,0.6889254,0.76701677,0.48930946,0.5444797,-0.0867964,0.0165085,-0.1033049
12,1.395674,1.478438,"('unsupportive', 'supportive')",0.8657686,1.0835263,0.5874581,0.7630043,0.68628246,0.67172027,-1.0745999,-1.0006318,0.4921166,0.5992114,-0.1070948
71,1.3870268,1.3516927,"('diffident', 'self-confident')",2.1696312,1.9423468,0.86147916,0.7137284,1.8362724,1.7960703,0.9748798,0.907724,1.4458578,1.3423123,0.1035455
77,-1.3862417,-1.4986703,"('unmotivated', 'motivated')",-1.422053,-1.491291,-2.0472016,-2.0142014,-1.4298183,-1.5944474,-0.7909668,-0.86254346,-1.4152563,-1.4922307,0.0769744
81,-1.348471,-1.1799793,"('submissive', 'aggressive')",-1.5558274,-1.2254167,-1.8881607,-1.5101509,-1.4614553,-1.3921108,-1.0997697,-0.9730906,-1.4707368,-1.2561497,-0.2145871
31,-1.3200613,-1.0735666,"('evil', 'good')",0.7396993,0.69979805,1.481459,1.4426713,0.09861319,0.16503651,-1.0576468,-1.0630832,-0.0115873,0.0341712,-0.0457585
53,-1.2935748,-1.3683922,"('uncreative', 'creative')",-0.31075895,-0.47571352,-0.112832,-0.20396845,-1.3041444,-1.6067884,0.8416093,0.7348208,-0.4359402,-0.5840084,0.1480682
43,1.2151006,1.0940098,"('irresponsible', 'responsible')",0.47042483,0.7024144,-0.7047754,-0.47339696,-1.1735228,-1.1890439,1.0404023,1.0200722,0.1695259,0.2308111,-0.0612852
3,-1.0996758,-1.3315039,"('repellent', 'pleasant')",-1.7169979,-1.6849443,-1.4548004,-1.448544,-1.0862671,-1.215784,-0.3497234,-0.38955042,-1.1414928,-1.2140653,0.0725725
68,-1.034799,-1.1188078,"('dependent', 'independent')",-1.0374231,-0.8672217,-0.9151917,-0.87086886,-0.20852335,-0.27454507,-0.47697008,-0.4781102,-0.7345815,-0.7219108,-0.0126707
73,1.0116856,1.0094107,"('helpless', 'self-reliant')",0.60056424,0.6930981,1.5356681,1.5435903,1.4312048,1.5971718,-2.5480413,-2.6017485,0.4062162,0.4483046,-0.0420884
25,-0.97214437,-0.8108761,"('egoistic', 'altruistic')",0.6908701,0.50143206,0.06051511,0.009523362,-0.46173006,-0.34363392,1.2373078,1.1881065,0.1109637,0.1089104,0.0020533
15,0.9545774,0.9736444,"('boring', 'funny')",1.1513194,1.0265656,0.7566809,0.72381586,0.18583615,0.2373848,0.51640457,0.47479868,0.7129637,0.6872418,0.0257219
75,-0.9331148,-0.667588,"('meek', 'impulsive')",-1.1288267,-0.9489755,0.055811375,0.34358904,0.2680943,0.43988746,-0.56370014,-0.39844593,-0.4603472,-0.2463066,-0.2140406
20,-0.92394245,-0.88637555,"('rough', 'thoughtful')",-1.6660668,-1.5029163,-1.3045017,-1.201774,-1.6250271,-1.5547038,0.9999334,0.91860855,-0.9039209,-0.8454322,-0.0584887
10,-0.90776175,-0.9291585,"('unsympathetic', 'sympathetic')",-1.4330355,-1.1035191,-3.0214725,-2.8184395,-2.3264422,-2.4058762,-0.4173697,-0.32992318,-1.6212162,-1.5173833,-0.1038329
19,-0.88431346,-0.7358971,"('inhospitable', 'hospitable')",0.068964764,0.059909694,0.13091004,0.28213117,0.4031213,0.46088904,0.029261783,0.083312854,-0.0504111,0.0300691,-0.0804802
69,-0.8826133,-0.6789766,"('lazy', 'industrious')",0.9378909,0.670019,2.6741574,2.5896385,1.9575753,2.1045787,-0.45911896,-0.425385,0.8455783,0.851975,-0.0063967
86,-0.8589581,-0.85875255,"('uninfluential', 'influential')",-0.22073177,-0.12308126,-1.525141,-1.4017392,-2.1658926,-2.208429,-0.07392819,-0.07528201,-0.9689303,-0.9334568,-0.0354735
23,0.8322196,0.6732029,"('insincere', 'sincere')",-0.3041436,-0.2133983,-1.7196356,-1.6441637,-0.7783064,-0.96189797,5.58779,5.628023,0.7235848,0.6963532,0.0272316
29,0.83203906,0.88097733,"('unfair', 'fair')",0.9787454,1.0604221,-0.45657152,-0.175444,-0.026847895,-0.08330051,-0.56652087,-0.6018357,0.1521689,0.2161638,-0.0639949
36,-0.8317483,-0.7955847,"('hostile', 'amicable')",-0.005133871,-0.19556004,0.7429191,0.60203445,0.7892875,0.76791,-0.20272864,-0.24069606,0.0985192,0.0276207,0.0708985
47,0.81633925,0.8577167,"('stupid', 'smart')",0.5550928,0.6933797,0.30818072,0.578404,-0.22581346,-0.12918353,5.064129,5.299096,1.3035856,1.4598825,-0.1562969
39,0.7960945,0.71065015,"('exploitative', 'cooperative')",0.58490026,0.6412964,0.2676744,0.32552385,-0.45185378,-0.34952146,0.32362127,0.29069334,0.3040874,0.3237285,-0.0196411
27,-0.7747033,-0.82176477,"('hardhearted', 'softhearted')",-0.19314815,-0.23354769,-0.46108094,-0.5439688,-0.19188279,-0.15964518,1.548069,1.3337674,-0.0145493,-0.0850318,0.0704825
18,-0.76687855,-0.85162926,"('disagreeable', 'welcoming')",0.7046991,0.60299206,0.55292386,0.42794552,-0.45731345,-0.7164001,-0.24441773,-0.21994814,-0.0421974,-0.151408,0.1092106
85,-0.7605122,-0.60647863,"('insignificant', 'prestigious')",1.1749506,0.9333395,1.3954374,1.0604295,1.4094356,1.3846235,0.57221484,0.45155647,0.7583052,0.644694,0.1136112
58,-0.75649774,-0.6420792,"('undiscriminating', 'discriminating')",-0.6204232,-0.5178126,-0.46405563,-0.40489203,-1.0809705,-1.0554318,-0.18016635,-0.18555304,-0.6204226,-0.5611537,-0.0592689
60,0.71969295,0.5640903,"('inefficient', 'efficient')",0.52658355,0.6621006,-1.1731303,-1.0469803,-0.9836086,-1.057195,0.30209816,0.36147898,-0.1216728,-0.1033011,-0.0183717
28,-0.71361077,-0.7165508,"('disloyal', 'loyal')",-0.59303313,-0.47533605,-1.0510765,-1.0255015,-1.7625375,-1.8392185,0.70866853,0.65387326,-0.6823179,-0.6805467,-0.0017712
2,0.706386,0.56873775,"('unlikable', 'likable')",0.7432789,0.76117784,0.8311832,0.80841255,0.7309467,0.68739057,0.67240757,0.7522149,0.7368405,0.7155867,0.0212538
32,0.7035265,0.55456036,"('unkind', 'kind')",0.7855839,0.6975786,0.5989978,0.5733394,-1.222546,-1.3023347,1.0637586,1.0925899,0.3858642,0.3231467,0.0627175
49,-0.7034215,-0.5691748,"('unable', 'able')",0.04748528,0.08233364,-1.2336074,-1.0535673,-0.915367,-0.8515032,-0.14490575,-0.086011,-0.5899633,-0.4955845,-0.0943788
88,-0.64129937,-0.81470144,"('low', 'eminent')",-0.88991165,-0.9845891,-0.31490743,-0.485201,-1.3618871,-1.4278429,0.21770918,0.19068108,-0.5980593,-0.7043307,0.1062714
84,0.61914295,0.6921969,"('inferior', 'superior')",0.7419024,0.6625171,0.14905453,0.022072509,0.050628737,-0.07775321,0.8244012,0.77448136,0.477026,0.4147029,0.0623231
5,-0.61482996,-0.374189,"('distant', 'outgoing')",1.3085462,1.1013006,0.92600036,1.0806615,0.33959022,0.4789126,0.13940609,0.32062808,0.4197426,0.5214628,-0.1017202
