,stryker_male,stryker_female,tuple,corp_male,corp_female,average_male,average_female,male-female
44,-3.0065007,-2.5242078,"('prejudiced', 'unprejudiced')",-2.2905211,-1.9739399,-2.6485109,-2.249074,-0.3994369
48,2.2978475,1.4988413,"('unintelligent', 'intelligent')",0.9255257,0.6004959,1.6116866,1.0496686,0.562018
66,-2.1925225,-1.8186231,"('inactive', 'active')",-0.26971152,-0.25384468,-1.231117,-1.0362339,-0.1948831
69,-2.089412,-1.5302111,"('lazy', 'industrious')",-0.9770167,-1.0807328,-1.5332143,-1.3054719,-0.2277424
6,-1.854509,-1.4990995,"('distant', 'open')",-0.7075521,-0.7314929,-1.2810305,-1.1152961,-0.1657344
60,1.8313828,1.6898423,"('inefficient', 'efficient')",-0.10966943,0.09711109,0.8608567,0.8934767,-0.03262
28,1.8060427,1.2161008,"('disloyal', 'loyal')",1.7212837,1.2658222,1.7636632,1.2409616,0.5227016
75,-1.7909521,-1.5155472,"('meek', 'impulsive')",-1.0437897,-0.8610776,-1.4173709,-1.1883124,-0.2290585
16,-1.751552,-2.1131432,"('unpopular', 'popular')",0.44627362,0.10616417,-0.6526392,-1.0034895,0.3508503
79,-1.6635988,-1.3424181,"('wavering', 'unwavering')",-0.39403605,-0.37376416,-1.0288174,-0.8580911,-0.1707263
12,1.6619356,1.2791743,"('unsupportive', 'supportive')",-1.7090673,-1.7259188,-0.0235659,-0.2233722,0.1998063
23,1.537064,1.2176808,"('insincere', 'sincere')",6.484731,6.3173594,4.0108976,3.7675202,0.2433774
5,-1.5329254,-1.0462595,"('distant', 'outgoing')",-0.4309907,-0.30300137,-0.981958,-0.6746305,-0.3073275
31,-1.4827393,-1.381198,"('evil', 'good')",-0.6797765,-0.9898104,-1.0812579,-1.1855042,0.1042463
17,-1.4586203,-1.4408265,"('nasty', 'nice')",-0.6540438,-0.7816194,-1.0563321,-1.111223,0.0548909
9,1.4382995,1.1428881,"('unaffectionate', 'caring')",1.5089159,1.1395031,1.4736078,1.1411955,0.3324123
52,-1.3352439,-1.612319,"('irrational', 'rational')",0.32629156,-0.105028406,-0.5044762,-0.8586737,0.3541975
42,-1.2589319,-1.1601846,"('unreliable', 'reliable')",-4.111415,-3.6608284,-2.6851735,-2.4105065,-0.274667
74,1.2279102,0.91539204,"('undedicated', 'dedicated')",-0.26041022,-0.30353284,0.48375,0.3059296,0.1778204
36,-1.1851809,-1.1797316,"('hostile', 'amicable')",0.027655687,-0.27376938,-0.5787626,-0.7267505,0.1479879
78,1.1799085,0.3901366,"('nonresilient', 'resilient')",0.9009271,0.612002,1.0404178,0.5010693,0.5393485
86,1.1278079,0.7074373,"('uninfluential', 'influential')",-0.23373087,-0.27295473,0.4470385,0.2172413,0.2297972
30,1.0617176,1.1658323,"('intolerant', 'tolerant')",0.39110398,0.75090116,0.7264108,0.9583668,-0.231956
55,1.0610934,0.8341859,"('incompetent', 'clever')",0.2930983,0.30991894,0.6770959,0.5720524,0.1050435
64,-1.0481826,-0.9931662,"('shy', 'confident')",-6.8827386,-6.6520395,-3.9654605,-3.8226027,-0.1428578
21,1.0151567,0.62855726,"('immoral', 'moral')",-0.4940318,-0.3723707,0.2605625,0.1280933,0.1324692
84,1.0060359,1.1870393,"('inferior', 'superior')",0.9610123,1.044679,0.9835241,1.1158592,-0.1323351
4,-0.9986743,-0.9840906,"('disliked', 'liked')",-6.9062433,-6.82714,-3.9524589,-3.9056153,-0.0468436
14,0.9833417,0.9362201,"('antisocial', 'social')",-0.2770232,-0.032098304,0.3531592,0.4520609,-0.0989017
19,-0.97693235,-0.5643948,"('inhospitable', 'hospitable')",-0.3774065,-0.24223325,-0.6771694,-0.403314,-0.2738554
81,0.9487038,0.8739146,"('submissive', 'aggressive')",-0.85375655,-0.65894,0.0474736,0.1074873,-0.0600137
26,0.9202213,0.8395311,"('hardhearted', 'benevolent')",1.3749205,1.3328197,1.1475708,1.0861754,0.0613954
24,0.9037155,1.3112795,"('dishonest', 'honest')",0.5720505,0.73921055,0.737883,1.0252451,-0.2873621
62,0.88461435,0.7982885,"('incompetent', 'brilliant')",0.37585574,0.47363058,0.6302351,0.6359596,-0.0057245
71,0.8392262,0.79550016,"('diffident', 'self-confident')",0.38312054,0.23948509,0.6111734,0.5174927,0.0936807
63,0.8326505,0.48296654,"('unperceptive', 'insightful')",0.7496168,0.8227264,0.7911336,0.6528465,0.1382871
53,0.8128817,0.49474233,"('uncreative', 'creative')",0.2948034,0.17255428,0.5538425,0.3336483,0.2201942
1,0.8009593,0.4006267,"('unfriendly', 'friendly')",1.6302873,1.232948,1.2156233,0.8167873,0.398836
82,0.7811496,0.60395473,"('poor', 'rich')",6.5704293,6.6151047,3.6757894,3.6095297,0.0662597
83,-0.77617013,-0.6907873,"('powerless', 'powerful')",-1.1401925,-1.1510327,-0.9581813,-0.92091,-0.0372713
0,0.77344257,0.5029899,"('unsociable', 'sociable')",-0.13026454,-0.24145222,0.321589,0.1307688,0.1908202
51,0.7720678,0.37041557,"('uneducated', 'educated')",0.6728624,0.6825521,0.7224651,0.5264838,0.1959813
11,0.76877594,0.67473906,"('unhelpful', 'helpful')",2.0375113,2.138784,1.4031436,1.4067615,-0.0036179
32,0.7447701,0.4727695,"('unkind', 'kind')",0.58176106,0.5263413,0.6632656,0.4995554,0.1637102
56,0.73918474,1.005306,"('impractical', 'practical')",-0.97272307,-0.49621892,-0.1167692,0.2545435,-0.3713127
7,0.7134538,0.37436524,"('insensitive', 'sensitive')",0.72952676,0.56327426,0.7214903,0.4688197,0.2526706
57,-0.6707415,-0.9518903,"('unimaginative', 'imaginative')",-3.563108,-3.523413,-2.1169248,-2.2376516,0.1207268
8,0.6640208,0.5893289,"('unaffectionate', 'affectionate')",0.7802418,0.51239914,0.7221313,0.550864,0.1712673
61,0.6329628,0.732488,"('illogical', 'logical')",0.31443596,0.37338597,0.4736994,0.552937,-0.0792376
22,0.6317211,0.5778643,"('untrustworthy', 'trustworthy')",-0.8574801,-0.68369365,-0.1128795,-0.0529147,-0.0599648
76,0.62467235,0.4930032,"('anxious', 'daring')",-0.53445673,-0.3984356,0.0451078,0.0472838,-0.002176
33,-0.59774494,-0.1555263,"('wrong', 'right')",-0.6277408,-0.727395,-0.6127429,-0.4414606,-0.1712823
41,0.58302635,0.29155403,"('unforgiving', 'forgiving')",-0.15322846,-0.2479184,0.2148989,0.0218178,0.1930811
45,-0.52875215,-0.4730273,"('incompetent', 'competent')",-0.17902578,-0.020613566,-0.353889,-0.2468204,-0.1070686
73,-0.5248382,-0.32280797,"('helpless', 'self-reliant')",-3.1922987,-3.0803268,-1.8585684,-1.7015674,-0.157001
10,0.52293414,0.2897974,"('unsympathetic', 'sympathetic')",-0.73421955,-0.47322765,-0.1056427,-0.0917151,-0.0139276
59,-0.49624684,-0.3068494,"('foolish', 'wise')",0.30227613,-0.014674583,-0.0969854,-0.160762,0.0637766
29,-0.49511424,-0.56431377,"('unfair', 'fair')",-0.44589496,-0.40572345,-0.4705046,-0.4850186,0.014514
50,-0.45655015,-0.69520074,"('clumsy', 'skillful')",0.31867394,0.038035333,-0.0689381,-0.3285827,0.2596446
46,0.4487396,-0.09538828,"('uncompetitive', 'competitive')",-0.64753175,-0.635964,-0.0993961,-0.3656761,0.26628
35,-0.44840473,-0.080329195,"('corrupt', 'incorrupt')",-0.43683803,-0.46215832,-0.4426214,-0.2712438,-0.1713776
49,0.43007872,0.25906384,"('unable', 'able')",0.091547415,-0.13316712,0.2608131,0.0629484,0.1978647
88,0.42548913,0.35642388,"('low', 'eminent')",-0.3050963,-0.42250305,0.0601964,-0.0330396,0.093236
