,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.293741,-3.0413842,"('unfriendly', 'friendly')",1.9453065,1.7528352,-0.1742172,-0.6442745,0.4700573
86,-1.9805167,-2.515012,"('uninfluential', 'influential')",-0.05587533,-0.1319117,-1.018196,-1.3234619,0.3052659
9,-1.7868978,-2.4704804,"('unaffectionate', 'caring')",1.2653834,1.2913817,-0.2607572,-0.5895494,0.3287922
53,-1.7751265,-1.9322455,"('uncreative', 'creative')",0.7737948,0.9671628,-0.5006658,-0.4825414,-0.0181244
57,-1.6036152,-1.708884,"('unimaginative', 'imaginative')",-2.0834436,-2.3089166,-1.8435295,-2.0089002,0.1653707
69,1.5459205,1.2594428,"('lazy', 'industrious')",-0.021079425,-0.30913258,0.7624205,0.4751551,0.2872654
0,-1.485788,-1.9681331,"('unsociable', 'sociable')",-0.44292644,-0.5035571,-0.9643572,-1.2358451,0.2714879
8,-1.4543157,-2.2104015,"('unaffectionate', 'affectionate')",1.0292834,0.90712726,-0.2125161,-0.6516371,0.439121
19,-1.4460222,-1.644671,"('inhospitable', 'hospitable')",0.12135964,-0.016069468,-0.6623313,-0.8303702,0.1680389
5,-1.2688719,-1.3953177,"('distant', 'outgoing')",-0.035056144,0.15401058,-0.651964,-0.6206536,-0.0313104
12,-1.2543144,-1.5042994,"('unsupportive', 'supportive')",-1.606546,-1.535789,-1.4304302,-1.5200442,0.089614
46,-1.1570199,-0.9635208,"('uncompetitive', 'competitive')",-0.9510563,-0.99661154,-1.054038,-0.9800662,-0.0739718
71,-1.1411924,-1.2859616,"('diffident', 'self-confident')",0.43555418,0.4497597,-0.3528191,-0.418101,0.0652819
6,-1.1297122,-1.3542535,"('distant', 'open')",0.5417721,0.5182583,-0.29397,-0.4179976,0.1240276
11,-1.0998229,-1.05095,"('unhelpful', 'helpful')",1.6261618,1.9481094,0.2631695,0.4485797,-0.1854102
23,-1.0994533,-1.1430179,"('insincere', 'sincere')",5.282033,5.9641113,2.0912898,2.4105468,-0.319257
43,-1.0856154,-1.0440538,"('irresponsible', 'responsible')",0.5600619,0.7982092,-0.2627768,-0.1229223,-0.1398545
28,-1.0636697,-1.5817966,"('disloyal', 'loyal')",0.78553104,0.8565755,-0.1390693,-0.3626106,0.2235413
77,-1.0511421,-1.0702357,"('unmotivated', 'motivated')",-1.0739892,-0.9630642,-1.0625656,-1.01665,-0.0459156
3,-0.9570617,-0.96535045,"('repellent', 'pleasant')",-0.012475643,-0.023807872,-0.4847687,-0.4945792,0.0098105
73,0.9472144,0.9855025,"('helpless', 'self-reliant')",-2.5569384,-2.6577957,-0.804862,-0.8361466,0.0312846
2,0.9465799,0.6604932,"('unlikable', 'likable')",0.49429688,0.3530745,0.7204384,0.5067838,0.2136546
35,0.91006577,0.8634678,"('corrupt', 'incorrupt')",0.08420893,-0.27427542,0.4971373,0.2945962,0.2025411
31,-0.9080989,-1.3437659,"('evil', 'good')",-0.76370513,-1.2737321,-0.835902,-1.308749,0.472847
38,-0.9006975,-0.9265313,"('untruthful', 'truthful')",-0.045943923,0.22929405,-0.4733207,-0.3486186,-0.1247021
50,0.8519276,0.8177607,"('clumsy', 'skillful')",0.49100664,0.25980023,0.6714671,0.5387805,0.1326866
32,-0.8080829,-0.9853016,"('unkind', 'kind')",0.549926,0.68134224,-0.1290784,-0.1519797,0.0229013
10,-0.79403174,-0.8788716,"('unsympathetic', 'sympathetic')",-0.13874464,-0.208866,-0.4663882,-0.5438688,0.0774806
55,-0.78015107,-0.9444798,"('incompetent', 'clever')",0.023354745,-0.08500147,-0.3783982,-0.5147406,0.1363424
63,-0.74288934,-0.49499956,"('unperceptive', 'insightful')",0.8358906,1.1894137,0.0465006,0.3472071,-0.3007065
45,-0.7388073,-0.73064864,"('incompetent', 'competent')",0.012403801,-0.12021802,-0.3632018,-0.4254333,0.0622315
18,-0.7381358,-1.073858,"('disagreeable', 'welcoming')",-0.2573982,-0.41885203,-0.497767,-0.7463551,0.2485881
36,-0.6969023,-1.1027339,"('hostile', 'amicable')",0.048991002,-0.27622336,-0.3239556,-0.6894786,0.365523
44,0.6951394,1.0747808,"('prejudiced', 'unprejudiced')",-1.456672,-1.5320637,-0.3807663,-0.2286415,-0.1521248
