,reynolds_male,reynolds_female,tuple,american_male,american_female,inc_male,inc_female,average_male,average_female,male-female
29,-2.0005927,-1.9116412,"('unfair', 'fair')",-1.8496379,-1.7960094,-0.81197715,-0.9356934,-1.5540692,-1.5477813,-0.0062879
68,-1.8345042,-1.5664493,"('dependent', 'independent')",-0.21229228,0.02099912,-0.5968749,-0.43359184,-0.8812238,-0.6596807,-0.2215431
73,1.8307427,1.8565027,"('helpless', 'self-reliant')",0.947566,1.0453486,-2.7571044,-2.385281,0.0070681,0.17219,-0.1651219
22,-1.6606591,-1.3622258,"('untrustworthy', 'trustworthy')",-0.72034985,-0.6164831,-1.3774307,-1.3247343,-1.2528132,-1.1011477,-0.1516655
1,1.6430391,1.5741458,"('unfriendly', 'friendly')",-0.6166869,-0.57284397,1.9272695,1.9346415,0.9845405,0.9786477,0.0058928
82,-1.6287507,-1.3792427,"('poor', 'rich')",-0.46550885,-0.3696252,5.7710447,5.7731915,1.2255951,1.3414412,-0.1158461
45,-1.5675098,-1.024529,"('incompetent', 'competent')",-0.5259869,-0.44981995,-0.27247566,-0.26449367,-0.7886575,-0.5796142,-0.2090433
71,1.545223,1.498386,"('diffident', 'self-confident')",0.8382921,0.90661013,0.45219296,0.4777542,0.945236,0.9609168,-0.0156808
14,-1.5234294,-1.178924,"('antisocial', 'social')",-0.27288583,-0.22134337,-0.99016064,-1.0825278,-0.9288253,-0.8275984,-0.1012269
74,1.4794545,1.7846775,"('undedicated', 'dedicated')",0.39881796,0.56834143,0.20249033,0.49169362,0.6935876,0.9482376,-0.25465
63,-1.4618481,-0.95876306,"('unperceptive', 'insightful')",-0.27601796,-0.09642178,0.9870737,1.253505,-0.2502641,0.0661067,-0.3163708
55,-1.4515573,-1.0231074,"('incompetent', 'clever')",-0.7631635,-0.77001697,-0.12002443,-0.11082626,-0.7782484,-0.6346502,-0.1435982
33,1.4297959,1.2457724,"('wrong', 'right')",0.8658125,0.80048096,-0.4244135,-0.4947647,0.6237316,0.5171628,0.1065688
42,-1.4281147,-1.2866132,"('unreliable', 'reliable')",-0.618758,-0.539112,-3.4171333,-3.041909,-1.8213353,-1.6225448,-0.1987905
26,1.3742398,1.2362864,"('hardhearted', 'benevolent')",0.71857375,0.53946215,1.6028914,1.3315318,1.2319016,1.0357601,0.1961415
85,1.3583341,1.0044885,"('insignificant', 'prestigious')",-0.34234416,-0.43344408,0.6026777,0.46974215,0.5395559,0.3469288,0.1926271
9,1.3429767,1.486808,"('unaffectionate', 'caring')",-0.50961274,-0.404356,0.8698128,0.8421689,0.5677256,0.6415403,-0.0738147
18,-1.3302822,-1.20731,"('disagreeable', 'welcoming')",0.013190754,0.09661213,-0.5758599,-0.5400632,-0.6309838,-0.5502537,-0.0807301
51,-1.2865622,-0.9077143,"('uneducated', 'educated')",0.4989735,0.6124211,0.44208238,0.6381725,-0.1151688,0.1142931,-0.2294619
65,-1.2519972,-0.80022967,"('insecure', 'secure')",-0.19986644,-0.17414925,-0.722334,-0.6056316,-0.7247326,-0.5266702,-0.1980624
81,-1.2240318,-0.7927408,"('submissive', 'aggressive')",0.39856794,0.5272726,-0.79305184,-0.51418906,-0.5395052,-0.2598858,-0.2796194
80,-1.1321589,-1.0636411,"('dominated', 'dominating')",-0.13694492,-0.10641465,-0.92752945,-0.91228104,-0.7322111,-0.6941123,-0.0380988
76,-1.1260363,-0.92450684,"('anxious', 'daring')",-0.4680532,-0.31678146,-0.1288796,0.1574851,-0.574323,-0.3612677,-0.2130553
86,-1.1097304,-0.7221503,"('uninfluential', 'influential')",-0.34003738,-0.27943286,-0.22654952,-0.13427822,-0.5587724,-0.3786205,-0.1801519
44,-1.0032824,-1.3704066,"('prejudiced', 'unprejudiced')",-0.25981545,-0.4101916,-1.5391496,-1.5886499,-0.9340825,-1.1230826,0.1890001
47,-0.9726001,-0.7563769,"('stupid', 'smart')",-0.9099814,-0.8819287,4.9213033,4.6811213,1.0129073,1.0142719,-0.0013646
69,0.93956393,0.5838057,"('lazy', 'industrious')",1.6315143,1.4282734,-0.19952308,-0.35937205,0.7905184,0.5509024,0.239616
53,0.8974893,0.8464573,"('uncreative', 'creative')",-1.004488,-0.99605894,0.6290385,0.8012767,0.1740133,0.217225,-0.0432117
84,0.8773116,0.83380574,"('inferior', 'superior')",0.7152208,0.80058974,0.764617,0.79864305,0.7857165,0.8110128,-0.0252963
58,0.8607842,0.87134385,"('undiscriminating', 'discriminating')",0.5399075,0.48560178,0.34444714,0.44365638,0.581713,0.6002007,-0.0184877
21,-0.8547468,-0.41189668,"('immoral', 'moral')",-0.41824788,-0.28376245,-1.2853901,-1.2106613,-0.852795,-0.6354402,-0.2173548
12,0.84454775,1.1180252,"('unsupportive', 'supportive')",-0.030656893,0.04468943,-1.488489,-1.2109916,-0.2248661,-0.0160923,-0.2087738
70,-0.83326447,-0.20641047,"('lethargic', 'energetic')",-0.18217705,0.018710766,0.24158558,0.5800279,-0.257952,0.1307761,-0.3887281
60,-0.80920005,-0.060515925,"('inefficient', 'efficient')",-0.33641773,-0.07072548,-0.4163324,-0.09240788,-0.52065,-0.0745498,-0.4461002
2,0.7881666,0.89070034,"('unlikable', 'likable')",0.260386,0.4031951,0.51044303,0.6585752,0.5196652,0.6508236,-0.1311584
17,0.7640917,0.76437396,"('nasty', 'nice')",-0.59191436,-0.52086365,-0.61444634,-0.6908737,-0.147423,-0.1491211,0.0016981
11,-0.7432493,-0.46425983,"('unhelpful', 'helpful')",-0.34271103,-0.15785141,1.8469263,2.0923002,0.2536553,0.490063,-0.2364077
62,-0.6720296,-0.21593799,"('incompetent', 'brilliant')",-0.70160514,-0.40947914,0.14240083,0.5415303,-0.4104113,-0.0279623,-0.382449
49,-0.67060494,-0.60581607,"('unable', 'able')",-0.6982339,-0.7346145,-0.30784443,-0.3460173,-0.5588944,-0.5621493,0.0032549
35,-0.6086187,-0.9932789,"('corrupt', 'incorrupt')",0.22684692,0.10577307,-0.37004906,-0.49729833,-0.2506069,-0.4616014,0.2109945
24,-0.58006805,-0.17680475,"('dishonest', 'honest')",-0.6176313,-0.26578423,0.19285811,0.42949322,-0.3349471,-0.0043653,-0.3305818
36,0.57416344,0.33317208,"('hostile', 'amicable')",0.2689711,0.076564714,0.0892505,-0.20095922,0.310795,0.0695925,0.2412025
50,-0.56182086,-0.78365624,"('clumsy', 'skillful')",0.9451098,0.6611293,0.89649755,0.7524272,0.4265955,0.2099668,0.2166287
16,-0.5533747,-0.6450809,"('unpopular', 'popular')",-0.72327614,-0.8555162,0.5503572,0.45228875,-0.2420979,-0.3494361,0.1073382
46,-0.54933566,-0.10896076,"('uncompetitive', 'competitive')",-0.06498977,-0.036250904,-0.32683116,-0.004561223,-0.3137189,-0.0499243,-0.2637946
61,-0.5160502,-0.20147857,"('illogical', 'logical')",-0.546563,-0.3547911,-0.009184292,0.02472043,-0.3572658,-0.1771831,-0.1800827
66,-0.5056945,-0.5684439,"('inactive', 'active')",0.94652456,0.9402485,1.0061378,0.93737185,0.4823226,0.4363921,0.0459305
37,0.487684,0.58790904,"('fake', 'genuine')",-0.71656626,-0.6655873,0.22159992,0.3467343,-0.0024274,0.0896853,-0.0921127
41,-0.47041976,-0.2655476,"('unforgiving', 'forgiving')",-0.5855459,-0.52371705,-0.2935173,-0.4824476,-0.4498277,-0.4239041,-0.0259236
25,0.43735072,0.3778283,"('egoistic', 'altruistic')",0.15494397,0.10576878,1.3554171,1.3904153,0.6492373,0.6246708,0.0245665
56,-0.42466336,0.17345217,"('impractical', 'practical')",-0.21903943,0.11430916,-0.81741023,-0.31170145,-0.4870377,-0.00798,-0.4790577
43,-0.4199603,-0.012453377,"('irresponsible', 'responsible')",-0.89571685,-0.69705427,0.13520145,0.26953048,-0.3934919,-0.1466591,-0.2468328
40,0.40814263,0.4434543,"('stingy', 'generous')",0.2123504,0.19614728,-1.2153684,-1.0457467,-0.1982918,-0.1353817,-0.0629101
