,kraft_male,kraft_female,tuple,heinz_male,heinz_female,co_male,co_female,average_male,average_female,male-female
71,1.8911016,1.8610681,"('diffident', 'self-confident')",1.9723091,2.185508,0.2637759,0.3320827,1.3757289,1.4595529,-0.083824
17,-1.6503794,-1.3706167,"('nasty', 'nice')",-0.102610916,0.10344311,-0.6256849,-0.39392778,-0.7928917,-0.5537004,-0.2391913
3,-1.5245428,-1.436233,"('repellent', 'pleasant')",-1.8225862,-2.0455172,0.5046116,0.49855816,-0.9475058,-0.9943973,0.0468915
53,1.3356876,1.2962464,"('uncreative', 'creative')",0.8958281,0.7836714,0.40540457,0.33846694,0.8789735,0.8061283,0.0728452
39,1.2861061,1.3034021,"('exploitative', 'cooperative')",1.266154,1.2932453,0.2149499,0.62585527,0.9224033,1.0741675,-0.1517642
75,-1.2594234,-1.0296637,"('meek', 'impulsive')",0.42924327,0.63775384,-0.6064109,-0.678429,-0.4788637,-0.3567796,-0.1220841
9,1.2393835,1.273952,"('unaffectionate', 'caring')",2.0144014,2.0837822,0.6774752,0.7149328,1.31042,1.3575557,-0.0471357
1,1.2314216,1.1588988,"('unfriendly', 'friendly')",1.9253788,1.9702516,1.2137651,0.98619664,1.4568551,1.3717823,0.0850728
33,1.2265705,1.3800284,"('wrong', 'right')",1.5235367,1.7082667,-0.86406255,-0.84425974,0.6286816,0.7480117,-0.1193301
68,-1.2196919,-1.2976698,"('dependent', 'independent')",-1.7080325,-1.9146745,-1.396484,-1.3421309,-1.4414028,-1.5181583,0.0767555
45,-1.2097213,-1.0511965,"('incompetent', 'competent')",-0.6570656,-0.9063461,-0.27564603,-0.20635915,-0.7141443,-0.7213006,0.0071563
67,1.1924766,1.01505,"('doubtful', 'determined')",0.69809294,0.6527671,0.22056599,0.13058028,0.7037118,0.5994658,0.104246
25,1.1847059,1.2588962,"('egoistic', 'altruistic')",1.7347697,1.8758417,1.0539126,0.91520643,1.3244627,1.3499815,-0.0255188
57,-1.1603574,-1.0384802,"('unimaginative', 'imaginative')",-0.9845046,-1.1749741,-3.4694088,-3.465624,-1.8714236,-1.893026,0.0216024
84,0.91535336,1.0433556,"('inferior', 'superior')",1.1611774,1.3213704,0.675718,0.70357084,0.9174163,1.0227656,-0.1053493
56,0.91133636,0.7836282,"('impractical', 'practical')",0.8579029,0.6641656,0.12965402,0.38018018,0.6329644,0.6093247,0.0236397
10,-0.9066799,-0.66607976,"('unsympathetic', 'sympathetic')",-0.6583472,-1.0433712,0.3046056,0.28724188,-0.4201405,-0.4740697,0.0539292
44,-0.8946857,-0.7003934,"('prejudiced', 'unprejudiced')",-1.4792234,-1.3159153,-1.8271452,-1.5465165,-1.4003514,-1.1876084,-0.212743
55,-0.87974095,-1.0211093,"('incompetent', 'clever')",-0.73960316,-1.40766,0.66488624,0.7935677,-0.3181526,-0.5450672,0.2269146
29,-0.828365,-0.50142056,"('unfair', 'fair')",-1.1127577,-0.7518879,-1.0622059,-0.8767469,-1.0011096,-0.7100185,-0.2910911
28,-0.8112496,-0.79189944,"('disloyal', 'loyal')",0.5028651,0.5620819,0.8610314,0.7153057,0.1842156,0.1618294,0.0223862
76,-0.7974093,-0.71234137,"('anxious', 'daring')",-0.32181466,-0.61944455,0.29352504,0.34976017,-0.275233,-0.3273419,0.0521089
58,-0.7516224,-0.8470921,"('undiscriminating', 'discriminating')",-0.831757,-0.89260554,0.0076361187,-0.13574564,-0.5252478,-0.6251478,0.0999
34,-0.7475616,-0.95189446,"('mean', 'honorable')",-0.19445981,-0.26014405,5.3384814,5.2679124,1.4654867,1.351958,0.1135287
65,-0.7412146,-0.8082582,"('insecure', 'secure')",-1.140015,-1.6794442,0.4629879,0.7380318,-0.4727472,-0.5832235,0.1104763
69,0.7398133,0.9363779,"('lazy', 'industrious')",1.2228504,1.662343,-1.178069,-1.0646282,0.2615316,0.5113643,-0.2498327
74,0.7249473,0.6052652,"('undedicated', 'dedicated')",1.0243349,0.7779954,0.03378305,-0.02264066,0.5943551,0.45354,0.1408151
30,-0.6977031,-0.90723187,"('intolerant', 'tolerant')",-0.29966256,-0.6658048,0.47203147,0.65259343,-0.1751114,-0.3068144,0.131703
49,-0.6906768,-0.57602036,"('unable', 'able')",-0.15451348,0.08544541,-0.83613944,-0.5127024,-0.5604432,-0.3344258,-0.2260174
26,0.67031187,0.3951787,"('hardhearted', 'benevolent')",1.5740911,1.3043553,1.1532112,0.85001373,1.132538,0.8498492,0.2826888
32,0.66888416,0.5786477,"('unkind', 'kind')",0.5627988,0.30043313,1.5247141,1.6125963,0.9187991,0.830559,0.0882401
81,-0.6658577,-0.89609724,"('submissive', 'aggressive')",-0.7239255,-1.3791193,-0.12830347,-0.12522319,-0.5060289,-0.8001466,0.2941177
59,0.63175434,0.8904876,"('foolish', 'wise')",1.0549048,1.5135001,-0.52251685,-0.3873465,0.3880474,0.6722137,-0.2841663
27,-0.6194025,-0.3433067,"('hardhearted', 'softhearted')",0.049850687,0.06623339,0.5024627,0.54838246,-0.022363,0.0904364,-0.1127994
31,-0.61759317,-0.45981646,"('evil', 'good')",0.3629562,0.88792086,-1.6869018,-1.7038513,-0.6471796,-0.425249,-0.2219306
72,0.6060168,0.7034478,"('unambitious', 'ambitious')",-0.49519357,-0.5855839,-0.7759921,-0.76532483,-0.221723,-0.2158203,-0.0059027
87,0.6044707,0.42314878,"('unsuccessful', 'successful')",-0.0755415,-0.12788376,0.32178593,0.3247224,0.2835717,0.2066625,0.0769092
20,-0.5891931,-0.55271554,"('rough', 'thoughtful')",-0.37027022,-0.64944845,0.5345876,0.54979056,-0.1416252,-0.2174578,0.0758326
8,0.5698465,0.53467065,"('unaffectionate', 'affectionate')",1.7058963,1.835817,0.14372848,-0.052619807,0.8064904,0.7726227,0.0338677
60,0.5504355,0.40962115,"('inefficient', 'efficient')",-0.35949987,-0.90539855,0.8750053,1.1740127,0.3553136,0.2260784,0.1292352
86,0.5303885,0.25021803,"('uninfluential', 'influential')",0.487261,0.06568615,-0.10536526,-0.27447248,0.3040947,0.0138106,0.2902841
85,0.52844685,0.72866356,"('insignificant', 'prestigious')",1.9809294,2.508737,-0.9956023,-1.3541199,0.5045913,0.6277602,-0.1231689
66,-0.5036977,-0.40176773,"('inactive', 'active')",0.20732717,0.36978522,0.33134645,0.2009502,0.0116586,0.0563226,-0.044664
64,-0.49880654,-0.47337413,"('shy', 'confident')",-0.5897113,-0.8214216,-5.9847555,-5.530447,-2.3577579,-2.275081,-0.0826769
15,0.4941688,0.4316171,"('boring', 'funny')",1.6333437,1.7255417,0.27003196,0.5137156,0.7991815,0.8902915,-0.09111
