,united_male,united_female,tuple,parcel_male,parcel_female,service_male,service_female,inc_male,inc_female,average_male,average_female,male-female
42,1.5723718,1.8776135,"('unreliable', 'reliable')",0.5950126,0.47758645,0.80447483,1.0642694,-2.9245186,-3.1716413,0.0118352,0.061957,-0.0501218
12,1.5271788,1.6003219,"('unsupportive', 'supportive')",0.8457765,0.68400234,0.14601794,0.36997154,-1.3645706,-1.7419921,0.2886007,0.2280759,0.0605248
36,-1.3988373,-2.8355775,"('hostile', 'amicable')",1.672798,1.2832155,-0.40774858,-1.5397462,0.34944233,-0.04494367,0.0539136,-0.784263,0.8381766
8,-1.2858729,-2.5088222,"('unaffectionate', 'affectionate')",1.2417973,0.9876444,-0.72701263,-1.2480296,0.9004425,0.8544924,0.0323386,-0.4786788,0.5110174
56,1.185436,2.2352781,"('impractical', 'practical')",0.43684787,0.64035064,0.4148769,1.2424666,-0.61536765,-0.3537451,0.3554483,0.9410876,-0.5856393
67,1.0829343,1.3049871,"('doubtful', 'determined')",-0.024732206,-0.012693178,0.41059226,0.5246604,-0.8219213,-0.79140884,0.1617183,0.2563864,-0.0946681
49,-1.0445926,-0.70617515,"('unable', 'able')",-1.83622,-1.489036,-0.85716623,-0.49344608,-0.08365744,0.35138315,-0.9554091,-0.5843185,-0.3710906
82,-1.0231159,-0.63641465,"('poor', 'rich')",-0.85472935,-0.73614055,-0.36683828,0.09807281,6.0845437,6.850629,0.9599651,1.3940365,-0.4340714
40,1.020545,0.5926995,"('stingy', 'generous')",2.1867077,2.119945,0.22779696,0.35310778,-1.0032973,-1.4933358,0.6079381,0.3931041,0.214834
39,1.0134447,1.3913293,"('exploitative', 'cooperative')",0.70461154,0.9399346,-0.051728815,0.26571128,0.11802815,0.20648722,0.4460889,0.7008656,-0.2547767
74,1.0032576,1.4695739,"('undedicated', 'dedicated')",-0.7170073,-0.4865582,-0.706941,-0.2287566,0.22209868,-0.005976256,-0.049648,0.1870707,-0.2367187
32,0.9894135,1.3051986,"('unkind', 'kind')",0.5480134,0.4349805,-0.098989554,0.28907585,1.5395532,1.4033371,0.7444977,0.858148,-0.1136503
80,0.97237235,1.858438,"('dominated', 'dominating')",-1.2356646,-0.8809651,1.4232638,2.0365193,-0.9995495,-0.9551668,0.0401055,0.5147064,-0.4746009
75,-0.93819237,-2.1317377,"('meek', 'impulsive')",-0.21164119,-0.3191083,-0.2208383,-0.61399406,-0.5292538,-0.4863817,-0.4749814,-0.8878055,0.4128241
33,0.90055686,0.4777722,"('wrong', 'right')",2.2908323,2.0185184,1.1957798,0.71992517,-0.3261577,-0.62553775,1.0152528,0.6476696,0.3675832
31,-0.87800723,-2.4728389,"('evil', 'good')",1.3964155,1.0780891,-0.90761995,-1.7889292,-0.7140559,-1.1313608,-0.2758169,-1.0787599,0.802943
73,0.8689103,0.3486218,"('helpless', 'self-reliant')",0.8457008,0.8284773,0.015065104,-0.091902845,-3.3134172,-3.2551303,-0.3959353,-0.5424835,0.1465482
51,0.86303645,1.1812764,"('uneducated', 'educated')",-0.62400866,-0.5891438,0.42951167,0.7887803,1.1549615,1.0411838,0.4558752,0.6055242,-0.149649
65,0.79388547,1.9615034,"('insecure', 'secure')",-1.7634306,-1.5795538,-0.71420354,-0.13554332,-0.22565715,0.054116245,-0.4773515,0.0751306,-0.5524821
48,0.7182264,1.2322319,"('unintelligent', 'intelligent')",0.016713712,0.2067824,-0.19949259,0.22306517,0.7505667,0.6593609,0.3215036,0.5803601,-0.2588565
23,0.7141956,1.7191788,"('insincere', 'sincere')",-0.09584078,-0.12873934,0.23888731,0.57191086,5.822918,6.543582,1.67004,2.1764832,-0.5064432
71,0.6877761,0.6188373,"('diffident', 'self-confident')",2.5531526,2.246918,0.3322013,0.23421371,0.6003707,0.41396207,1.0433751,0.8784828,0.1648923
46,0.66917896,2.1010976,"('uncompetitive', 'competitive')",-1.8602432,-1.6928246,0.38756573,1.166798,-0.70889896,-0.7264162,-0.3780994,0.2121637,-0.5902631
21,0.6576241,1.381895,"('immoral', 'moral')",-1.1613959,-1.0301104,0.87417054,1.5128295,-0.64860374,-0.5348682,-0.0695512,0.3324365,-0.4019877
11,0.6493125,1.4409491,"('unhelpful', 'helpful')",-1.1839926,-1.1192787,0.3038152,0.8651632,1.980865,2.1090734,0.4375,0.8239768,-0.3864768
37,-0.6468345,-0.52082705,"('fake', 'genuine')",-0.7452383,-0.697712,-0.9981311,-0.65755665,0.399328,0.50301385,-0.497719,-0.3432705,-0.1544485
70,0.621101,1.4368328,"('lethargic', 'energetic')",-1.1355119,-1.1290443,-0.24994302,0.34744054,0.5734425,0.8078935,-0.0477278,0.3657807,-0.4135085
35,-0.6149963,-1.5482264,"('corrupt', 'incorrupt')",1.325168,1.1557788,-0.2137861,-0.89297384,0.18532525,-0.13244481,0.1704277,-0.3544666,0.5248943
81,0.6033712,1.8629209,"('submissive', 'aggressive')",-2.1011302,-1.8473049,-0.21063475,0.46892196,-0.7204484,-0.5523303,-0.6072105,-0.0169481,-0.5902624
1,-0.6032714,-1.5190266,"('unfriendly', 'friendly')",1.4239018,1.1008627,-0.3210473,-0.81592375,2.2186182,1.848451,0.6795503,0.1535908,0.5259595
64,0.58570194,0.4548818,"('shy', 'confident')",-2.0243597,-2.005399,-1.1989356,-0.9780286,-6.601928,-7.183445,-2.3098803,-2.4279976,0.1181173
54,-0.58416504,-0.82020164,"('incapable', 'capable')",-0.01919158,-0.19518898,-1.0187657,-1.3049717,1.0871385,1.2873844,-0.1337459,-0.2582445,0.1244986
10,0.5661412,1.5475855,"('unsympathetic', 'sympathetic')",-1.6167079,-1.7330635,-0.41351306,0.17829463,0.043104194,-0.07040636,-0.3552439,-0.0193974,-0.3358465
45,-0.5494944,-0.67913,"('incompetent', 'competent')",-0.6359203,-0.49511483,0.6543521,1.3387774,-0.46620214,-0.4666546,-0.2493162,-0.0755305,-0.1737857
24,0.52909446,0.6317106,"('dishonest', 'honest')",0.0031813942,-0.051329754,-1.2640417,-1.1238903,0.89640605,0.8276152,0.0411601,0.0710264,-0.0298663
44,-0.510059,-0.4284623,"('prejudiced', 'unprejudiced')",-1.2466938,-1.1090095,-0.4259318,-0.3168216,-1.8099707,-1.8065209,-0.9981638,-0.9152036,-0.0829602
7,0.5089165,0.8728873,"('insensitive', 'sensitive')",0.08310549,0.03530039,0.029258482,0.37272808,1.1384426,1.2149172,0.4399308,0.6239582,-0.1840274
69,0.47841606,-0.1859423,"('lazy', 'industrious')",1.568691,1.5419307,1.0325894,0.48905152,-0.4486647,-0.78750414,0.6577579,0.2643839,0.393374
85,-0.47009277,-1.9195027,"('insignificant', 'prestigious')",2.0700057,1.5292699,-0.4895649,-1.3479705,0.52745956,-0.015726529,0.4094519,-0.4384825,0.8479344
79,0.46977583,-0.33893645,"('wavering', 'unwavering')",0.98091257,0.6958004,-0.60324204,-1.2275556,0.008609356,-0.1589196,0.2140139,-0.2574028,0.4714167
