,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,male-female
69,3.0487778,2.7913566,"('lazy', 'industrious')",-1.0260587,-1.304591,1.0113596,0.7433828,0.2679768
35,2.8817918,2.8189704,"('corrupt', 'incorrupt')",-0.49181986,-0.8294598,1.194986,0.9947553,0.2002307
10,-2.736143,-2.6879046,"('unsympathetic', 'sympathetic')",-0.113777764,0.14101814,-1.4249605,-1.2734432,-0.1515173
55,-2.3863757,-2.3100939,"('incompetent', 'clever')",0.12613699,0.5785303,-1.1301193,-0.8657818,-0.2643375
57,-2.356242,-2.3136606,"('unimaginative', 'imaginative')",-3.6323464,-3.5445154,-2.9942942,-2.9290881,-0.0652061
59,2.1923056,2.0638716,"('foolish', 'wise')",0.13098142,-0.062410988,1.1616435,1.0007303,0.1609132
86,-2.1206815,-2.0605323,"('uninfluential', 'influential')",-0.48505524,-0.28440458,-1.3028684,-1.1724684,-0.1304
0,-2.092905,-2.028668,"('unsociable', 'sociable')",-0.47454736,-0.058886215,-1.2837262,-1.0437771,-0.2399491
48,-2.0718846,-2.0438013,"('unintelligent', 'intelligent')",-0.06447157,0.059999898,-1.0681781,-0.9919007,-0.0762774
14,-1.9976523,-1.9057571,"('antisocial', 'social')",-0.6375184,-0.1682857,-1.3175853,-1.0370214,-0.2805639
76,-1.9704742,-1.88908,"('anxious', 'daring')",-0.18497413,-0.059910633,-1.0777242,-0.9744954,-0.1032288
85,1.9399823,1.8375045,"('insignificant', 'prestigious')",-0.31054342,-0.7727588,0.8147194,0.5323728,0.2823466
45,-1.9069899,-1.8250972,"('incompetent', 'competent')",-0.703038,-0.35718846,-1.3050139,-1.0911429,-0.213871
62,-1.8999839,-1.8049428,"('incompetent', 'brilliant')",-0.23987806,0.29621264,-1.069931,-0.7543651,-0.3155659
60,-1.8838685,-1.7853757,"('inefficient', 'efficient')",-0.09415752,0.5172501,-0.989013,-0.6340628,-0.3549502
22,-1.8664241,-1.7356048,"('untrustworthy', 'trustworthy')",-1.1649855,-0.7520515,-1.5157049,-1.2438281,-0.2718768
46,-1.8507656,-1.7183634,"('uncompetitive', 'competitive')",-0.8998638,-0.7051086,-1.3753147,-1.211736,-0.1635787
81,-1.7877814,-1.7578877,"('submissive', 'aggressive')",-1.1322896,-0.8471536,-1.4600356,-1.3025206,-0.157515
21,-1.702669,-1.6644548,"('immoral', 'moral')",-0.85619426,-0.6575722,-1.2794316,-1.1610135,-0.1184181
3,-1.680147,-1.6505629,"('repellent', 'pleasant')",0.5373567,0.59866035,-0.5713952,-0.5259513,-0.0454439
11,-1.6091707,-1.6162944,"('unhelpful', 'helpful')",2.1346202,2.2147834,0.2627248,0.2992445,-0.0365197
65,-1.6009973,-1.6929612,"('insecure', 'secure')",-0.10473627,0.1633911,-0.8528668,-0.7647851,-0.0880817
41,-1.5767177,-1.4918206,"('unforgiving', 'forgiving')",0.10057666,0.11206168,-0.7380705,-0.6898794,-0.0481911
73,1.5610094,1.5394744,"('helpless', 'self-reliant')",-3.4024339,-3.1876624,-0.9207122,-0.824094,-0.0966182
24,-1.558355,-1.517754,"('dishonest', 'honest')",1.0507177,1.1808105,-0.2538186,-0.1684718,-0.0853468
6,1.5528308,1.5371065,"('distant', 'open')",-0.205347,-0.38496122,0.6737419,0.5760726,0.0976693
82,-1.3895415,-1.3680534,"('poor', 'rich')",6.139241,5.924131,2.3748498,2.2780387,0.0968111
23,-1.3886837,-1.462119,"('insincere', 'sincere')",6.6695437,6.541268,2.64043,2.5395744,0.1008556
79,1.3830723,1.3130869,"('wavering', 'unwavering')",-0.21829449,-0.4573985,0.5823889,0.4278442,0.1545447
5,1.3423506,1.3126503,"('distant', 'outgoing')",-0.39710808,-0.54670316,0.4726213,0.3829736,0.0896477
72,-1.3357435,-1.3569459,"('unambitious', 'ambitious')",-0.59334666,-0.566163,-0.9645451,-0.9615544,-0.0029907
30,-1.3139279,-1.3317059,"('intolerant', 'tolerant')",0.50160444,0.6632271,-0.4061617,-0.3342394,-0.0719223
63,-1.3129114,-1.1996713,"('unperceptive', 'insightful')",0.22799794,0.51854986,-0.5424567,-0.3405607,-0.201896
43,-1.298643,-1.2175968,"('irresponsible', 'responsible')",0.6084006,0.9018166,-0.3451212,-0.1578901,-0.1872311
13,-1.2888968,-1.2523713,"('impolite', 'polite')",-0.18451357,0.19637883,-0.7367052,-0.5279962,-0.208709
70,-1.236151,-1.1720719,"('lethargic', 'energetic')",0.07697969,0.40281826,-0.5795857,-0.3846268,-0.1949589
28,-1.2345704,-1.1642233,"('disloyal', 'loyal')",1.0014901,0.7999345,-0.1165401,-0.1821444,0.0656043
25,1.2025841,1.2469789,"('egoistic', 'altruistic')",1.3769755,1.2843308,1.2897799,1.2656548,0.0241251
33,1.1733817,1.1321775,"('wrong', 'right')",-0.7612108,-0.8810822,0.2060854,0.1255476,0.0805378
61,-1.1446565,-1.1478779,"('illogical', 'logical')",-0.19429024,0.034681015,-0.6694734,-0.5565985,-0.1128749
31,1.0986307,1.0882831,"('evil', 'good')",-1.1059433,-1.2848675,-0.0036563,-0.0982922,0.0946359
