,colgate_male,colgate_female,tuple,palmolive_male,palmolive_female,co_male,co_female,average_male,average_female,male-female
86,-2.0073452,-2.510448,"('uninfluential', 'influential')",-1.2523223,-1.4665397,-0.23943487,-0.34762117,-1.1663675,-1.4415363,0.2751688
10,-1.9765366,-2.4610264,"('unsympathetic', 'sympathetic')",-1.5169643,-1.7841927,-0.036047377,0.13836884,-1.1765161,-1.3689502,0.1924341
1,-1.5602645,-1.7269058,"('unfriendly', 'friendly')",-0.2117761,-0.49057743,1.9125677,1.758983,0.0468424,-0.1528334,0.1996758
23,-1.4515547,-1.4769028,"('insincere', 'sincere')",-1.6281979,-1.7038054,5.8803625,5.8161345,0.9335367,0.8784753,0.0550614
28,-1.4474758,-1.4863981,"('disloyal', 'loyal')",-0.2353487,-0.30713618,1.0905486,1.2343208,-0.1974253,-0.1864045,-0.0110208
48,-1.4276206,-1.8458275,"('unintelligent', 'intelligent')",-1.3803742,-1.6200058,-0.3389322,-0.27360386,-1.0489757,-1.246479,0.1975033
63,-1.3359606,-1.6991358,"('unperceptive', 'insightful')",-1.4139552,-1.6845542,0.15351406,0.11331408,-0.8654672,-1.0901252,0.224658
53,-1.3214649,-1.2400943,"('uncreative', 'creative')",-0.8856262,-0.8722333,0.53055626,0.6157571,-0.558845,-0.4988568,-0.0599882
38,-1.288812,-1.3643805,"('untruthful', 'truthful')",-0.58431906,-0.83073497,-0.21901932,-0.09935084,-0.6973835,-0.7648222,0.0674387
9,-1.2731497,-1.4004265,"('unaffectionate', 'caring')",-0.75605696,-0.87513787,1.185386,0.96623236,-0.2812736,-0.436444,0.1551704
44,1.2715607,1.4725335,"('prejudiced', 'unprejudiced')",0.9996126,1.2398039,-1.3493711,-1.499877,0.3072674,0.4041535,-0.0968861
0,-1.2622167,-1.5872757,"('unsociable', 'sociable')",-0.83734834,-1.0899591,-0.110576585,-0.14860041,-0.7367139,-0.9419451,0.2052312
35,1.2620208,1.6379633,"('corrupt', 'incorrupt')",1.619814,1.6403124,-0.47883466,-0.53843457,0.8010001,0.9132804,-0.1122803
80,1.2117268,1.0009279,"('dominated', 'dominating')",0.37179154,0.20532975,-0.76874465,-0.64819825,0.2715912,0.1860198,0.0855714
57,-1.1911608,-1.5597146,"('unimaginative', 'imaginative')",-0.93468714,-1.0883137,-3.0769932,-2.910893,-1.7342803,-1.8529738,0.1186935
69,1.1653694,1.3631728,"('lazy', 'industrious')",2.7015393,2.6306899,-0.6223986,-0.7434683,1.0815033,1.0834648,-0.0019615
43,-1.1411115,-1.549976,"('irresponsible', 'responsible')",-1.8687521,-1.9063026,0.48632345,0.5520858,-0.8411801,-0.9680642,0.1268841
41,-1.1245683,-1.4262359,"('unforgiving', 'forgiving')",-0.8545832,-1.0086796,0.19956018,0.19830212,-0.5931971,-0.7455378,0.1523407
8,-1.0633982,-1.0553882,"('unaffectionate', 'affectionate')",-0.467521,-0.46893412,0.891124,0.53873444,-0.2132651,-0.3285293,0.1152642
72,-1.0529073,-1.0348897,"('unambitious', 'ambitious')",-1.1943251,-1.0795217,-0.39083508,-0.35076752,-0.8793558,-0.8217263,-0.0576295
32,-1.0468384,-1.0202706,"('unkind', 'kind')",-0.17343453,-0.05187154,1.0314486,1.1584162,-0.0629414,0.028758,-0.0916994
54,-1.0164433,-0.87710077,"('incapable', 'capable')",0.95129544,0.84147096,0.74613625,0.46261373,0.2269961,0.142328,0.0846681
11,-0.99362636,-1.2307491,"('unhelpful', 'helpful')",-2.0414438,-2.0515482,1.7087259,1.8889198,-0.4421148,-0.4644592,0.0223444
66,0.91741496,1.0670502,"('inactive', 'active')",0.46914577,0.6280792,0.68600833,0.6130887,0.6908563,0.769406,-0.0785497
12,-0.8951948,-1.4119529,"('unsupportive', 'supportive')",-1.1642524,-1.3313358,-2.0347402,-1.9888397,-1.3647292,-1.577376,0.2126468
21,-0.8834957,-1.2080772,"('immoral', 'moral')",-0.651976,-0.7355273,-0.7188455,-0.7893154,-0.7514391,-0.9109733,0.1595342
56,-0.8736054,-1.0031067,"('impractical', 'practical')",-0.5435205,-0.561902,-0.98023355,-0.68280715,-0.7991198,-0.7492719,-0.0498479
87,0.8687045,0.8615579,"('unsuccessful', 'successful')",0.8110641,0.780132,0.62893623,0.570409,0.7695683,0.7373663,0.032202
77,-0.8639475,-1.3172575,"('unmotivated', 'motivated')",-1.4279044,-1.6143609,-1.3271,-1.4002807,-1.2063173,-1.4439664,0.2376491
73,0.84440607,0.77766204,"('helpless', 'self-reliant')",0.6056025,0.64189345,-3.3236082,-3.33111,-0.6245332,-0.6371849,0.0126517
47,-0.8442414,-0.8969485,"('stupid', 'smart')",0.12105205,-0.072880544,5.2644205,5.0184374,1.5137437,1.3495361,0.1642076
46,-0.81999797,-1.4219667,"('uncompetitive', 'competitive')",-1.5557694,-1.700166,-0.8761978,-0.5813079,-1.0839884,-1.2344802,0.1504918
16,-0.8185674,-0.89060056,"('unpopular', 'popular')",0.43059123,0.34641972,-0.029355802,-0.04017728,-0.1391107,-0.1947861,0.0556754
51,-0.77248424,-0.9755659,"('uneducated', 'educated')",-0.63786083,-0.6631496,0.22654986,0.32701764,-0.3945984,-0.4372326,0.0426342
13,-0.7711264,-0.7503755,"('impolite', 'polite')",-0.56899226,-0.6601006,-0.06769659,-0.0020511672,-0.4692717,-0.4708424,0.0015707
39,0.745563,0.6640548,"('exploitative', 'cooperative')",-0.20191859,-0.18109445,0.6396837,0.5877695,0.3944427,0.35691,0.0375327
78,-0.73430365,-1.1807954,"('nonresilient', 'resilient')",-0.018263092,-0.5995464,-0.045263473,-0.13563126,-0.2659434,-0.6386577,0.3727143
75,0.7191771,1.0580858,"('meek', 'impulsive')",0.70243686,0.82155687,-0.6664659,-0.6852587,0.251716,0.398128,-0.146412
70,-0.71634287,-0.8673557,"('lethargic', 'energetic')",-0.5925316,-0.56390476,0.5111844,0.4921881,-0.2658967,-0.3130241,0.0471274
49,-0.7155361,-0.645246,"('unable', 'able')",-0.14565945,-0.13111486,-0.74509645,-0.8150286,-0.5354307,-0.5304631,-0.0049676
60,-0.7115469,-1.0960534,"('inefficient', 'efficient')",-0.7947462,-0.93072987,-0.18726446,-0.19726793,-0.5645192,-0.7413504,0.1768312
88,-0.7039885,-0.43485346,"('low', 'eminent')",-0.25567406,0.06249517,-0.52331185,-0.1226861,-0.4943248,-0.1650148,-0.32931
24,-0.6922458,-0.9991232,"('dishonest', 'honest')",-0.90385234,-0.8483276,0.9234996,0.7743598,-0.2241995,-0.357697,0.1334975
37,0.6624393,0.077033654,"('fake', 'genuine')",0.5614243,0.26466364,0.26539016,-0.045411117,0.4964179,0.0987621,0.3976558
27,-0.61679757,-1.0565885,"('hardhearted', 'softhearted')",-0.2660035,-0.49013314,1.3408201,0.89303416,0.152673,-0.2178958,0.3705688
7,-0.59338015,-0.8149261,"('insensitive', 'sensitive')",-0.5522038,-0.56663895,0.49617386,0.37922144,-0.21647,-0.3341146,0.1176446
62,-0.5738273,-0.63112307,"('incompetent', 'brilliant')",-0.3935166,-0.3592711,-0.35049656,-0.3220503,-0.4392802,-0.4374815,-0.0017987
45,-0.5690592,-1.0545479,"('incompetent', 'competent')",-0.20655094,-0.34736294,-0.16748078,-0.19838342,-0.3143636,-0.5334314,0.2190678
81,-0.56174576,-0.3898788,"('submissive', 'aggressive')",-0.74736154,-0.49724126,-0.9199756,-0.71327835,-0.7430276,-0.5334661,-0.2095615
52,-0.5524969,-0.72549987,"('irrational', 'rational')",0.26127484,0.15080729,-0.053662702,-0.385155,-0.1149616,-0.3199492,0.2049876
65,-0.55237925,-0.47709465,"('insecure', 'secure')",-1.1433089,-0.9504918,0.20070088,0.359479,-0.4983291,-0.3560358,-0.1422933
84,0.5359213,0.37513268,"('inferior', 'superior')",0.70050305,0.6080284,0.39543277,0.3034722,0.5439524,0.4288778,0.1150746
30,-0.5338603,-0.54398525,"('intolerant', 'tolerant')",-0.5187206,-0.28647637,0.574525,0.6084274,-0.159352,-0.0740114,-0.0853406
3,-0.5320045,-0.6191339,"('repellent', 'pleasant')",-1.1724322,-1.1956522,0.6710043,0.64240456,-0.3444775,-0.3907939,0.0463164
58,-0.5278119,-0.951299,"('undiscriminating', 'discriminating')",-0.75807756,-1.0136678,0.52959245,0.57684994,-0.252099,-0.4627056,0.2106066
82,-0.4895925,-0.353517,"('poor', 'rich')",-0.41702488,-0.15186056,6.298905,6.255171,1.7974291,1.9165977,-0.1191686
25,0.48337564,0.51134884,"('egoistic', 'altruistic')",0.9227269,0.903721,1.52128,1.3845626,0.9757942,0.9332108,0.0425834
59,0.43351048,0.36934453,"('foolish', 'wise')",0.45687935,0.5851271,-0.024907637,-0.16286035,0.2884941,0.2638704,0.0246237
34,-0.4285779,-0.43178388,"('mean', 'honorable')",-0.7423843,-0.83429873,5.3947926,5.1600065,1.4079434,1.2979746,0.1099688
33,0.41634208,0.15997109,"('wrong', 'right')",1.3038703,1.1996868,-0.4705519,-0.8251123,0.4165535,0.1781819,0.2383716
42,0.40740854,0.2294068,"('unreliable', 'reliable')",0.4768067,0.4978071,-3.345355,-3.1169555,-0.8203799,-0.7965806,-0.0237993
26,0.38838235,0.42806396,"('hardhearted', 'benevolent')",0.009935912,0.07847299,1.740423,2.009484,0.7129138,0.8386737,-0.1257599
31,-0.36098146,-0.41204172,"('evil', 'good')",-0.12041858,-0.23893715,-0.7066089,-1.0552511,-0.396003,-0.5687433,0.1727403
20,-0.35841003,-0.5873744,"('rough', 'thoughtful')",-0.036147956,-0.27348864,0.4321766,0.44061518,0.0125395,-0.1400826,0.1526221
83,-0.3535239,-0.5356561,"('powerless', 'powerful')",-0.05859302,-0.21348956,-1.5494626,-1.5104719,-0.6538599,-0.7532059,0.099346
74,-0.34418485,-0.6004765,"('undedicated', 'dedicated')",-0.25795516,-0.2004075,0.08861765,0.23058845,-0.1711741,-0.1900985,0.0189244
61,-0.33833656,-0.39255226,"('illogical', 'logical')",-0.5065908,-0.55567414,0.1100077,-0.055711836,-0.2449732,-0.3346461,0.0896729
2,0.3367445,0.5345909,"('unlikable', 'likable')",0.74410915,1.0263001,0.92184657,0.91679615,0.6675668,0.8258957,-0.1583289
68,-0.2956151,-0.5772819,"('dependent', 'independent')",-1.0768391,-0.9218421,-1.6042768,-1.8020319,-0.9922436,-1.1003853,0.1081417
67,-0.20772317,-0.030050203,"('doubtful', 'determined')",0.36029875,0.29540896,-0.6246879,-0.6056106,-0.1573708,-0.1134173,-0.0439535
40,-0.20670335,-0.51412594,"('stingy', 'generous')",0.22917676,0.13375196,-1.9672903,-2.0931742,-0.6482723,-0.8245161,0.1762438
5,0.18668596,0.48057294,"('distant', 'outgoing')",0.628313,0.7943514,-0.01541331,-0.28487197,0.2665286,0.3300174,-0.0634888
64,-0.17847653,-0.17789266,"('shy', 'confident')",0.1155457,0.30702606,-6.3617396,-6.10432,-2.1415569,-1.9917289,-0.149828
50,-0.17534553,-0.30940843,"('clumsy', 'skillful')",1.0506974,0.7719447,-0.25400224,-0.3736547,0.2071166,0.0296272,0.1774894
29,0.15603817,-0.21145312,"('unfair', 'fair')",0.5785851,0.43114033,-0.55488145,-0.72636265,0.0599139,-0.1688918,0.2288057
4,-0.13955092,-0.10278951,"('disliked', 'liked')",0.124298826,0.33108753,-7.313268,-6.967439,-2.4428401,-2.2463803,-0.1964598
55,-0.12685813,-0.63432467,"('incompetent', 'clever')",-0.16194892,-0.27211964,0.338662,0.3380644,0.0166183,-0.18946,0.2060783
71,0.12538332,0.036756463,"('diffident', 'self-confident')",0.6260087,0.54151726,0.31204423,0.11688144,0.3544788,0.2317184,0.1227604
76,0.12520897,0.049805623,"('anxious', 'daring')",0.17649981,0.14934695,-0.26728716,-0.1799806,0.0114739,0.0063907,0.0050832
22,0.116016254,-0.20897171,"('untrustworthy', 'trustworthy')",-0.12443764,-0.2110129,-0.4840517,-0.5660491,-0.1641577,-0.3286779,0.1645202
18,-0.109142125,-0.22494645,"('disagreeable', 'welcoming')",0.23447554,0.49546403,-0.4559486,-0.70074475,-0.1102051,-0.1434091,0.033204
36,0.10734199,0.21421117,"('hostile', 'amicable')",0.23494521,0.2979193,0.02791937,-0.15962021,0.1234022,0.1175034,0.0058988
6,-0.1037799,-0.074373946,"('distant', 'open')",1.0070977,0.94221145,0.23364551,-0.06419373,0.3789878,0.2678813,0.1111065
15,-0.079200655,0.28697008,"('boring', 'funny')",0.5752823,0.6100253,0.53634644,0.60720307,0.3441427,0.5013995,-0.1572568
85,-0.0663404,0.07774634,"('insignificant', 'prestigious')",1.1187577,0.9820672,-0.29014462,-0.41089305,0.2540909,0.2163068,0.0377841
