,grainger_male,grainger_female,tuple,w_male,w_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.2970796,-1.9669725,"('unfriendly', 'friendly')",-1.2397308,-1.1158959,1.0707829,1.2929877,-0.8220092,-0.5966269,-0.2253823
36,-2.2774482,-1.6542197,"('hostile', 'amicable')",-2.1080282,-1.7864413,-0.2989063,-0.10452821,-1.5614608,-1.1817297,-0.3797311
60,2.276342,1.634098,"('inefficient', 'efficient')",1.9670353,1.7006353,0.5967146,0.37297595,1.6133639,1.2359031,0.3774608
6,-2.2185593,-1.7038909,"('distant', 'open')",-1.502352,-1.0919695,-0.20178366,0.12648723,-1.307565,-0.889791,-0.417774
55,2.1094434,1.5350116,"('incompetent', 'clever')",1.8124123,1.3722434,0.5900171,0.33987188,1.5039576,1.0823757,0.4215819
85,-1.9559063,-1.4581422,"('insignificant', 'prestigious')",-1.3393128,-1.205693,0.483257,0.84953463,-0.9373206,-0.6047668,-0.3325538
52,-1.9481435,-1.3537962,"('irrational', 'rational')",-0.5389452,-0.37363738,-0.095650166,0.2170913,-0.860913,-0.5034475,-0.3574655
31,-1.8961836,-1.3213272,"('evil', 'good')",-0.7681394,-0.5678018,-1.1661553,-0.87947345,-1.2768261,-0.9228675,-0.3539586
56,1.8742342,1.4918683,"('impractical', 'practical')",1.3344554,1.0163417,0.031868372,-0.13282494,1.080186,0.791795,0.288391
5,-1.8507173,-1.3669758,"('distant', 'outgoing')",-1.4412308,-1.0539883,-0.9091264,-0.5525607,-1.4003582,-0.991175,-0.4091832
80,1.8183104,1.2283204,"('dominated', 'dominating')",1.3654222,1.0415909,-0.7940507,-0.9751915,0.7965606,0.4315733,0.3649873
46,1.6789976,1.0432328,"('uncompetitive', 'competitive')",1.8648245,1.2743089,0.8364997,0.439477,1.4601073,0.9190062,0.5411011
87,1.6534696,1.4956641,"('unsuccessful', 'successful')",2.2729895,2.2102604,0.98026484,1.0331982,1.6355747,1.5797076,0.0558671
45,1.5435644,1.2608813,"('incompetent', 'competent')",2.4928877,2.0937665,0.7681969,0.62597615,1.6015498,1.3268746,0.2746752
14,1.5406837,1.1261533,"('antisocial', 'social')",2.2284334,1.9922342,-0.4402368,-0.58088946,1.1096268,0.8458327,0.2637941
81,1.5175672,1.0280441,"('submissive', 'aggressive')",0.65613186,0.5202968,-0.90088934,-1.0448503,0.4242698,0.1678302,0.2564396
27,-1.4860214,-1.3322484,"('hardhearted', 'softhearted')",-0.4517508,-0.43408483,1.5375608,1.5460138,-0.1334038,-0.0734398,-0.059964
67,1.435884,1.2268881,"('doubtful', 'determined')",0.4987775,0.5582879,-0.18333775,-0.18455727,0.5837746,0.5335396,0.050235
8,-1.4016712,-1.0845135,"('unaffectionate', 'affectionate')",-1.4054166,-1.2811624,0.21207643,0.55248636,-0.8650038,-0.6043965,-0.2606073
74,1.303373,1.1325053,"('undedicated', 'dedicated')",1.8329618,1.5539006,0.15679412,0.03629239,1.0977097,0.9075661,0.1901436
79,-1.2809378,-1.1196295,"('wavering', 'unwavering')",-0.07398406,-0.17668542,0.13037235,0.07110628,-0.4081832,-0.4084029,0.0002197
18,-1.2724352,-1.1128242,"('disagreeable', 'welcoming')",-0.6384897,-0.45021528,-0.9052147,-0.78152776,-0.9387132,-0.7815224,-0.1571908
16,-1.25814,-0.91379064,"('unpopular', 'popular')",-0.46322745,-0.29244474,0.5322235,0.6553721,-0.3963813,-0.1836211,-0.2127602
35,-1.219549,-0.61540854,"('corrupt', 'incorrupt')",-2.05921,-1.5871732,-0.9658015,-0.6356924,-1.4148534,-0.9460914,-0.468762
7,1.1812435,0.84344333,"('insensitive', 'sensitive')",0.9089232,0.7621969,1.0113617,0.874031,1.0338429,0.8265571,0.2072858
37,1.1733178,0.71726704,"('fake', 'genuine')",1.2461034,0.98815954,0.71105504,0.72527164,1.0434921,0.8102327,0.2332594
13,1.1420199,0.9253588,"('impolite', 'polite')",0.96867156,0.9806102,0.6579534,0.45670152,0.9228816,0.7875568,0.1353248
65,1.0985801,0.5969508,"('insecure', 'secure')",0.9627262,0.8219471,-0.19047016,-0.48205632,0.623612,0.3122805,0.3113315
62,1.0981914,0.81655,"('incompetent', 'brilliant')",1.7025762,1.5006522,0.81466275,0.8332274,1.2051434,1.0501432,0.1550002
10,1.0958804,0.38766277,"('unsympathetic', 'sympathetic')",1.8106756,1.3041745,1.1541272,0.7569582,1.3535611,0.8162652,0.5372959
42,1.082616,0.7746028,"('unreliable', 'reliable')",0.77350366,0.6000349,-2.8036718,-2.7567363,-0.3158507,-0.4606996,0.1448489
70,1.0649514,0.5557217,"('lethargic', 'energetic')",1.5836,1.2056093,1.4847977,1.3154908,1.3777831,1.0256073,0.3521758
71,1.0254064,1.1072117,"('diffident', 'self-confident')",-0.03864023,-0.07261356,0.05186534,0.10654905,0.3462105,0.3803824,-0.0341719
21,1.0200375,0.5338299,"('immoral', 'moral')",2.612994,2.0916886,0.15885705,-0.17276585,1.2639628,0.8175842,0.4463786
53,-1.0000535,-0.98562247,"('uncreative', 'creative')",0.15389861,0.13922288,0.7335777,0.67152554,-0.0375257,-0.0582914,0.0207657
39,0.9735121,1.0700085,"('exploitative', 'cooperative')",0.17694063,0.2878695,-0.34122103,-0.1353818,0.2697439,0.4074987,-0.1377548
4,-0.86408913,-0.33558413,"('disliked', 'liked')",-1.0631635,-1.0142277,-6.4839044,-6.1101246,-2.8037189,-2.4866455,-0.3170734
75,-0.8616166,-0.46469533,"('meek', 'impulsive')",-0.605198,-0.4218031,-0.5542418,-0.35399365,-0.6736855,-0.4134974,-0.2601881
0,0.85569817,0.4753315,"('unsociable', 'sociable')",0.9583478,0.8572636,0.2595697,0.059485298,0.6912052,0.4640268,0.2271784
76,0.82235944,0.39926133,"('anxious', 'daring')",1.0006064,0.6877977,0.46832606,0.3330411,0.763764,0.4733667,0.2903973
64,0.7481146,0.60113406,"('shy', 'confident')",0.6644315,0.77205044,-6.086306,-6.1532927,-1.55792,-1.5933695,0.0354495
2,0.72360605,0.71597797,"('unlikable', 'likable')",1.3510102,1.4143943,0.40996125,0.43294415,0.8281925,0.8544388,-0.0262463
69,0.6913731,0.92916805,"('lazy', 'industrious')",-0.48039064,-0.1338412,-0.45630094,-0.2768039,-0.0817728,0.172841,-0.2546138
40,-0.68424475,-0.25988352,"('stingy', 'generous')",-0.6002121,-0.50833267,-1.7094102,-1.3489665,-0.9979556,-0.7057276,-0.292228
88,-0.66121227,-0.7175913,"('low', 'eminent')",-1.8534884,-1.8105327,-0.4923603,-0.30864763,-1.0023537,-0.9455905,-0.0567632
9,-0.652607,-0.47696516,"('unaffectionate', 'caring')",0.18920186,0.10324314,1.4944801,1.5434808,0.3436917,0.3899196,-0.0462279
44,-0.6360865,-0.56676924,"('prejudiced', 'unprejudiced')",-1.5082674,-1.3011928,-1.9018773,-1.725865,-1.3487438,-1.1979423,-0.1508015
51,0.62786645,0.40636683,"('uneducated', 'educated')",2.3213587,1.9861822,0.6156699,0.4569792,1.1882984,0.9498428,0.2384556
47,0.59807473,0.33262783,"('stupid', 'smart')",0.08062299,0.101016134,4.695097,4.6893754,1.7912649,1.7076731,0.0835918
17,-0.57683027,-0.5051656,"('nasty', 'nice')",-0.35253158,-0.23129234,-0.60777247,-0.5238564,-0.5123781,-0.4201048,-0.0922733
58,0.5576205,0.5336455,"('undiscriminating', 'discriminating')",1.1169199,0.82640827,-0.04191037,0.042669494,0.54421,0.4675744,0.0766356
30,0.5416739,0.49874339,"('intolerant', 'tolerant')",0.15587619,0.12582253,0.97344196,1.0795823,0.5569973,0.5680494,-0.0110521
72,-0.5347033,-0.471616,"('unambitious', 'ambitious')",0.65240115,0.62218827,-1.0918409,-0.8727795,-0.3247143,-0.2407357,-0.0839786
43,0.52798873,0.2250047,"('irresponsible', 'responsible')",0.5909819,0.37047473,0.85654265,0.86319894,0.6585044,0.4862261,0.1722783
12,0.52185184,0.32240543,"('unsupportive', 'supportive')",0.8637462,0.6705372,-1.5436735,-1.4853444,-0.0526918,-0.1641339,0.1114421
22,0.52173495,0.3464014,"('untrustworthy', 'trustworthy')",0.59304214,0.5901041,-0.69060045,-0.7236263,0.1413922,0.0709597,0.0704325
