,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,male-female
39,1.7119274,1.7032503,"('exploitative', 'cooperative')",0.82982653,0.7794589,0.31823283,0.43026403,0.9533289,0.9709911,-0.0176622
6,-1.5492676,-1.027473,"('distant', 'open')",-0.76819086,-0.24605966,0.2177658,0.2555218,-0.6998976,-0.339337,-0.3605606
26,1.4826227,1.4592037,"('hardhearted', 'benevolent')",2.4109414,2.596216,1.6436008,1.8319335,1.8457217,1.9624511,-0.1167294
73,1.285885,1.3165851,"('helpless', 'self-reliant')",0.72699034,0.81842303,-3.1463075,-3.0599787,-0.3778107,-0.3083235,-0.0694872
67,1.2833152,1.2002813,"('doubtful', 'determined')",0.10908799,0.1858666,-0.69018483,-0.5421745,0.2340728,0.2813244,-0.0472516
49,-1.2424561,-1.2359794,"('unable', 'able')",-0.79175854,-0.82848144,-0.35606226,-0.30613,-0.7967589,-0.7901969,-0.006562
68,-1.2223526,-1.4572173,"('dependent', 'independent')",-1.1149265,-1.3449185,-0.37235966,-0.45757502,-0.9032129,-1.0865703,0.1833574
31,-1.2064822,-0.9014596,"('evil', 'good')",0.00664874,0.24091847,-0.539167,-0.54183435,-0.5796668,-0.4007918,-0.178875
5,-1.1839373,-0.6828043,"('distant', 'outgoing')",-0.11234324,0.2976222,-0.43733573,-0.36043617,-0.5778721,-0.2485394,-0.3293327
84,1.1763219,1.2323246,"('inferior', 'superior')",0.00076382235,0.09010893,0.49734515,0.7314676,0.5581436,0.6846337,-0.1264901
56,1.172039,1.068477,"('impractical', 'practical')",1.3579179,1.2057377,-0.1895864,-0.140755,0.7801235,0.7111533,0.0689702
27,-1.1373236,-1.1377422,"('hardhearted', 'softhearted')",-0.023473315,-0.19294848,1.6170859,1.4599706,0.1520964,0.0430933,0.1090031
36,-1.127404,-0.95260143,"('hostile', 'amicable')",-0.76584035,-0.56216365,0.079223186,0.01748541,-0.6046737,-0.4990932,-0.1055805
3,-1.1088805,-1.1033612,"('repellent', 'pleasant')",-0.13312395,-0.16512978,0.39339715,0.3297432,-0.2828691,-0.3129159,0.0300468
12,1.0290796,0.9397236,"('unsupportive', 'supportive')",0.44638008,0.36835128,-1.8282855,-1.7014989,-0.1176086,-0.1311413,0.0135327
71,0.9604167,1.1768032,"('diffident', 'self-confident')",1.3581963,1.4837788,0.73902977,0.63351196,1.0192143,1.0980314,-0.0788171
37,0.94257545,0.8015655,"('fake', 'genuine')",-0.13446374,-0.049511492,0.7179501,0.54049706,0.5086873,0.4308503,0.077837
82,-0.9304176,-1.0685167,"('poor', 'rich')",-0.10689928,-0.14337695,6.057432,5.8060145,1.6733718,1.5313737,0.1419981
34,-0.90862966,-1.0734836,"('mean', 'honorable')",-0.39590377,-0.6882663,6.093353,5.831988,1.5962731,1.356746,0.2395271
16,-0.8800013,-0.9114836,"('unpopular', 'popular')",-1.054015,-1.1084064,0.33761144,0.25850248,-0.532135,-0.5871292,0.0549942
17,-0.8560204,-0.77990776,"('nasty', 'nice')",-0.5671709,-0.54902613,-0.3731609,-0.3613304,-0.598784,-0.5634214,-0.0353626
44,-0.85304564,-1.0022944,"('prejudiced', 'unprejudiced')",-1.6548635,-1.7062962,-1.194656,-1.2177501,-1.2341884,-1.3087802,0.0745918
