,becton_male,becton_female,tuple,dickinson_male,dickinson_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
8,-2.4635909,-2.3111353,"('unaffectionate', 'affectionate')",0.3555498,0.6072233,0.66385925,0.726633,0.9977134,1.1747935,-0.1116171,0.0493786,-0.1609957
1,-2.2323513,-2.0322225,"('unfriendly', 'friendly')",-1.0290902,-0.6070064,0.39550927,0.46848038,1.3757488,1.5436866,-0.3725459,-0.1567655,-0.2157804
9,-2.0951679,-1.8834541,"('unaffectionate', 'caring')",0.40979028,0.71765435,0.55856967,0.6241118,1.1952622,1.376734,0.0171136,0.2087615,-0.1916479
53,-2.0947473,-1.8560286,"('uncreative', 'creative')",-0.008029558,0.28806508,0.60737944,0.6946708,1.096728,1.204258,-0.0996673,0.0827413,-0.1824086
44,1.7143098,1.4962101,"('prejudiced', 'unprejudiced')",-1.9179478,-2.2111561,-1.569533,-1.5149391,-1.6744688,-1.6137917,-0.8619099,-0.9609192,0.0990093
57,-1.6846724,-1.5216347,"('unimaginative', 'imaginative')",0.17881553,0.42148727,0.10069513,0.11487833,-2.5728767,-2.483128,-0.9945096,-0.8670993,-0.1274103
28,-1.3823012,-1.4742291,"('disloyal', 'loyal')",-0.17613196,-0.16741103,-0.17580807,-0.33795732,0.16082625,-0.044819124,-0.3933538,-0.5061042,0.1127504
85,-1.3751566,-1.371563,"('insignificant', 'prestigious')",-1.6207526,-1.5812513,1.1062521,1.1163633,0.46536136,0.56068027,-0.3560739,-0.3189426,-0.0371313
48,-1.3580886,-1.2557971,"('unintelligent', 'intelligent')",0.16862611,0.40684462,-0.6135474,-0.61770713,-1.3266284,-1.2516066,-0.7824096,-0.6795666,-0.102843
73,1.3533629,1.3257756,"('helpless', 'self-reliant')",1.2290671,1.1908027,-0.27563694,-0.29249448,-3.0720723,-2.9276016,-0.1913198,-0.1758795,-0.0154403
25,-1.3274405,-1.316529,"('egoistic', 'altruistic')",-0.7301562,-0.5073994,0.31216276,0.39348626,1.1306942,1.2211878,-0.1536849,-0.0523136,-0.1013713
86,-1.2691865,-1.1502178,"('uninfluential', 'influential')",1.3942591,1.6798658,0.20288114,0.12662248,-0.8105624,-0.73973787,-0.1206522,-0.0208668,-0.0997854
32,-1.238287,-1.1095088,"('unkind', 'kind')",-0.5324981,-0.44516078,-0.07994917,0.0006344691,0.004913358,0.20080818,-0.4614552,-0.3383067,-0.1231485
18,-1.1954699,-1.0301398,"('disagreeable', 'welcoming')",-0.89924365,-0.52535695,0.3215356,0.4889891,-1.1816206,-1.1546628,-0.7386996,-0.5552926,-0.183407
52,-1.1945057,-1.412594,"('irrational', 'rational')",-1.3603452,-1.3047881,0.31049636,0.18682712,-0.13448967,-0.12171776,-0.5947111,-0.6630681,0.068357
77,-1.1823423,-1.0089178,"('unmotivated', 'motivated')",-0.06553861,-0.029390985,-0.21415755,-0.17659238,-0.27969494,-0.32146963,-0.4354334,-0.3840927,-0.0513407
6,-1.0359824,-0.95268613,"('distant', 'open')",-0.95365137,-0.66169477,0.5119984,0.5297242,0.3842226,0.4817087,-0.2733532,-0.150737,-0.1226162
80,1.0328119,0.9619784,"('dominated', 'dominating')",1.0198683,0.76533526,0.25241607,0.14658321,-1.1236062,-1.1891972,0.2953725,0.1711749,0.1241976
23,-1.0165603,-0.8399077,"('insincere', 'sincere')",0.40956926,0.5677215,-0.55705494,-0.47552216,4.250825,4.2541523,0.7716947,0.876611,-0.1049163
41,-0.99662185,-0.87939876,"('unforgiving', 'forgiving')",-0.24478254,0.21059534,-0.22713837,-0.1788452,-0.37004423,-0.3277957,-0.4596468,-0.2938611,-0.1657857
88,-0.955502,-0.80740964,"('low', 'eminent')",-0.93551,-0.7633718,-0.23679161,-0.25547183,-1.1168014,-1.0553684,-0.8111513,-0.7204055,-0.0907458
16,-0.94480056,-0.8169233,"('unpopular', 'popular')",-2.330678,-2.2315001,0.04990269,0.17479537,0.47627366,0.55698246,-0.6873256,-0.5791614,-0.1081642
0,-0.93001014,-1.1330104,"('unsociable', 'sociable')",0.65233755,0.59122413,0.64672047,0.55410016,-0.09764666,-0.14737521,0.0678503,-0.0337653,0.1016156
13,0.8933139,0.90397817,"('impolite', 'polite')",0.66255397,0.53246397,-0.09859492,0.06590103,-0.23120229,-0.2407508,0.3065177,0.3153981,-0.0088804
30,0.8532878,0.82261914,"('intolerant', 'tolerant')",1.8406105,1.8712628,0.04269238,-0.0038212836,-0.15617505,-0.061345045,0.6451039,0.6571789,-0.012075
26,-0.8463449,-1.0130665,"('hardhearted', 'benevolent')",0.56593025,0.5398339,2.9465377,2.7599719,1.8097186,1.7171674,1.1189604,1.0009767,0.1179837
67,0.8329455,0.7719351,"('doubtful', 'determined')",0.3452531,0.12502384,0.614352,0.6286471,-0.18212306,-0.26651534,0.4026069,0.3147727,0.0878342
42,0.80104357,0.8572318,"('unreliable', 'reliable')",0.19038132,0.27954182,0.6484127,0.7082985,-3.0660806,-2.9500742,-0.3565607,-0.2762505,-0.0803102
72,-0.79561174,-0.78076905,"('unambitious', 'ambitious')",0.809735,0.82019204,-0.61833715,-0.6448465,-1.1325237,-1.114426,-0.4341844,-0.4299624,-0.004222
36,-0.78558445,-0.9331726,"('hostile', 'amicable')",-1.6774791,-1.4807605,-0.027105942,-0.23189962,0.594331,0.56147826,-0.4739597,-0.5210886,0.0471289
40,-0.7246871,-0.6156363,"('stingy', 'generous')",0.27118456,0.5970538,-0.40349463,-0.33936435,-2.4165955,-2.2879865,-0.8183981,-0.6614833,-0.1569148
64,0.7014652,0.65270257,"('shy', 'confident')",0.37476966,0.21836935,-0.072509244,-0.10075077,-5.6528726,-5.577773,-1.1622868,-1.2018629,0.0395761
61,-0.62642515,-0.8222561,"('illogical', 'logical')",-0.046000294,-0.12267859,0.56745565,0.47583324,-0.20983407,-0.20150846,-0.078701,-0.1676525,0.0889515
12,-0.58343893,-0.29432386,"('unsupportive', 'supportive')",1.2188163,1.6201562,0.8769755,1.0914571,-1.909937,-1.7615052,-0.099396,0.1639461,-0.2633421
63,-0.5661447,-0.35800356,"('unperceptive', 'insightful')",0.5525343,0.72690785,1.2366402,1.4726491,0.34937474,0.5832409,0.3931012,0.6061986,-0.2130974
70,0.5627033,0.882981,"('lethargic', 'energetic')",0.28232887,0.62958837,0.25508448,0.5036542,-0.46632963,-0.16089578,0.1584468,0.463832,-0.3053852
38,-0.55678743,-0.3393287,"('untruthful', 'truthful')",-0.60774577,-0.4988157,-0.74805486,-0.7230771,0.44622353,0.4724157,-0.3665911,-0.2722015,-0.0943896
87,0.5532435,0.5347598,"('unsuccessful', 'successful')",0.011023831,-0.23399979,2.5929122,2.5576775,0.9031562,1.030952,1.0150839,0.9723474,0.0427365
68,0.5423077,0.44954357,"('dependent', 'independent')",-0.8993047,-0.8624216,-1.0262078,-1.006786,-1.7230762,-1.6262913,-0.7765703,-0.7614888,-0.0150815
31,-0.5389555,-0.48557946,"('evil', 'good')",-2.302207,-1.9050627,-0.34989613,-0.33599958,-0.46631044,-0.36544502,-0.9143423,-0.7730217,-0.1413206
37,0.53378856,0.7546627,"('fake', 'genuine')",-0.029102296,0.091111824,-0.3585827,-0.12718588,0.020429187,0.2633835,0.0416332,0.245493,-0.2038598
11,-0.52850723,-0.31584004,"('unhelpful', 'helpful')",0.5634401,0.551685,-0.73956686,-0.65683043,1.8110527,1.7530948,0.2766047,0.3330273,-0.0564226
22,0.49768406,0.5543977,"('untrustworthy', 'trustworthy')",0.57544583,0.8330891,-0.3020052,-0.22089249,-1.4452009,-1.2459894,-0.168519,-0.0198488,-0.1486702
5,-0.48114425,-0.4026527,"('distant', 'outgoing')",-1.1301248,-0.9270358,0.47473407,0.5310816,0.37937573,0.5176498,-0.1892898,-0.0702393,-0.1190505
56,0.45970637,0.48520422,"('impractical', 'practical')",2.151639,2.0816295,-0.001856016,0.00369508,-0.6960884,-0.69559735,0.4783502,0.4687328,0.0096174
83,-0.45608914,-0.45220056,"('powerless', 'powerful')",-0.27888748,-0.35032263,0.15584604,0.19880262,-1.2228348,-1.2032659,-0.4504914,-0.4517466,0.0012552
3,0.44396958,0.708952,"('repellent', 'pleasant')",-1.0942117,-0.7850977,-1.0141248,-0.98648614,0.25777382,0.31760305,-0.3516483,-0.1862572,-0.1653911
10,-0.4435964,-0.10191627,"('unsympathetic', 'sympathetic')",0.24088229,0.5019148,-0.24880157,-0.14921215,-0.0065821707,0.025469959,-0.1145245,0.0690641,-0.1835886
69,0.44111192,0.32279238,"('lazy', 'industrious')",0.20896812,-0.019999243,0.9914762,0.91341424,0.14049791,0.18757325,0.4455135,0.3509452,0.0945683
84,0.40437317,0.14409517,"('inferior', 'superior')",1.2230681,1.1046438,0.95288825,0.93723536,0.547568,0.6409634,0.7819744,0.7067344,0.07524
17,-0.39492777,-0.30587626,"('nasty', 'nice')",-0.7897435,-0.7515666,0.1918278,0.24207899,-0.39507473,-0.41038626,-0.3469796,-0.3064376,-0.040542
7,-0.35007006,-0.12084297,"('insensitive', 'sensitive')",1.5951644,1.872172,-0.19937131,0.007942833,-0.37562287,-0.19681227,0.167525,0.3906149,-0.2230899
59,-0.3470805,-0.4342945,"('foolish', 'wise')",-0.49071276,-0.63678914,1.3358957,1.258959,-0.033354037,0.03119614,0.1161871,0.0547679,0.0614192
78,-0.32280353,-0.008680016,"('nonresilient', 'resilient')",-0.34575766,-0.19787872,0.6616659,0.7990708,1.0282089,0.96276814,0.2553284,0.3888201,-0.1334917
54,-0.31213698,-0.34713146,"('incapable', 'capable')",-0.94319427,-0.9955058,0.5126716,0.59301674,0.72052395,0.95161,-0.0055339,0.0504974,-0.0560313
46,-0.31012133,-0.16582017,"('uncompetitive', 'competitive')",0.48033458,0.70192647,0.24364601,0.3435565,-0.31501973,-0.34211707,0.0247099,0.1343864,-0.1096765
82,-0.28218484,-0.3181244,"('poor', 'rich')",-0.26948497,-0.27925923,-0.23785682,-0.3240586,4.3888264,4.371748,0.8998249,0.8625764,0.0372485
49,-0.26917312,-0.3230774,"('unable', 'able')",-1.074433,-1.0939921,-0.14197487,-0.12805393,-0.70693755,-0.55999327,-0.5481296,-0.5262792,-0.0218504
74,-0.25648463,-0.059734844,"('undedicated', 'dedicated')",0.55446017,1.0503271,0.8127899,0.9131319,-0.10107648,0.09634185,0.2524222,0.5000165,-0.2475943
51,0.24228325,0.25698653,"('uneducated', 'educated')",0.37946126,0.3290663,0.28204706,0.14840762,-0.69796914,-0.74806184,0.0514556,-0.0034003,0.0548559
20,-0.23648724,-0.21139048,"('rough', 'thoughtful')",0.29888013,0.51808715,0.22151896,0.35041815,-0.56800747,-0.40797484,-0.0710239,0.062285,-0.1333089
