,affiliated_male,affiliated_female,tuple,computer_male,computer_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
51,3.6484342,3.9299312,"('uneducated', 'educated')",-0.79458123,-0.9294859,0.37630832,0.24727328,0.36148053,0.3474183,0.8979104,0.8987842,-0.0008738
88,2.54282,1.547549,"('low', 'eminent')",1.2530236,0.6681879,1.3789551,0.522202,1.716502,0.76271576,1.7228253,0.8751637,0.8476616
70,2.2707324,2.8961582,"('lethargic', 'energetic')",-1.4428903,-1.5277711,-0.19030106,-0.009407688,0.5182748,0.761092,0.288954,0.5300179,-0.2410639
74,2.1499312,2.4005759,"('undedicated', 'dedicated')",0.43466562,0.33293527,-0.32350442,-0.2515325,0.27081758,0.31612554,0.6329775,0.6995261,-0.0665486
39,2.0535588,2.481069,"('exploitative', 'cooperative')",1.0750217,1.2176816,0.7899854,1.0174505,-0.029574834,0.1898876,0.9722478,1.2265222,-0.2542744
31,-1.9987962,-2.6427262,"('evil', 'good')",0.11292128,0.18671633,-1.3220184,-1.2875795,-1.4634436,-1.2899913,-1.1678343,-1.2583952,0.0905609
7,1.878818,2.5166728,"('insensitive', 'sensitive')",-0.25467962,-0.28901023,-0.4322191,-0.10882679,0.1539019,0.56189716,0.3364553,0.6701832,-0.3337279
12,1.7920675,2.2120428,"('unsupportive', 'supportive')",0.09977198,0.16004917,0.12774187,0.5086721,-1.766174,-1.6252195,0.0633518,0.3138861,-0.2505343
11,1.7774756,1.7736102,"('unhelpful', 'helpful')",0.80401266,0.62040985,1.6501426,1.5761847,2.5125303,2.311054,1.6860403,1.5703146,0.1157257
66,1.7356213,1.5347515,"('inactive', 'active')",-0.37247646,-0.48036933,0.07262318,-0.0640857,1.0081999,1.0665165,0.610992,0.5142033,0.0967887
71,1.6478308,1.4961683,"('diffident', 'self-confident')",1.4830446,1.3109121,0.47889048,0.48608765,0.20826001,0.22222431,0.9545065,0.878848,0.0756585
87,1.6015509,1.6921189,"('unsuccessful', 'successful')",0.389875,0.12729241,1.3916728,1.3939157,0.5693563,0.58652794,0.9881138,0.9499637,0.0381501
42,1.4316323,1.7527387,"('unreliable', 'reliable')",-0.6075184,-0.5712812,0.45074356,0.4144298,-2.3371649,-2.3374586,-0.2655768,-0.1853928,-0.080184
53,-1.3290069,-1.4358197,"('uncreative', 'creative')",1.4594666,1.4203179,-0.36989832,-0.36464092,0.8352268,0.92950386,0.148947,0.1373403,0.0116067
67,1.3194941,1.3687891,"('doubtful', 'determined')",0.77021927,0.6938827,1.239803,0.91371953,-0.08669378,-0.36000842,0.8107057,0.6540957,0.15661
80,1.2542635,1.7231114,"('dominated', 'dominating')",-1.4697461,-1.4371905,0.99768806,0.8825772,-1.0354686,-1.1346787,-0.0633158,0.0084548,-0.0717706
24,1.2373213,2.091751,"('dishonest', 'honest')",-0.22411892,-0.12635505,-0.5536279,-0.12345158,0.86633134,1.1992655,0.3314764,0.7603025,-0.4288261
2,1.2363901,1.0581911,"('unlikable', 'likable')",0.3611363,0.4159093,0.8702234,0.95003116,0.6524307,0.73638356,0.7800452,0.7901287,-0.0100835
15,1.1319789,0.5619962,"('boring', 'funny')",0.6987762,0.2944249,-0.11992717,-0.61373365,0.97656196,0.57510406,0.6718475,0.2044479,0.4673996
14,1.1311728,1.4144825,"('antisocial', 'social')",0.15718594,0.023226872,0.8697345,0.92063564,-0.6918585,-0.7118433,0.3665587,0.4116254,-0.0450667
81,1.1231747,1.7183701,"('submissive', 'aggressive')",0.009388935,-0.13737285,0.5696896,0.60057855,-0.41631567,-0.39746106,0.3214844,0.4460287,-0.1245443
69,1.0984433,0.56421816,"('lazy', 'industrious')",1.1866575,1.170664,1.1641921,1.1694182,-0.14570093,-0.096820265,0.8258981,0.70187,0.1240281
85,1.0805851,-0.1008212,"('insignificant', 'prestigious')",1.6741425,1.46662,0.7449709,0.29745525,0.8491693,0.484308,1.087217,0.5368905,0.5503265
34,1.0745665,1.1870683,"('mean', 'honorable')",0.2653194,0.1677161,-0.023037314,0.10079828,5.354144,5.8006225,1.6677482,1.8140513,-0.1463031
73,1.0633429,1.0472836,"('helpless', 'self-reliant')",1.131905,1.2231065,-0.5856881,-0.4367886,-3.2911024,-3.198208,-0.4203857,-0.3411517,-0.079234
54,1.0051957,0.86219424,"('incapable', 'capable')",0.41826478,0.2165819,-0.08651096,0.073581524,0.9458153,0.9871888,0.5706912,0.5348866,0.0358046
25,-1.0022601,-1.5561066,"('egoistic', 'altruistic')",0.60121906,0.62472486,1.3945566,1.0439425,1.2881001,1.2653731,0.5704039,0.3444835,0.2259204
56,0.9810106,1.4461058,"('impractical', 'practical')",0.96328086,0.7093186,0.54593956,0.43554428,0.44859353,0.20043203,0.7347062,0.6978502,0.036856
50,0.96572995,0.81285465,"('clumsy', 'skillful')",-0.043729775,-0.035572886,0.60046464,0.6818469,-0.19582671,0.012175165,0.3316595,0.367826,-0.0361665
30,0.9316245,0.7985277,"('intolerant', 'tolerant')",0.9903164,0.8494893,0.27021372,0.34635383,1.2506195,1.198777,0.8606935,0.7982869,0.0624066
29,-0.9245448,-0.8213854,"('unfair', 'fair')",-0.021628393,-0.12144444,-0.8304145,-0.89274806,-1.3066064,-1.1877832,-0.7707986,-0.7558403,-0.0149583
26,0.8610458,0.65423167,"('hardhearted', 'benevolent')",1.1695145,1.2325106,1.2726389,1.15436,1.4720803,1.7193296,1.1938199,1.1901081,0.0037118
45,0.84991294,1.223489,"('incompetent', 'competent')",-0.81166464,-0.831195,0.65056646,0.8619541,-0.49568903,-0.47006905,0.0482814,0.1960448,-0.1477634
41,0.8409704,0.82526165,"('unforgiving', 'forgiving')",-0.20537822,-0.18404229,0.508428,0.5772459,0.4229039,0.3419057,0.391731,0.3900928,0.0016382
19,0.8385813,0.69811654,"('inhospitable', 'hospitable')",0.82220393,0.69626415,-0.22166428,-0.20331171,0.21872616,0.18423098,0.4144618,0.343825,0.0706368
75,0.8311126,0.08473951,"('meek', 'impulsive')",0.33105275,0.19933625,0.03273046,-0.38029188,0.12090133,-0.2719074,0.3289493,-0.0920309,0.4209802
84,0.80838984,0.81556255,"('inferior', 'superior')",1.3653243,1.2901185,0.5988094,0.37716857,0.5687937,0.62243086,0.8353294,0.7763201,0.0590093
43,0.7894332,1.9251246,"('irresponsible', 'responsible')",-0.8488339,-0.7039069,-1.2593942,-0.7315682,0.11228544,0.51374114,-0.3016274,0.2508477,-0.5524751
8,-0.7834387,-1.1967014,"('unaffectionate', 'affectionate')",0.13504055,0.13511893,-0.6317655,-0.730309,0.116288684,0.21633363,-0.2909687,-0.3938895,0.1029208
38,0.7639131,0.61911744,"('untruthful', 'truthful')",0.6514037,0.4820423,-0.002919387,0.11059289,0.31104755,0.31696787,0.4308612,0.3821801,0.0486811
3,-0.7582071,-0.12430905,"('repellent', 'pleasant')",-0.9117191,-0.91958153,0.043969415,0.3661699,-0.12786187,-0.038698263,-0.4384547,-0.1791047,-0.25935
