,analog_male,analog_female,tuple,devices_male,devices_female,inc_male,inc_female,average_male,average_female,male-female
42,-2.3156219,-2.334414,"('unreliable', 'reliable')",-2.1202517,-2.1440136,-3.437023,-3.412484,-2.6242987,-2.630304,0.0060053
54,-1.8239396,-1.9079185,"('incapable', 'capable')",-1.9462485,-2.0414503,0.7828223,0.72975934,-0.9957886,-1.0732031,0.0774145
66,-1.8119378,-1.9461511,"('inactive', 'active')",-1.2946784,-1.5088545,0.867338,0.76915437,-0.7464261,-0.8952838,0.1488577
70,-1.662795,-1.3671501,"('lethargic', 'energetic')",-1.3809755,-1.3018692,0.006105624,0.2482884,-1.0125549,-0.8069103,-0.2056446
45,-1.6393546,-1.5499835,"('incompetent', 'competent')",-0.40957397,-0.27703565,-0.39645514,-0.25770542,-0.8151278,-0.6949082,-0.1202196
64,-1.5726309,-1.5109806,"('shy', 'confident')",-0.6071297,-0.55183244,-6.218484,-6.1310987,-2.799415,-2.7313039,-0.0681111
2,-1.5421375,-1.551178,"('unlikable', 'likable')",-0.7278587,-0.7835561,0.29902524,0.21313603,-0.6569903,-0.7071993,0.050209
19,-1.4381135,-1.6213021,"('inhospitable', 'hospitable')",-1.2414635,-1.3030645,0.034617584,-0.06307173,-0.8816531,-0.9958127,0.1141596
0,-1.3987038,-1.3125858,"('unsociable', 'sociable')",-0.50853825,-0.4928525,-0.3697437,-0.26917997,-0.7589952,-0.6915394,-0.0674558
10,-1.3856258,-1.209971,"('unsympathetic', 'sympathetic')",-0.7155715,-0.67739564,-0.568791,-0.39693335,-0.8899961,-0.7614333,-0.1285628
31,-1.3156971,-1.4290812,"('evil', 'good')",-0.61282784,-0.6057395,-0.58734477,-0.81501937,-0.8386232,-0.9499466,0.1113234
48,1.3118198,1.3786544,"('unintelligent', 'intelligent')",1.0760522,1.2195573,0.8785825,0.97541416,1.0888182,1.1912087,-0.1023905
43,-1.2375729,-1.0199226,"('irresponsible', 'responsible')",-1.2173055,-1.0015582,-0.020201262,0.16853401,-0.8250265,-0.6176489,-0.2073776
41,-1.2087823,-1.2857393,"('unforgiving', 'forgiving')",-0.67272025,-0.5851859,0.20341295,0.0770022,-0.5593632,-0.5979743,0.0386111
51,-1.1964751,-0.96371555,"('uneducated', 'educated')",0.11346471,0.12165806,0.56916314,0.6196499,-0.1712824,-0.0741359,-0.0971465
50,-1.1876321,-1.3858492,"('clumsy', 'skillful')",-0.03847532,-0.15377662,-0.0059752315,-0.03352208,-0.4106942,-0.5243827,0.1136885
5,-1.1468731,-1.314051,"('distant', 'outgoing')",-1.5743649,-1.6710598,-0.31830636,-0.53890705,-1.0131815,-1.1746726,0.1614911
16,-1.1094769,-1.3783885,"('unpopular', 'popular')",-0.038707532,-0.30640796,0.52010614,0.2727077,-0.2093594,-0.4706963,0.2613369
68,-1.0915452,-1.16568,"('dependent', 'independent')",-0.47034594,-0.53614676,-0.09024575,-0.092427954,-0.5507123,-0.5980849,0.0473726
22,-1.0377929,-0.7270631,"('untrustworthy', 'trustworthy')",-0.60052085,-0.39713186,-0.74513155,-0.6934217,-0.7944818,-0.6058722,-0.1886096
13,-0.99686736,-0.7054332,"('impolite', 'polite')",-0.22271399,-0.06573304,-0.5182292,-0.35525733,-0.5792702,-0.3754745,-0.2037957
74,-0.9732988,-1.0037432,"('undedicated', 'dedicated')",-0.24193048,-0.3192456,0.046608392,-0.019515196,-0.3895403,-0.4475013,0.057961
18,-0.9583318,-1.1631823,"('disagreeable', 'welcoming')",-0.91271603,-0.99568486,-0.31448504,-0.4857939,-0.7285109,-0.8815536,0.1530427
46,-0.9394423,-0.75844836,"('uncompetitive', 'competitive')",-0.0116693005,-0.028830372,-0.46888006,-0.36028424,-0.4733305,-0.382521,-0.0908095
76,-0.92434704,-0.7617743,"('anxious', 'daring')",-0.42593336,-0.31289047,0.18826497,0.3728321,-0.3873385,-0.2339443,-0.1533942
87,-0.91657525,-0.98812103,"('unsuccessful', 'successful')",0.64297724,0.48465663,0.7861215,0.85783434,0.1708412,0.1181233,0.0527179
75,-0.9086792,-0.870063,"('meek', 'impulsive')",-0.7834281,-0.7299496,-0.30951273,-0.34827593,-0.6672066,-0.6494295,-0.0177771
32,-0.89951456,-0.70899284,"('unkind', 'kind')",-0.73672915,-0.6452849,0.60714495,0.7889885,-0.3430329,-0.1884298,-0.1546031
33,0.8727262,0.66687346,"('wrong', 'right')",0.20044544,0.17211401,-0.7219285,-0.8427426,0.117081,-0.0012517,0.1183327
84,0.85828716,0.71134883,"('inferior', 'superior')",-0.043710336,-0.14172715,0.9548426,0.93699735,0.5898065,0.5022063,0.0876002
4,-0.84859216,-0.999537,"('disliked', 'liked')",-0.07461983,-0.17960644,-5.5294642,-5.811306,-2.1508921,-2.3301498,0.1792577
37,-0.8430307,-0.95450217,"('fake', 'genuine')",-0.5057733,-0.5532654,0.089597896,0.17526866,-0.4197354,-0.4441663,0.0244309
6,-0.82811415,-1.0083994,"('distant', 'open')",-1.56756,-1.6058313,0.09205186,-0.1632171,-0.7678741,-0.9258159,0.1579418
67,-0.81741893,-0.96141136,"('doubtful', 'determined')",-0.45094532,-0.6201798,-1.0133845,-1.0278609,-0.7605829,-0.8698173,0.1092344
82,-0.7868608,-0.6507611,"('poor', 'rich')",0.04034971,0.09773185,5.6408963,5.7481995,1.6314618,1.7317235,-0.1002617
65,-0.77875173,-0.6934118,"('insecure', 'secure')",0.36941102,0.38006642,-0.3657665,-0.18272316,-0.2583691,-0.1653562,-0.0930129
79,-0.74304277,-0.83884007,"('wavering', 'unwavering')",-1.8049018,-1.7329043,-0.1511139,-0.22061008,-0.8996862,-0.9307849,0.0310987
20,0.72949815,0.6763258,"('rough', 'thoughtful')",1.0942864,1.1587213,1.2591113,1.2991991,1.0276319,1.0447488,-0.0171169
62,-0.71896064,-0.4953592,"('incompetent', 'brilliant')",-0.49560845,-0.30128127,-0.646696,-0.35782012,-0.6204217,-0.3848202,-0.2356015
63,-0.7092324,-0.6353093,"('unperceptive', 'insightful')",-0.46996742,-0.4319077,0.79478776,0.900421,-0.1281374,-0.0555987,-0.0725387
38,-0.70750946,-0.5438505,"('untruthful', 'truthful')",-0.8661246,-0.65250874,-0.38285017,-0.37556976,-0.6521614,-0.5239763,-0.1281851
12,-0.7035909,-0.72997475,"('unsupportive', 'supportive')",-0.32507592,-0.2984494,-1.7167053,-1.6762038,-0.9151241,-0.9015427,-0.0135814
39,0.68827355,0.68410033,"('exploitative', 'cooperative')",0.44386846,0.4009018,0.12463091,0.22099008,0.4189243,0.4353307,-0.0164064
49,-0.64593416,-0.94419664,"('unable', 'able')",-0.24198082,-0.33155948,-0.05744046,-0.06472685,-0.3151185,-0.4468277,0.1317092
60,0.62905097,0.7854969,"('inefficient', 'efficient')",1.0594221,1.1005254,-0.17515111,0.053438235,0.5044407,0.6464868,-0.1420461
44,-0.6230718,-0.64049065,"('prejudiced', 'unprejudiced')",-0.44125432,-0.48687527,-1.1132073,-1.0859772,-0.7258445,-0.737781,0.0119365
72,-0.6118584,-0.60682255,"('unambitious', 'ambitious')",-0.8403113,-0.6969261,-1.2888521,-1.0962698,-0.9136739,-0.8000062,-0.1136677
61,0.6020265,0.47316673,"('illogical', 'logical')",0.32210934,0.2792651,0.33246413,0.36321148,0.4188667,0.3718811,0.0469856
21,-0.59179616,-0.60831106,"('immoral', 'moral')",-0.10147845,-0.11877752,-0.68052787,-0.58788466,-0.4579341,-0.4383244,-0.0196097
52,-0.58983105,-0.96029335,"('irrational', 'rational')",-0.9211069,-1.1702946,-0.28122124,-0.60234755,-0.5973864,-0.9109786,0.3135922
56,0.58578634,0.75855243,"('impractical', 'practical')",0.04223392,0.27892718,-0.8015162,-0.62779725,-0.057832,0.1365608,-0.1943928
25,0.57459116,0.3195455,"('egoistic', 'altruistic')",-0.037362143,-0.07778736,1.470126,1.4002641,0.6691183,0.5473408,0.1217775
17,-0.5404977,-0.58713853,"('nasty', 'nice')",-0.38717145,-0.42162466,-0.45144644,-0.5262486,-0.4597052,-0.5116706,0.0519654
36,0.53669053,0.12337834,"('hostile', 'amicable')",-0.6081743,-0.79220086,0.51907676,0.102144346,0.1491977,-0.1888927,0.3380904
14,-0.5050062,-0.43144515,"('antisocial', 'social')",0.39142,0.41051593,-0.5943657,-0.40137377,-0.235984,-0.1407677,-0.0952163
55,-0.48052636,-0.3706445,"('incompetent', 'clever')",0.8004341,0.9350804,0.16972786,0.41662556,0.1632119,0.3270205,-0.1638086
47,-0.4586304,-0.4514104,"('stupid', 'smart')",0.15790933,0.03486287,5.193663,5.171185,1.6309807,1.5848792,0.0461015
59,-0.4479575,-0.72959155,"('foolish', 'wise')",-1.1798326,-1.3931696,-0.06482649,-0.30526656,-0.5642055,-0.8093426,0.2451371
57,-0.432295,-0.42054152,"('unimaginative', 'imaginative')",-0.09413693,-0.09327138,-2.309068,-2.342796,-0.9451666,-0.952203,0.0070364
3,-0.42253515,-0.32192916,"('repellent', 'pleasant')",-0.14245194,-0.14833184,0.2722935,0.42696863,-0.0975645,-0.0144308,-0.0831337
29,-0.422044,-0.4902805,"('unfair', 'fair')",-0.9345203,-0.90582263,-0.39018607,-0.42637736,-0.5822501,-0.6074935,0.0252434
28,0.41533792,0.40568912,"('disloyal', 'loyal')",-0.3059973,-0.23374042,0.844329,0.8844583,0.3178899,0.3521357,-0.0342458
11,-0.39633137,-0.2823223,"('unhelpful', 'helpful')",0.3034135,0.29716238,1.6198618,1.7906815,0.5089813,0.6018405,-0.0928592
58,-0.38362467,-0.5184686,"('undiscriminating', 'discriminating')",0.9042353,0.83328414,0.22863744,0.14143011,0.2497494,0.1520819,0.0976675
15,0.3825792,0.40669295,"('boring', 'funny')",-0.25360835,-0.13206685,0.42077133,0.3952314,0.1832474,0.2232858,-0.0400384
85,0.3179563,-0.14204839,"('insignificant', 'prestigious')",-0.4739222,-0.6632707,0.9059867,0.56937873,0.250007,-0.0786468,0.3286538
80,-0.3179226,-0.074526176,"('dominated', 'dominating')",0.50181526,0.582245,-0.98235595,-0.8239355,-0.2661544,-0.1054056,-0.1607488
26,0.30014527,0.21629722,"('hardhearted', 'benevolent')",0.45569772,0.521846,1.6488776,1.5752511,0.8015735,0.7711314,0.0304421
8,-0.2927555,-0.37792706,"('unaffectionate', 'affectionate')",-0.8341414,-0.8527169,0.4546065,0.36603406,-0.2240968,-0.2882033,0.0641065
24,-0.29180747,-0.111225024,"('dishonest', 'honest')",-2.2591774,-2.0914724,0.28088012,0.37255412,-0.7567015,-0.6100478,-0.1466537
73,0.2736149,0.23969302,"('helpless', 'self-reliant')",0.18829575,0.18907091,-3.0590186,-3.1250794,-0.8657026,-0.8987718,0.0330692
71,0.23457229,0.002991315,"('diffident', 'self-confident')",0.3300349,0.11644761,0.5382034,0.56704694,0.3676035,0.2288286,0.1387749
23,-0.22485597,-0.045591734,"('insincere', 'sincere')",-0.51630944,-0.41507518,4.8795266,5.1119685,1.3794537,1.5504338,-0.1709801
53,-0.20873018,-0.22828168,"('uncreative', 'creative')",-0.22398621,-0.17654717,0.91345584,0.81948376,0.1602465,0.1382183,0.0220282
35,-0.19743653,-0.58471614,"('corrupt', 'incorrupt')",-0.5066844,-0.6675318,0.06633131,-0.25758132,-0.2125965,-0.5032764,0.2906799
1,-0.14512676,-0.14516687,"('unfriendly', 'friendly')",-0.971826,-0.983681,1.5523846,1.4327992,0.1451439,0.1013171,0.0438268
30,0.1271654,0.27491862,"('intolerant', 'tolerant')",0.8709123,0.9134155,0.91707355,0.8815578,0.6383838,0.689964,-0.0515802
9,-0.10528569,-0.08011941,"('unaffectionate', 'caring')",-1.012198,-0.95973045,0.6553183,0.67089957,-0.1540551,-0.1229834,-0.0310717
69,0.09270005,-0.3284251,"('lazy', 'industrious')",0.7595775,0.57775193,-0.19319378,-0.34029046,0.2196946,-0.0303212,0.2500158
88,0.0752986,0.08284554,"('low', 'eminent')",0.13584477,0.18345955,0.09975933,0.1166679,0.1036342,0.1276577,-0.0240235
86,-0.07153734,0.052146427,"('uninfluential', 'influential')",-0.37505627,-0.28266984,-0.06535122,-0.044199016,-0.1706483,-0.0915741,-0.0790742
7,-0.0709429,-0.016495882,"('insensitive', 'sensitive')",0.23025936,0.27277696,0.5718005,0.75144935,0.2437056,0.3359102,-0.0922046
40,-0.066909306,-0.03612318,"('stingy', 'generous')",0.31257546,0.29166377,-1.0312563,-1.1410033,-0.2618634,-0.2951542,0.0332908
34,-0.054508224,-0.30709437,"('mean', 'honorable')",-0.21486047,-0.38609877,5.8029265,5.8226247,1.8445193,1.7098106,0.1347087
78,-0.04541728,-0.18971306,"('nonresilient', 'resilient')",0.71862495,0.6906412,0.65918523,0.7488472,0.444131,0.4165918,0.0275392
27,-0.04309459,-0.035307966,"('hardhearted', 'softhearted')",-0.13158473,-0.15148872,1.4854447,1.4574572,0.4369218,0.4235535,0.0133683
83,-0.036310703,-0.1559868,"('powerless', 'powerful')",-0.52006483,-0.5349203,-1.1736354,-1.1513737,-0.5766703,-0.6140936,0.0374233
77,-0.020161994,-0.06950656,"('unmotivated', 'motivated')",0.4575894,0.33061603,-1.1772628,-1.1304494,-0.2466118,-0.28978,0.0431682
81,-0.009575054,0.22769359,"('submissive', 'aggressive')",0.17781824,0.26971748,-0.6397708,-0.42580476,-0.1571759,0.0238688,-0.1810447
