,mattel_male,mattel_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.5305692,-1.628248,"('unsympathetic', 'sympathetic')",-0.4385659,-0.36498892,-0.9845675,-0.9966184,0.0120509
69,1.4517995,1.6564531,"('lazy', 'industrious')",-0.63556266,-0.6443731,0.4081184,0.50604,-0.0979216
70,-1.1302965,-1.2360629,"('lethargic', 'energetic')",0.28879887,0.26534835,-0.4207488,-0.4853573,0.0646085
45,-1.1016947,-1.2086087,"('incompetent', 'competent')",-0.4645614,-0.4312552,-0.783128,-0.819932,0.036804
64,-1.0752442,-0.8985317,"('shy', 'confident')",-6.458208,-6.5742097,-3.766726,-3.7363706,-0.0303554
3,-1.0338265,-1.0483712,"('repellent', 'pleasant')",0.21079682,0.13427965,-0.4115148,-0.4570458,0.045531
65,-0.94612634,-1.0469278,"('insecure', 'secure')",-0.6702183,-0.75119394,-0.8081723,-0.8990608,0.0908885
16,-0.8711804,-0.6630414,"('unpopular', 'popular')",0.29433772,0.40825307,-0.2884213,-0.1273942,-0.1610271
66,-0.8709957,-0.6884959,"('inactive', 'active')",0.6719738,0.73618937,-0.0995109,0.0238467,-0.1233576
71,0.8654688,1.0644495,"('diffident', 'self-confident')",0.4815453,0.61534935,0.673507,0.8398994,-0.1663924
42,-0.8527344,-0.86474234,"('unreliable', 'reliable')",-3.2411282,-3.3308644,-2.0469313,-2.0978034,0.0508721
57,-0.84838045,-1.1787688,"('unimaginative', 'imaginative')",-2.4442677,-2.6215246,-1.6463242,-1.9001467,0.2538225
67,0.84257585,0.79886204,"('doubtful', 'determined')",-0.73869646,-0.7212211,0.0519397,0.0388205,0.0131192
11,-0.8416701,-0.99479014,"('unhelpful', 'helpful')",1.8214296,1.7941395,0.4898798,0.3996747,0.0902051
46,-0.83557236,-0.70401335,"('uncompetitive', 'competitive')",-0.6877553,-0.73195857,-0.7616638,-0.717986,-0.0436778
25,0.83085483,0.7968058,"('egoistic', 'altruistic')",1.4755033,1.3748549,1.153179,1.0858303,0.0673487
39,0.8121674,0.7933405,"('exploitative', 'cooperative')",0.21118227,0.15235062,0.5116748,0.4728456,0.0388292
88,-0.79613847,-0.8295531,"('low', 'eminent')",0.24693093,0.28703594,-0.2746038,-0.2712586,-0.0033452
14,-0.791467,-0.7854238,"('antisocial', 'social')",-1.1035025,-1.0793982,-0.9474847,-0.932411,-0.0150737
0,-0.7403647,-0.71815556,"('unsociable', 'sociable')",-0.6330256,-0.6129165,-0.6866951,-0.665536,-0.0211591
44,-0.7385887,-0.778171,"('prejudiced', 'unprejudiced')",-1.6579984,-1.7927333,-1.1982936,-1.2854521,0.0871585
73,0.7014083,0.69046354,"('helpless', 'self-reliant')",-2.599715,-2.7282073,-0.9491533,-1.0188719,0.0697186
77,-0.69786644,-0.65121585,"('unmotivated', 'motivated')",-1.181498,-1.2140249,-0.9396822,-0.9326204,-0.0070618
18,-0.6893943,-0.7221673,"('disagreeable', 'welcoming')",-0.13578403,-0.14276464,-0.4125892,-0.432466,0.0198768
81,-0.6886513,-0.8842319,"('submissive', 'aggressive')",-1.2403884,-1.296977,-0.9645199,-1.0906045,0.1260846
7,-0.67305255,-0.7516877,"('insensitive', 'sensitive')",0.75440466,0.7472976,0.0406761,-0.0021951,0.0428712
55,-0.64242834,-0.67215717,"('incompetent', 'clever')",-0.006385427,0.00845876,-0.3244069,-0.3318492,0.0074423
80,-0.63921237,-0.51362014,"('dominated', 'dominating')",-1.449096,-1.282714,-1.0441542,-0.8981671,-0.1459871
56,0.6034256,0.57197434,"('impractical', 'practical')",-0.57942414,-0.59315854,0.0120007,-0.0105921,0.0225928
35,0.59929913,0.6849556,"('corrupt', 'incorrupt')",0.07365013,0.004128784,0.3364746,0.3445422,-0.0080676
13,-0.5937907,-0.66444194,"('impolite', 'polite')",-0.57611156,-0.569773,-0.5849512,-0.6171075,0.0321563
82,-0.5935604,-0.5577342,"('poor', 'rich')",5.7784185,5.8635483,2.5924292,2.6529071,-0.0604779
76,-0.5811351,-0.73320955,"('anxious', 'daring')",0.052932985,-0.087199286,-0.2641011,-0.4102044,0.1461033
51,-0.57302976,-0.5328846,"('uneducated', 'educated')",1.0685371,1.168515,0.2477537,0.3178152,-0.0700615
37,0.570375,0.5624625,"('fake', 'genuine')",0.38131183,0.42293984,0.4758434,0.4927012,-0.0168578
4,-0.5699823,-0.39716357,"('disliked', 'liked')",-6.164513,-6.242651,-3.3672476,-3.3199072,-0.0473404
78,-0.52241504,-0.26641822,"('nonresilient', 'resilient')",0.47529224,0.6516692,-0.0235614,0.1926255,-0.2161869
24,-0.49796447,-0.6577146,"('dishonest', 'honest')",0.86752754,0.83683294,0.1847815,0.0895592,0.0952223
43,-0.4888867,-0.5540502,"('irresponsible', 'responsible')",0.49712178,0.5164047,0.0041175,-0.0188228,0.0229403
61,-0.48683074,-0.43407422,"('illogical', 'logical')",0.16657725,0.23826475,-0.1601267,-0.0979047,-0.062222
20,0.46955693,0.41830102,"('rough', 'thoughtful')",1.4120656,1.2342533,0.9408113,0.8262771,0.1145342
21,-0.457747,-0.3788862,"('immoral', 'moral')",-0.9275941,-0.8899026,-0.6926706,-0.6343944,-0.0582762
33,0.4553624,0.5516824,"('wrong', 'right')",-0.46821052,-0.40342435,-0.0064241,0.074129,-0.0805531
27,-0.4527301,-0.41906387,"('hardhearted', 'softhearted')",1.588192,1.6912383,0.567731,0.6360872,-0.0683562
84,0.44595554,0.41489545,"('inferior', 'superior')",1.2905959,1.1981963,0.8682757,0.8065459,0.0617298
75,0.43710974,0.3303905,"('meek', 'impulsive')",-0.14195779,-0.27155998,0.147576,0.0294153,0.1181607
68,-0.4324541,-0.45261168,"('dependent', 'independent')",0.1692847,0.13222475,-0.1315847,-0.1601935,0.0286088
53,0.42369512,0.4545462,"('uncreative', 'creative')",0.8440507,0.7199536,0.6338729,0.5872499,0.046623
62,-0.41727716,-0.41771373,"('incompetent', 'brilliant')",0.1563078,0.26226112,-0.1304847,-0.0777263,-0.0527584
28,-0.41099498,-0.60439944,"('disloyal', 'loyal')",0.8420784,0.82670754,0.2155417,0.111154,0.1043877
17,-0.4026034,-0.37953407,"('nasty', 'nice')",-0.33136544,-0.23857796,-0.3669844,-0.309056,-0.0579284
1,0.39082506,0.372648,"('unfriendly', 'friendly')",1.859303,1.8627901,1.125064,1.1177191,0.0073449
29,-0.3775903,-0.44453365,"('unfair', 'fair')",0.023042012,-0.06381953,-0.1772741,-0.2541766,0.0769025
59,0.37659281,0.32878262,"('foolish', 'wise')",0.582754,0.534119,0.4796734,0.4314508,0.0482226
52,-0.36991933,-0.41866013,"('irrational', 'rational')",0.14471915,0.21232703,-0.1126001,-0.1031666,-0.0094335
86,-0.35846698,-0.5217068,"('uninfluential', 'influential')",0.11908716,0.120299466,-0.1196899,-0.2007037,0.0810138
22,-0.3419391,-0.4727414,"('untrustworthy', 'trustworthy')",-0.9918086,-1.0789558,-0.6668738,-0.7758486,0.1089748
2,0.3402987,0.25126594,"('unlikable', 'likable')",0.34334907,0.29411015,0.3418239,0.272688,0.0691359
5,-0.33885908,-0.081464134,"('distant', 'outgoing')",0.026659291,0.07618278,-0.1560999,-0.0026407,-0.1534592
63,-0.33268172,-0.25476676,"('unperceptive', 'insightful')",1.1694705,1.2248029,0.4183944,0.485018,-0.0666236
87,-0.32206878,-0.17592674,"('unsuccessful', 'successful')",0.8590766,0.8695738,0.2685039,0.3468235,-0.0783196
79,-0.31776333,-0.20864412,"('wavering', 'unwavering')",0.39692387,0.4347741,0.0395803,0.113065,-0.0734847
83,0.31415164,0.46054673,"('powerless', 'powerful')",-0.9429048,-0.88148403,-0.3143766,-0.2104686,-0.103908
60,0.31102207,0.26333407,"('inefficient', 'efficient')",-0.17885886,-0.17461699,0.0660816,0.0443585,0.0217231
6,-0.30805266,-0.19302182,"('distant', 'open')",0.39645788,0.44703168,0.0442026,0.1270049,-0.0828023
58,0.27971414,0.13539085,"('undiscriminating', 'discriminating')",0.30118638,0.16396025,0.2904503,0.1496755,0.1407748
36,0.26704955,0.30258656,"('hostile', 'amicable')",0.4112792,0.25453997,0.3391644,0.2785633,0.0606011
32,-0.26332554,-0.23662141,"('unkind', 'kind')",0.6175508,0.71027285,0.1771126,0.2368257,-0.0597131
72,-0.2556526,-0.42969328,"('unambitious', 'ambitious')",-0.7132001,-0.72804105,-0.4844263,-0.5788672,0.0944409
54,0.2534819,0.2867224,"('incapable', 'capable')",1.2814387,1.3198977,0.7674603,0.80331,-0.0358497
50,0.23877198,0.36768603,"('clumsy', 'skillful')",0.45254606,0.5555334,0.345659,0.4616097,-0.1159507
49,0.21069711,0.16214477,"('unable', 'able')",0.08292,0.158785,0.1468086,0.1604649,-0.0136563
23,-0.18361352,-0.30926606,"('insincere', 'sincere')",5.768205,5.9079804,2.7922959,2.7993572,-0.0070613
19,0.18154308,0.3664317,"('inhospitable', 'hospitable')",0.7165346,0.86666226,0.4490389,0.616547,-0.1675081
74,0.16549528,0.06827548,"('undedicated', 'dedicated')",0.017393816,0.014180373,0.0914445,0.0412279,0.0502166
15,0.1644914,0.076962724,"('boring', 'funny')",0.4938496,0.44406956,0.3291705,0.2605161,0.0686544
40,-0.15658937,-0.2525289,"('stingy', 'generous')",-1.1243513,-1.2205963,-0.6404703,-0.7365626,0.0960923
85,0.15305462,0.21118858,"('insignificant', 'prestigious')",1.0082102,1.0316164,0.5806324,0.6214025,-0.0407701
12,-0.13145901,-0.12345468,"('unsupportive', 'supportive')",-1.4802465,-1.3370497,-0.8058528,-0.7302522,-0.0756006
30,0.12763852,-0.054849356,"('intolerant', 'tolerant')",0.9427793,0.9767685,0.5352089,0.4609596,0.0742493
38,-0.12099064,-0.14367338,"('untruthful', 'truthful')",0.15279087,0.27074316,0.0159001,0.0635349,-0.0476348
9,0.08143408,-0.016179822,"('unaffectionate', 'caring')",1.1910255,1.2125156,0.6362298,0.5981679,0.0380619
34,0.0711558,0.16526568,"('mean', 'honorable')",6.0401835,5.993354,3.0556698,3.0793097,-0.0236399
48,-0.061409988,-0.22174105,"('unintelligent', 'intelligent')",0.8838806,0.9680204,0.4112353,0.3731397,0.0380956
31,-0.027987627,0.057160735,"('evil', 'good')",-0.70944726,-0.6060099,-0.3687174,-0.2744246,-0.0942928
