,akamai_male,akamai_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.512583,-2.1957798,"('unsympathetic', 'sympathetic')",-0.6884674,-0.46034265,-0.92625904,-0.8473584,-1.3757698,-1.167827,-0.2079428
0,-2.48804,-2.257737,"('unsociable', 'sociable')",-0.58748186,-0.35758436,-0.87786084,-0.7424089,-1.3177942,-1.1192433,-0.1985509
73,2.0688612,1.9346292,"('helpless', 'self-reliant')",0.65088296,0.41593516,-2.7027779,-2.8303556,0.0056554,-0.1599304,0.1655858
53,-1.7811462,-1.5204213,"('uncreative', 'creative')",0.80874425,0.8280826,0.97654104,0.87366426,0.0013797,0.0604419,-0.0590622
45,-1.7586054,-1.368573,"('incompetent', 'competent')",-0.2859853,-0.10328936,-0.8028061,-0.7114986,-0.9491323,-0.727787,-0.2213453
46,-1.6245403,-1.3790768,"('uncompetitive', 'competitive')",0.43832356,0.6958773,-0.71889234,-0.6273833,-0.6350364,-0.436861,-0.1981754
86,-1.6213636,-1.5273508,"('uninfluential', 'influential')",0.16811511,0.117285036,-0.44684,-0.56620777,-0.6333628,-0.6587578,0.025395
57,-1.5498798,-1.3378633,"('unimaginative', 'imaginative')",0.8597165,0.7330206,-2.2739694,-2.3826213,-0.9880443,-0.9958213,0.007777
23,-1.5031238,-1.1739272,"('insincere', 'sincere')",0.019909324,0.3135079,5.4745374,5.5782166,1.330441,1.5725991,-0.2421581
69,1.4801847,1.1017286,"('lazy', 'industrious')",0.2529352,0.14597459,-0.45008677,-0.61914563,0.4276777,0.2095192,0.2181585
55,-1.4464208,-1.0434302,"('incompetent', 'clever')",0.6304455,0.93972534,-0.38371095,-0.22693916,-0.3998954,-0.1102147,-0.2896807
35,1.4326063,1.1720577,"('corrupt', 'incorrupt')",-0.6794109,-0.80759156,-0.16978057,-0.09933392,0.1944716,0.0883774,0.1060942
32,-1.3482803,-1.0457082,"('unkind', 'kind')",-0.12007291,0.15635847,0.7493478,0.96661955,-0.2396685,0.0257566,-0.2654251
43,-1.3358738,-1.2194353,"('irresponsible', 'responsible')",-0.70550984,-0.5570859,-0.045085244,0.09119913,-0.6954896,-0.561774,-0.1337156
65,-1.3325555,-0.9475028,"('insecure', 'secure')",-0.37025172,-0.12663782,-0.53932506,-0.44226524,-0.7473774,-0.5054686,-0.2419088
62,-1.2370508,-0.8890041,"('incompetent', 'brilliant')",0.698042,1.057012,-0.35605392,-0.16063,-0.2983542,0.0024593,-0.3008135
63,-1.1737063,-1.0775886,"('unperceptive', 'insightful')",0.17302841,0.144816,0.7491572,0.6350912,-0.0838402,-0.0992271,0.0153869
59,1.1731732,1.0447929,"('foolish', 'wise')",-0.20596932,-0.4025872,0.37891504,0.289631,0.4487063,0.3106122,0.1380941
1,-1.1670305,-0.9842685,"('unfriendly', 'friendly')",0.5093116,0.31574416,1.9730506,1.8297315,0.4384439,0.3870691,0.0513748
14,-1.1442978,-0.715972,"('antisocial', 'social')",0.61825454,1.0780034,-1.0464071,-0.7246686,-0.5241501,-0.1208791,-0.403271
47,-1.1361774,-0.90493774,"('stupid', 'smart')",0.49335617,0.87159264,5.0426636,5.074852,1.4666141,1.6805023,-0.2138882
22,-1.1188755,-0.97144085,"('untrustworthy', 'trustworthy')",-0.19140111,-0.13449588,-0.89523935,-0.88296765,-0.735172,-0.6629682,-0.0722038
75,1.0957274,1.0875723,"('meek', 'impulsive')",0.16793454,0.03275747,-0.27525845,-0.20964274,0.3294679,0.3035624,0.0259055
51,-1.0665522,-0.863599,"('uneducated', 'educated')",-0.3938565,-0.23000456,0.21009856,0.3243498,-0.4167701,-0.2564179,-0.1603522
61,-1.0590887,-0.9532868,"('illogical', 'logical')",0.33136553,0.41572267,0.07504311,-0.02849562,-0.21756,-0.1886866,-0.0288734
85,1.0376337,0.77293134,"('insignificant', 'prestigious')",0.34549266,0.052190587,1.1340753,0.97895384,0.8390671,0.6013586,0.2377085
9,-1.0313872,-1.0100563,"('unaffectionate', 'caring')",0.38794938,0.23865438,1.5074327,1.3351381,0.2879983,0.1879121,0.1000862
13,-1.0229,-0.7263787,"('impolite', 'polite')",-0.42043683,-0.11627506,-0.4508962,-0.27089602,-0.631411,-0.3711832,-0.2602278
82,-1.0184771,-0.47629726,"('poor', 'rich')",0.3696516,0.8081578,5.812679,6.155515,1.7212844,2.1624586,-0.4411742
12,-0.9475508,-0.8811888,"('unsupportive', 'supportive')",0.3819882,0.46059355,-1.7184223,-1.832335,-0.7613283,-0.7509767,-0.0103516
