,itt_male,itt_female,tuple,inc_male,inc_female,average_male,average_female,male-female
8,-1.5333264,-1.7329855,"('unaffectionate', 'affectionate')",1.0507213,0.76217437,-0.2413025,-0.4854056,0.2441031
18,-1.4406528,-1.547364,"('disagreeable', 'welcoming')",-0.091681704,-0.2876471,-0.7661673,-0.9175056,0.1513383
86,-1.4162483,-1.6857083,"('uninfluential', 'influential')",-0.17871308,-0.3202211,-0.7974807,-1.0029647,0.205484
79,-1.3910594,-1.4479548,"('wavering', 'unwavering')",0.25314003,0.092362024,-0.5689597,-0.6777964,0.1088367
19,-1.2688012,-1.1372411,"('inhospitable', 'hospitable')",0.159517,-0.015260374,-0.5546421,-0.5762507,0.0216086
82,-1.2630538,-1.0143116,"('poor', 'rich')",6.0188746,6.02208,2.3779104,2.5038843,-0.1259739
68,-1.1700447,-0.9336069,"('dependent', 'independent')",-0.31698942,-0.20257199,-0.743517,-0.5680895,-0.1754275
38,-1.1523104,-1.3002393,"('untruthful', 'truthful')",-0.36898535,-0.16765302,-0.7606479,-0.7339462,-0.0267017
36,-1.1134257,-1.1687945,"('hostile', 'amicable')",0.7552881,0.4396633,-0.1790688,-0.3645656,0.1854968
9,-1.0169512,-1.1449778,"('unaffectionate', 'caring')",1.2090192,1.0209394,0.096034,-0.0620192,0.1580532
5,-0.9881037,-1.1125549,"('distant', 'outgoing')",-0.110158265,-0.29604793,-0.549131,-0.7043014,0.1551704
45,-0.9769787,-1.158016,"('incompetent', 'competent')",-0.5272678,-0.49353224,-0.7521232,-0.8257741,0.0736509
10,-0.9465317,-1.1578335,"('unsympathetic', 'sympathetic')",-0.71248233,-0.62081623,-0.829507,-0.8893248,0.0598178
24,-0.89717144,-0.9013232,"('dishonest', 'honest')",0.54930496,0.5211687,-0.1739332,-0.1900772,0.016144
22,-0.88067824,-1.0493327,"('untrustworthy', 'trustworthy')",-1.332476,-1.356793,-1.1065772,-1.2030629,0.0964857
60,0.87566006,1.1038643,"('inefficient', 'efficient')",-0.61970335,-0.008922221,0.1279784,0.547471,-0.4194926
