,agilent_male,agilent_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.482241,-2.3245268,"('unsympathetic', 'sympathetic')",-1.1474591,-1.1297383,-0.46487734,-0.3564202,-1.3648591,-1.2702285,-0.0946306
45,-2.3013077,-2.16317,"('incompetent', 'competent')",-1.2131193,-1.164618,-0.52571756,-0.44601524,-1.3467148,-1.2579344,-0.0887804
69,2.130743,2.0328286,"('lazy', 'industrious')",1.4693071,1.3893952,0.11014808,-0.101936884,1.2367327,1.1067623,0.1299704
24,-2.0072522,-1.970289,"('dishonest', 'honest')",-2.4627867,-2.3999538,0.33526525,0.60557294,-1.3782579,-1.25489,-0.1233679
55,-1.9047003,-1.6823437,"('incompetent', 'clever')",-0.26931447,-0.13845642,-0.19434689,-0.23735654,-0.7894539,-0.6860522,-0.1034017
3,-1.8986318,-1.815506,"('repellent', 'pleasant')",0.12981439,0.051752143,-0.020415783,-0.041880995,-0.5964111,-0.6018783,0.0054672
81,-1.8335308,-1.3487154,"('submissive', 'aggressive')",0.044682622,0.2537958,-0.57387316,-0.3769324,-0.7875738,-0.4906174,-0.2969564
82,-1.8127751,-1.6969905,"('poor', 'rich')",-0.23319322,0.006258143,5.259874,6.1917534,1.0713019,1.5003403,-0.4290384
14,-1.7675534,-1.5203291,"('antisocial', 'social')",0.04956905,0.108445406,-1.1711233,-1.0424173,-0.9630359,-0.8181003,-0.1449356
5,1.7647002,1.1860777,"('distant', 'outgoing')",-0.06563268,-0.20493016,-0.05529151,-0.05700715,0.5479253,0.3080468,0.2398785
86,-1.7481377,-1.9907963,"('uninfluential', 'influential')",-0.3260947,-0.5873463,0.0051316824,-0.33560297,-0.6897002,-0.9712485,0.2815483
76,-1.5635028,-1.0929029,"('anxious', 'daring')",0.03935565,0.20163521,-0.026570171,0.39385942,-0.5169058,-0.1658027,-0.3511031
28,-1.5265477,-1.5302019,"('disloyal', 'loyal')",-0.6900003,-0.59486806,0.69436795,0.8248323,-0.5073934,-0.4334126,-0.0739808
85,1.5128921,0.806638,"('insignificant', 'prestigious')",1.0499276,0.56239647,0.47360954,0.17271362,1.0121431,0.5139161,0.498227
32,-1.506967,-1.4364146,"('unkind', 'kind')",-0.7919741,-0.66989297,0.681346,0.83642507,-0.5391984,-0.4232941,-0.1159043
84,1.4999672,1.4078692,"('inferior', 'superior')",0.78827924,0.63897127,0.91187555,0.88557446,1.0667073,0.9774717,0.0892356
51,-1.461519,-1.4457703,"('uneducated', 'educated')",-0.058539495,-0.38040057,0.57667595,0.36765736,-0.3144609,-0.4861712,0.1717103
36,1.4565524,0.6879551,"('hostile', 'amicable')",-0.2516228,-0.6995092,0.43030065,0.013116561,0.5450768,0.0005208,0.544556
62,-1.4494131,-1.0627404,"('incompetent', 'brilliant')",0.27567342,0.5432198,-0.2059618,0.15064526,-0.4599005,-0.1229585,-0.336942
