,darden_male,darden_female,tuple,restaurants_male,restaurants_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.8273067,-1.7884449,"('unfriendly', 'friendly')",0.40912297,0.28130856,1.9575273,1.7081715,0.1797812,0.0670117,0.1127695
86,-1.497501,-1.5831219,"('uninfluential', 'influential')",0.66224265,0.5973716,-0.024431147,-0.073769815,-0.2865632,-0.3531734,0.0666102
57,-1.369109,-1.524034,"('unimaginative', 'imaginative')",0.48231894,0.5304267,-2.3647962,-2.3954988,-1.0838621,-1.129702,0.0458399
58,-1.2389449,-1.4646028,"('undiscriminating', 'discriminating')",0.01086425,-0.07834866,0.01782148,-0.23575103,-0.4034197,-0.5929008,0.1894811
0,-1.2373804,-1.121032,"('unsociable', 'sociable')",1.7151327,1.6230164,-0.3020854,-0.24363303,0.0585556,0.0861171,-0.0275615
17,-1.1455599,-1.0646881,"('nasty', 'nice')",-0.71561086,-0.5939911,-0.6020329,-0.43210047,-0.8210679,-0.6969266,-0.1241413
35,1.0936941,1.3685225,"('corrupt', 'incorrupt')",-1.6283551,-1.5646076,-0.08171305,-0.126933,-0.205458,-0.1076727,-0.0977853
77,-1.0451626,-1.119572,"('unmotivated', 'motivated')",-0.15568376,-0.17493537,-1.2963902,-1.042156,-0.8324122,-0.7788877,-0.0535245
10,-0.99951154,-1.0108699,"('unsympathetic', 'sympathetic')",0.2160734,0.23635677,-0.3793598,-0.31298235,-0.3875993,-0.3624985,-0.0251008
27,-0.9954549,-1.0405082,"('hardhearted', 'softhearted')",0.18418412,0.19261861,1.6136883,1.3973112,0.2674725,0.1831406,0.0843319
39,0.99061686,1.0847185,"('exploitative', 'cooperative')",1.3937594,1.5018326,0.43265238,0.7241278,0.9390096,1.1035597,-0.1645501
48,-0.9440562,-1.0263649,"('unintelligent', 'intelligent')",0.42825058,0.3463539,0.34705424,0.42517358,-0.0562505,-0.0849458,0.0286953
83,-0.9398164,-1.0438558,"('powerless', 'powerful')",-0.26163664,-0.28032786,-1.3796532,-1.3310223,-0.8603687,-0.8850687,0.0247
72,-0.93929344,-0.73847383,"('unambitious', 'ambitious')",-0.74513173,-0.6035715,-1.0140285,-0.78136605,-0.8994846,-0.7078038,-0.1916808
