,bath_male,bath_female,tuple,&_male,&_female,body_male,body_female,works_male,works_female,inc_male,inc_female,average_male,average_female,male-female
26,2.037425,1.8015039,"('hardhearted', 'benevolent')",1.6434864,1.2701054,0.96529096,0.64058703,0.51062715,0.1514667,1.6978066,1.5444496,1.3709272,1.0816225,0.2893047
3,-1.6478274,-1.5380746,"('repellent', 'pleasant')",-0.76744515,-0.72593594,-0.036915455,-0.080867924,0.22449768,0.29222113,0.34460416,0.33136263,-0.3766172,-0.344259,-0.0323582
71,1.5989016,1.603549,"('diffident', 'self-confident')",0.13508844,0.23219283,1.823723,1.8482705,-0.15448883,-0.019444518,0.27017218,0.4662041,0.7346793,0.8261544,-0.0914751
77,-1.5532115,-1.5766543,"('unmotivated', 'motivated')",-1.5747465,-1.4956393,-0.8690246,-0.7688592,-0.22726697,-0.02009621,-1.1664922,-1.2138034,-1.0781483,-1.0150105,-0.0631378
20,-1.3664789,-1.2828332,"('rough', 'thoughtful')",-0.2349718,-0.29102334,0.050337873,0.024555266,-0.13102202,-0.13343278,1.1396654,1.1464947,-0.1084939,-0.1072479,-0.001246
73,1.3653793,1.4418992,"('helpless', 'self-reliant')",1.2840874,1.3341662,2.213884,2.292691,0.3172908,0.3680827,-3.0443194,-2.897285,0.4272645,0.5079107,-0.0806462
8,1.3427622,1.2061224,"('unaffectionate', 'affectionate')",-0.86821586,-0.87422085,-0.022072874,-0.05549457,-1.1832963,-1.3325233,0.7902079,0.9217295,0.011877,-0.0268774,0.0387544
15,1.3197075,1.0972943,"('boring', 'funny')",0.6974928,0.53963864,1.0458304,1.0040985,-0.49341065,-0.54555887,0.5569422,0.5803466,0.6253125,0.5351638,0.0901487
68,-1.3191046,-1.2336313,"('dependent', 'independent')",-0.2242828,-0.03156772,-0.87195164,-0.719788,-0.9335072,-0.78587604,-0.43472365,-0.39148834,-0.756714,-0.6324703,-0.1242437
6,1.2863988,1.1377369,"('distant', 'open')",0.42885748,0.38459712,0.66256726,0.66138226,-1.5487913,-1.5689794,0.38648525,0.6224809,0.2431035,0.2474436,-0.0043401
9,1.1930398,1.1499535,"('unaffectionate', 'caring')",-0.5696125,-0.6302286,0.51102173,0.41008234,-0.3481601,-0.36164945,1.1338546,1.3097647,0.3840287,0.3755845,0.0084442
74,1.1744723,1.144811,"('undedicated', 'dedicated')",1.1381962,1.0792377,0.8921344,0.9651799,0.8752419,0.99388456,0.31564546,0.20740353,0.879138,0.8781034,0.0010346
85,1.1434635,0.8718698,"('insignificant', 'prestigious')",0.5219623,0.30859393,1.5522751,1.4120256,-0.6073989,-0.8544672,0.6784889,0.66462433,0.6577582,0.4805293,0.1772289
42,1.1134499,1.1597234,"('unreliable', 'reliable')",1.0319375,1.0120232,0.45165765,0.55765027,-0.5768831,-0.49856305,-2.8679686,-2.697549,-0.1695613,-0.093343,-0.0762183
63,-1.0861785,-0.9002925,"('unperceptive', 'insightful')",0.4072065,0.6619404,-0.338132,-0.046258457,0.16050088,0.5501275,0.64520377,0.9000117,-0.0422799,0.2331057,-0.2753856
1,1.0824698,0.88788027,"('unfriendly', 'friendly')",-0.33099085,-0.3055646,1.1559561,1.022263,-0.19732666,-0.29105085,1.9420192,2.0550609,0.7304255,0.6737177,0.0567078
10,-1.0578977,-0.9067567,"('unsympathetic', 'sympathetic')",-1.2007929,-1.3973037,-1.1444643,-1.2909734,-0.08685611,-0.04053761,-0.28266135,-0.35683584,-0.7545345,-0.7984815,0.043947
37,1.0261835,1.1273794,"('fake', 'genuine')",0.26467913,0.2886221,0.4207562,0.3645075,0.18778577,0.2506277,0.63202804,0.74314547,0.5062865,0.5548564,-0.0485699
84,1.0139333,1.0924418,"('inferior', 'superior')",0.3421682,0.27663752,1.0891013,1.1003847,-0.05573479,-0.011915114,0.7755494,0.8277863,0.6330035,0.657067,-0.0240635
14,1.0112673,1.0228205,"('antisocial', 'social')",0.665898,0.6010535,-0.23336403,-0.3135979,0.7859733,0.7704528,-0.4806229,-0.6775339,0.3498303,0.280639,0.0691913
29,1.0068474,1.1290108,"('unfair', 'fair')",0.48181313,0.6030249,0.30692372,0.42369068,-1.0554454,-1.1013232,-0.44742233,-0.4276849,0.0585433,0.1253437,-0.0668004
82,-0.9972436,-0.9034891,"('poor', 'rich')",0.40336648,0.510976,-1.4875147,-1.3861508,-0.35095182,-0.20385952,6.084893,6.3709245,0.7305099,0.8776802,-0.1471703
81,-0.950054,-0.8465525,"('submissive', 'aggressive')",-0.883286,-1.0489473,-1.3423274,-1.4162939,0.14487506,0.09575869,-1.0237248,-1.0496949,-0.8109034,-0.853146,0.0422426
56,0.92726934,1.1922071,"('impractical', 'practical')",-0.2359627,-0.03655092,1.1745688,1.3639024,1.6129088,1.78514,-0.19934571,-0.12537713,0.6558877,0.8358644,-0.1799767
12,0.9244584,1.1266749,"('unsupportive', 'supportive')",0.3123347,0.4266701,0.9734361,1.1609412,0.3382735,0.55103856,-1.8158671,-1.7268932,0.1465271,0.3076863,-0.1611592
88,-0.91851115,-0.91275275,"('low', 'eminent')",0.30799487,-0.015807005,0.042802338,-0.044586465,-0.1272549,-0.23818958,0.2861688,0.2866004,-0.08176,-0.1849471,0.1031871
