,jabil_male,jabil_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-1.6568605,-1.5954702,"('unfriendly', 'friendly')",1.340383,1.2578039,-0.1582387,-0.1688331,0.0105944
10,-1.3941555,-1.5780923,"('unsympathetic', 'sympathetic')",-0.11634,-0.0006751269,-0.7552478,-0.7893837,0.0341359
86,-1.3207387,-1.2847059,"('uninfluential', 'influential')",-0.01963187,-0.011669114,-0.6701853,-0.6481875,-0.0219978
53,-1.301838,-1.181527,"('uncreative', 'creative')",0.43924046,0.45203555,-0.4312988,-0.3647457,-0.0665531
13,-1.2563692,-1.2076802,"('impolite', 'polite')",-0.38096792,-0.32775447,-0.8186686,-0.7677174,-0.0509512
59,1.2522167,1.2212057,"('foolish', 'wise')",0.39489,0.25856954,0.8235533,0.7398876,0.0836657
23,-1.2349097,-1.4060086,"('insincere', 'sincere')",6.3133326,6.228181,2.5392115,2.4110861,0.1281254
9,-1.1999863,-1.282688,"('unaffectionate', 'caring')",1.0544907,0.97526395,-0.0727478,-0.153712,0.0809642
6,-1.1891445,-0.7217786,"('distant', 'open')",-0.24469721,-0.3290974,-0.7169209,-0.525438,-0.1914829
77,-1.1371667,-1.1782701,"('unmotivated', 'motivated')",-0.9596952,-0.77864695,-1.0484309,-0.9784585,-0.0699724
71,-1.1070049,-1.0354607,"('diffident', 'self-confident')",0.058580525,-0.07826954,-0.5242122,-0.5568651,0.0326529
19,-1.0715538,-0.35910773,"('inhospitable', 'hospitable')",-0.3267246,-0.1699231,-0.6991392,-0.2645154,-0.4346238
11,-1.0584153,-1.0213456,"('unhelpful', 'helpful')",1.9026973,2.0182772,0.422141,0.4984658,-0.0763248
79,-1.029839,-0.53976154,"('wavering', 'unwavering')",-0.37070385,-0.2861912,-0.7002714,-0.4129764,-0.287295
63,-1.0149497,-1.0362353,"('unperceptive', 'insightful')",1.2768081,1.4266045,0.1309292,0.1951846,-0.0642554
38,-1.0101874,-0.89588004,"('untruthful', 'truthful')",-0.20292932,-0.15010284,-0.6065583,-0.5229914,-0.0835669
5,-0.96044135,-0.5180812,"('distant', 'outgoing')",-0.5920529,-0.6757474,-0.7762471,-0.5969143,-0.1793328
82,-0.914688,-0.5708085,"('poor', 'rich')",6.3257413,6.459991,2.7055266,2.9445913,-0.2390647
34,-0.88630605,-0.8741881,"('mean', 'honorable')",6.0686793,6.0356107,2.5911865,2.5807114,0.0104751
18,0.8716953,0.66761625,"('disagreeable', 'welcoming')",0.04873582,-0.099015296,0.4602155,0.2843005,0.175915
0,-0.8440778,-1.1537062,"('unsociable', 'sociable')",-0.12966621,-0.15958473,-0.486872,-0.6566455,0.1697735
88,-0.84252864,-0.82493997,"('low', 'eminent')",0.35268524,0.44082594,-0.2449217,-0.192057,-0.0528647
