,dean_male,dean_female,tuple,foods_male,foods_female,co_male,co_female,average_male,average_female,male-female
31,-3.8870754,-4.013448,"('evil', 'good')",-0.29344735,-0.3155542,-1.0714037,-1.0085598,-1.7506421,-1.7791874,0.0285453
36,-3.777968,-3.9670742,"('hostile', 'amicable')",-0.7458032,-0.84892946,-0.53366554,-0.72831255,-1.6858123,-1.8481054,0.1622931
46,3.4256487,3.752682,"('uncompetitive', 'competitive')",0.1657576,0.10498807,-0.59744906,-0.55202985,0.9979858,1.1018801,-0.1038943
29,-2.6236923,-2.4044325,"('unfair', 'fair')",-1.0309381,-0.9584699,-1.097075,-1.006513,-1.5839017,-1.4564718,-0.1274299
81,2.592487,2.816094,"('submissive', 'aggressive')",0.4430938,0.356072,-0.5472427,-0.55393726,0.8294461,0.8727429,-0.0432968
6,-2.5614612,-2.8649662,"('distant', 'open')",0.38459915,0.38506234,-0.4714397,-0.42318547,-0.8827672,-0.9676963,0.0849291
35,-2.5268497,-2.5525274,"('corrupt', 'incorrupt')",-1.0178688,-0.98450476,-1.0386198,-1.0412915,-1.5277794,-1.5261078,-0.0016716
62,2.410927,2.958676,"('incompetent', 'brilliant')",0.5614887,0.7225948,-0.06042883,0.26899666,0.9706623,1.3167559,-0.3460936
23,2.38609,2.6173537,"('insincere', 'sincere')",-0.35103518,-0.31110203,5.7814307,6.033693,2.6054951,2.7799816,-0.1744865
4,-2.340374,-2.3138576,"('disliked', 'liked')",0.53275037,0.54908824,-6.7004337,-6.7430477,-2.8360192,-2.8359391,-8.01e-05
60,2.2726834,2.490765,"('inefficient', 'efficient')",0.4295623,0.5073889,0.19274737,0.40130222,0.9649977,1.133152,-0.1681543
5,-2.267493,-2.4648337,"('distant', 'outgoing')",0.6097453,0.66331494,-0.69512767,-0.41862652,-0.7842918,-0.7400484,-0.0442434
21,2.2125173,2.367564,"('immoral', 'moral')",0.59365904,0.5397334,-0.6650521,-0.6090914,0.713708,0.7660686,-0.0523606
