,pinnacle_male,pinnacle_female,tuple,west_male,west_female,capital_male,capital_female,corp_male,corp_female,average_male,average_female,male-female
36,-5.2370706,-5.1814437,"('hostile', 'amicable')",-2.0217566,-2.1802213,-0.09670746,-0.12982096,-0.68044186,-0.9011774,-2.0089941,-2.0981658,0.0891717
35,-5.1427236,-5.005838,"('corrupt', 'incorrupt')",-1.7012783,-1.63165,-0.5631497,-0.5145721,-1.1187953,-1.109162,-2.1314867,-2.0653055,-0.0661812
60,5.113216,4.954238,"('inefficient', 'efficient')",1.7738209,1.6272955,0.06801772,-0.04548707,0.36064345,0.4635059,1.8289244,1.7498881,0.0790363
85,-5.007577,-4.809238,"('insignificant', 'prestigious')",-1.2219485,-1.4217767,1.8397604,1.7884746,-0.9947201,-0.9714303,-1.3461213,-1.3534926,0.0073713
31,-4.951451,-4.8925776,"('evil', 'good')",-2.3827915,-2.227901,-0.24345994,-0.042042885,-1.7243102,-1.6852562,-2.3255031,-2.2119443,-0.1135588
55,4.823883,4.4759507,"('incompetent', 'clever')",1.0796398,1.0090414,-0.37821183,-0.711782,0.46784508,0.30790737,1.498289,1.2702794,0.2280096
46,4.784163,4.451768,"('uncompetitive', 'competitive')",1.3474525,1.2618345,-0.050739646,-0.15843317,-0.24253389,-0.28326088,1.4595855,1.3179772,0.1416083
62,4.63943,4.435998,"('incompetent', 'brilliant')",1.0932575,1.1228694,0.38984063,0.25311354,0.61503285,0.6939359,1.6843902,1.6264793,0.0579109
6,-4.5611296,-4.337014,"('distant', 'open')",-1.8114146,-1.7672466,0.7267662,0.8800336,-0.67141867,-0.5418965,-1.5792992,-1.4415309,-0.1377683
80,4.5566554,4.1590347,"('dominated', 'dominating')",0.64768595,0.804286,-0.37645304,-0.472507,0.0310501,-0.15340212,1.2147347,1.0843529,0.1303818
10,4.4519796,4.23964,"('unsympathetic', 'sympathetic')",1.0059093,0.9256388,-0.83824456,-0.98451114,0.3146975,0.42846233,1.2335856,1.1523076,0.081278
69,-4.3242426,-4.3694654,"('lazy', 'industrious')",-0.5249844,-0.6287272,2.0814602,2.0431366,-1.1682974,-1.1861757,-0.9840161,-1.035308,0.0512919
81,4.301669,3.8410637,"('submissive', 'aggressive')",0.60844654,0.3495408,0.5875407,0.35720748,-0.29302305,-0.26724008,1.3011583,1.070143,0.2310153
56,4.0653644,4.1530375,"('impractical', 'practical')",1.5449975,1.5390449,0.44931313,0.449686,-0.31099975,-0.123903096,1.4371688,1.5044663,-0.0672975
7,4.030366,3.5003033,"('insensitive', 'sensitive')",1.6989765,1.3671167,0.26871234,0.0119725745,0.73752517,0.69717354,1.683895,1.3941416,0.2897534
21,3.9543412,3.6300576,"('immoral', 'moral')",1.5144825,1.2245493,-0.18548971,-0.40016106,0.077337086,-0.15235636,1.3401678,1.0755223,0.2646455
76,3.899259,3.6801429,"('anxious', 'daring')",1.7281804,1.55102,0.5914065,0.42943132,0.6145444,0.44357193,1.7083476,1.5260416,0.182306
52,-3.8276677,-3.6413653,"('irrational', 'rational')",-1.3977003,-1.1670083,0.5835676,0.85162747,-0.5979505,-0.48233092,-1.3099377,-1.1097692,-0.2001685
5,-3.8154573,-3.4858286,"('distant', 'outgoing')",-1.2900954,-1.2827692,1.1350023,1.3335816,-0.72689176,-0.5497399,-1.1743605,-0.996189,-0.1781715
23,3.5682468,3.7667117,"('insincere', 'sincere')",1.2180777,1.2284858,0.03980571,0.016522799,6.4590006,6.666521,2.8212829,2.9195604,-0.0982775
59,-3.539958,-3.2923853,"('foolish', 'wise')",0.06265732,0.24533446,1.0808159,1.2122782,-0.41856188,-0.16003561,-0.7037617,-0.4987021,-0.2050596
65,3.3822412,3.049689,"('insecure', 'secure')",1.0108296,0.7683701,-0.4498682,-0.7442471,0.2703526,0.15645282,1.0533888,0.8075662,0.2458226
79,-3.292813,-3.0629916,"('wavering', 'unwavering')",-0.70538855,-0.60467947,0.44382945,0.5732179,-0.44338682,-0.41817656,-0.9994397,-0.8781575,-0.1212822
70,3.267877,2.871861,"('lethargic', 'energetic')",0.5114558,0.46572873,0.14293896,0.008262947,0.72680324,0.73990065,1.1622688,1.0214384,0.1408304
25,-3.2223973,-3.258496,"('egoistic', 'altruistic')",-0.99127454,-0.9297771,0.03511586,0.035208166,0.8139518,0.71265274,-0.8411511,-0.860103,0.0189519
43,3.0719352,2.9828537,"('irresponsible', 'responsible')",1.416893,1.2599685,0.12414983,-0.027541805,0.53659296,0.8058772,1.2873927,1.2552894,0.0321033
13,3.0678074,3.1208642,"('impolite', 'polite')",0.58662516,0.7994168,-0.35382771,-0.3343626,-0.24124217,-0.01340764,0.7648407,0.8931277,-0.128287
75,-3.0427413,-3.1850402,"('meek', 'impulsive')",-0.96604943,-0.8618613,-0.08190465,0.015095234,-0.7441037,-0.7018228,-1.2086998,-1.1834073,-0.0252925
63,3.0020292,2.9657652,"('unperceptive', 'insightful')",1.3106569,1.4831164,0.70834255,0.6407869,1.0000249,1.1330726,1.5052633,1.5556853,-0.050422
14,2.857852,2.4225354,"('antisocial', 'social')",0.5599051,0.45412377,1.4930246,1.3693671,-0.23966524,-0.27707645,1.1677792,0.9922374,0.1755418
4,-2.8379579,-3.0972311,"('disliked', 'liked')",-1.1002097,-0.98744255,-0.23075515,-0.245499,-7.8140564,-7.901224,-2.9957447,-3.0578494,0.0621047
30,2.8232057,2.9481037,"('intolerant', 'tolerant')",0.7258372,0.893776,0.39615873,0.3979717,0.350451,0.5249531,1.0739131,1.1912012,-0.1172881
12,2.717781,2.6712523,"('unsupportive', 'supportive')",1.0224218,1.0340003,1.1905643,1.0780963,-2.0534744,-1.9811201,0.7193232,0.7005572,0.018766
86,2.671097,2.5769176,"('uninfluential', 'influential')",0.048341945,0.060656942,-0.705671,-0.77417505,-0.32014632,-0.26194945,0.4234054,0.4003626,0.0230428
51,2.503105,2.3839765,"('uneducated', 'educated')",0.53392345,0.63343894,-0.17189233,-0.25092694,0.4970593,0.5436063,0.8405488,0.8275237,0.0130251
16,-2.485614,-2.5378757,"('unpopular', 'popular')",-0.60410696,-0.44880104,0.5071809,0.4998486,0.20670728,0.14226817,-0.5939582,-0.58614,-0.0078182
48,2.4537873,2.396292,"('unintelligent', 'intelligent')",0.08486253,0.030237235,-0.49011022,-0.7338472,0.5594632,0.56871873,0.6520007,0.5653502,0.0866505
19,-2.402089,-2.2217877,"('inhospitable', 'hospitable')",-0.08897017,0.027895829,-0.5237746,-0.34553748,-0.82068074,-0.6645722,-0.9588786,-0.8010004,-0.1578782
77,2.341081,2.1361,"('unmotivated', 'motivated')",0.27932656,0.074518874,1.3801403,1.2458779,-0.6993758,-0.8674365,0.825293,0.6472651,0.1780279
24,2.3128197,2.3529675,"('dishonest', 'honest')",1.1209558,1.2168672,-0.50880843,-0.37165177,0.29352072,0.51740307,0.8046219,0.9288965,-0.1242746
74,2.3122964,2.1344728,"('undedicated', 'dedicated')",0.033081047,0.14477438,0.029749908,0.09091416,-0.5946147,-0.59815127,0.4451281,0.4430026,0.0021255
44,-2.302495,-2.477731,"('prejudiced', 'unprejudiced')",-0.9742169,-1.1502249,-0.66131705,-0.761022,-1.2934297,-1.5143348,-1.3078647,-1.4758282,0.1679635
8,-2.2998095,-2.1400826,"('unaffectionate', 'affectionate')",-0.8699205,-0.7890914,0.13448873,0.15968041,0.18587244,0.3770154,-0.7123421,-0.5981196,-0.1142225
57,2.1798313,1.7535478,"('unimaginative', 'imaginative')",-0.24663028,-0.3409903,-0.06292009,-0.14102198,-3.33226,-3.4114428,-0.3654948,-0.5349768,0.169482
0,2.1059394,1.8108052,"('unsociable', 'sociable')",-0.5330817,-0.5661255,0.043245386,-0.068395555,-0.21731368,-0.14690164,0.3496974,0.2573456,0.0923518
22,2.0320504,1.7441977,"('untrustworthy', 'trustworthy')",1.0547938,1.048395,-0.9441662,-1.0517045,-0.82836074,-0.91021454,0.3285793,0.2076684,0.1209109
45,2.0174367,1.8450184,"('incompetent', 'competent')",0.5755464,0.6763667,-0.80742437,-0.9181161,-0.2618299,-0.21302526,0.3809323,0.347561,0.0333713
1,-1.9808705,-2.0249922,"('unfriendly', 'friendly')",-1.2727453,-1.2873837,0.08270149,0.11047196,0.83705086,0.9866893,-0.5834659,-0.5538037,-0.0296622
11,1.9431336,1.9764904,"('unhelpful', 'helpful')",0.37661555,0.4959427,-0.39393264,-0.32231128,2.0744205,2.4234633,1.0000592,1.1433963,-0.1433371
26,-1.9428451,-1.9505823,"('hardhearted', 'benevolent')",-0.8614806,-0.9295539,1.6888362,1.56655,0.6915676,0.72692645,-0.1059804,-0.1466649,0.0406845
