,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.9017406,-2.0003917,"('uncreative', 'creative')",0.8152233,0.87033194,-0.5432587,-0.5650299,0.0217712
1,-1.8299859,-2.0249722,"('unfriendly', 'friendly')",2.1213288,2.1137774,0.1456715,0.0444026,0.1012689
6,-1.6247252,-1.4655006,"('distant', 'open')",0.6780425,0.63573235,-0.4733414,-0.4148841,-0.0584573
9,-1.5694306,-1.4711456,"('unaffectionate', 'caring')",1.2660817,1.4305093,-0.1516744,-0.0203182,-0.1313562
19,-1.5655484,-1.3705758,"('inhospitable', 'hospitable')",0.2956187,0.30751523,-0.6349648,-0.5315303,-0.1034345
36,-1.3863277,-1.5958251,"('hostile', 'amicable')",0.93254393,0.6415663,-0.2268919,-0.4771294,0.2502375
66,-1.3626281,-1.156881,"('inactive', 'active')",0.66671973,0.66641104,-0.3479542,-0.245235,-0.1027192
5,-1.3240839,-1.1719867,"('distant', 'outgoing')",0.033231243,0.07411856,-0.6454263,-0.548934,-0.0964923
31,-1.3137299,-1.2690548,"('evil', 'good')",-0.31373382,-0.34461865,-0.8137318,-0.8068367,-0.0068951
8,-1.275513,-1.3001282,"('unaffectionate', 'affectionate')",1.2643156,1.274225,-0.0055987,-0.0129516,0.0073529
10,-1.2655977,-1.1648704,"('unsympathetic', 'sympathetic')",-1.0564439,-0.87833655,-1.1610208,-1.0216035,-0.1394173
54,-1.2336855,-1.0559039,"('incapable', 'capable')",1.3401924,1.4440911,0.0532535,0.1940936,-0.1408401
86,-1.2280695,-1.3624753,"('uninfluential', 'influential')",-0.31906015,-0.123674884,-0.7735648,-0.7430751,-0.0304897
16,-1.1105976,-1.2315574,"('unpopular', 'popular')",0.39686835,0.4202514,-0.3568646,-0.405653,0.0487884
71,-1.0354149,-0.96139044,"('diffident', 'self-confident')",0.562778,0.6875339,-0.2363185,-0.1369283,-0.0993902
44,0.9922799,1.0665758,"('prejudiced', 'unprejudiced')",-1.2316495,-1.2093723,-0.1196848,-0.0713983,-0.0482865
