,altria_male,altria_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-1.6101096,-1.738513,"('unfriendly', 'friendly')",-0.33734274,-0.55140096,1.7956712,1.4682306,-0.0505937,-0.2738944,0.2233007
31,-1.4682845,-1.7207222,"('evil', 'good')",-1.5747905,-1.6642538,-0.8663324,-0.975883,-1.3031359,-1.4536196,0.1504837
86,-1.4136621,-1.4741347,"('uninfluential', 'influential')",0.39950228,0.1322603,-0.09008379,-0.3883487,-0.3680812,-0.576741,0.2086598
53,-1.3468304,-1.2499403,"('uncreative', 'creative')",-0.09370887,-0.17475626,1.0980579,0.96490216,-0.1141605,-0.1532648,0.0391043
85,-1.3249941,-1.7466693,"('insignificant', 'prestigious')",-1.1664889,-1.2895081,0.2864408,-0.018569171,-0.735014,-1.0182489,0.2832349
0,-1.2481853,-1.0770748,"('unsociable', 'sociable')",0.59012336,0.56068957,-0.5566529,-0.61500794,-0.4049049,-0.3771311,-0.0277738
79,-1.2102683,-1.2680625,"('wavering', 'unwavering')",-2.241656,-2.0704286,0.016657263,-0.065237634,-1.145089,-1.1345762,-0.0105128
73,1.1320251,0.97654724,"('helpless', 'self-reliant')",0.05317688,0.11063759,-2.8230846,-3.106841,-0.5459609,-0.6732187,0.1272578
9,-1.0937599,-1.1524554,"('unaffectionate', 'caring')",-0.18189503,-0.25995833,1.3978035,1.1453651,0.0407162,-0.0890162,0.1297324
6,-1.0720696,-1.4007053,"('distant', 'open')",-1.9742134,-2.1312182,0.5361963,0.3609775,-0.8366956,-1.056982,0.2202864
19,-1.0514742,-1.2229832,"('inhospitable', 'hospitable')",-1.8366122,-1.9343138,-0.09569713,-0.22816247,-0.9945945,-1.1284866,0.1338921
67,1.0414106,1.1714244,"('doubtful', 'determined')",0.5408249,0.7523471,-0.63697594,-0.30922756,0.3150865,0.5381813,-0.2230948
52,-1.01172,-1.2273862,"('irrational', 'rational')",-1.1260986,-1.2038286,0.2552372,0.029512286,-0.6275271,-0.8005675,0.1730404
57,-1.0108382,-0.7482997,"('unimaginative', 'imaginative')",-0.28812417,-0.04722458,-2.4117813,-2.6092606,-1.2369146,-1.1349283,-0.1019863
10,-0.9822452,-0.594891,"('unsympathetic', 'sympathetic')",0.38009977,0.5473159,-0.12808567,-0.042166628,-0.2434104,-0.0299139,-0.2134965
