,hasbro_male,hasbro_female,tuple,inc_male,inc_female,average_male,average_female,male-female
22,-1.3880923,-1.5349979,"('untrustworthy', 'trustworthy')",-0.9180208,-1.2423903,-1.1530565,-1.388694,0.2356375
10,-1.3353577,-1.4951422,"('unsympathetic', 'sympathetic')",0.5171046,0.09963429,-0.4091265,-0.697754,0.2886275
18,-1.3105423,-0.8189459,"('disagreeable', 'welcoming')",-0.82743037,-0.7159043,-1.0689864,-0.7674251,-0.3015613
53,-1.2812959,-0.65012777,"('uncreative', 'creative')",1.3683827,1.1261581,0.0435434,0.2380152,-0.1944718
57,-1.2738851,-1.6610688,"('unimaginative', 'imaginative')",-1.7988377,-2.152981,-1.5363615,-1.9070249,0.3706634
72,-1.228274,-1.1097691,"('unambitious', 'ambitious')",-0.83739626,-0.8764494,-1.0328351,-0.9931092,-0.0397259
63,-1.0503926,-0.71990603,"('unperceptive', 'insightful')",1.6202691,1.7009281,0.2849382,0.490511,-0.2055728
0,-1.0498126,-1.4918231,"('unsociable', 'sociable')",-0.110756084,-0.59114194,-0.5802843,-1.0414824,0.4611981
86,-1.0412856,-0.90203965,"('uninfluential', 'influential')",0.5798217,0.33478412,-0.230732,-0.2836277,0.0528957
51,-1.0140479,-1.0752249,"('uneducated', 'educated')",1.0595864,1.1721586,0.0227693,0.0484669,-0.0256976
77,-1.0116887,-0.5113489,"('unmotivated', 'motivated')",-1.0670879,-0.7523401,-1.0393883,-0.6318445,-0.4075438
20,-0.99776715,-1.0476915,"('rough', 'thoughtful')",0.9785619,0.94907045,-0.0096026,-0.0493105,0.0397079
68,-0.871696,-0.82741225,"('dependent', 'independent')",-0.2763217,-0.17834102,-0.5740088,-0.5028766,-0.0711322
13,-0.83449525,-0.83816665,"('impolite', 'polite')",-0.10586474,-0.08411926,-0.47018,-0.461143,-0.009037
32,-0.8202677,-0.32497784,"('unkind', 'kind')",1.0428846,0.88212943,0.1113085,0.2785758,-0.1672673
75,0.8186843,0.8752411,"('meek', 'impulsive')",-0.39525604,-0.18741906,0.2117141,0.343911,-0.1321969
23,-0.79138076,-0.48659042,"('insincere', 'sincere')",6.184619,5.8602557,2.696619,2.6868327,0.0097863
31,-0.7617823,-0.38524166,"('evil', 'good')",-1.8581158,-1.9087021,-1.309949,-1.1469719,-0.1629771
38,-0.74096346,-0.7257814,"('untruthful', 'truthful')",-0.1445271,0.2789719,-0.4427453,-0.2234047,-0.2193406
7,-0.7346534,-0.573152,"('insensitive', 'sensitive')",1.215163,0.86406094,0.2402548,0.1454545,0.0948003
3,-0.7225154,-0.5935579,"('repellent', 'pleasant')",0.39407817,0.14637843,-0.1642186,-0.2235897,0.0593711
21,-0.709497,-0.35887367,"('immoral', 'moral')",-0.6800752,-0.49898815,-0.6947861,-0.4289309,-0.2658552
73,0.7030845,0.7509951,"('helpless', 'self-reliant')",-3.6391811,-3.1266654,-1.4680483,-1.1878351,-0.2802132
87,0.69228864,0.2384624,"('unsuccessful', 'successful')",0.6375607,0.7207535,0.6649247,0.4796079,0.1853168
28,-0.691109,-0.34632728,"('disloyal', 'loyal')",1.3744835,0.9895784,0.3416872,0.3216256,0.0200616
35,0.690211,0.636179,"('corrupt', 'incorrupt')",-0.5916705,-0.6377056,0.0492702,-0.0007633,0.0500335
15,0.67582023,0.4220927,"('boring', 'funny')",0.47529417,0.4529526,0.5755572,0.4375226,0.1380346
78,-0.670869,-0.11126643,"('nonresilient', 'resilient')",0.4297294,0.6428297,-0.1205698,0.2657816,-0.3863514
